Freq_GHz,"dB(S(P1:1,P1:1))","dB(S(P3:1,P3:1))","dB(S(P2:1,P2:1))","dB(S(P4:1,P4:1))","dB(S(P1:1,P3:1))","dB(S(P1:1,P2:1))","dB(S(P1:1,P4:1))","dB(S(P3:1,P1:1))","dB(S(P3:1,P2:1))","dB(S(P3:1,P4:1))","dB(S(P2:1,P1:1))","dB(S(P2:1,P3:1))","dB(S(P2:1,P4:1))","dB(S(P4:1,P1:1))","dB(S(P4:1,P3:1))","dB(S(P4:1,P2:1))"
7.500000,-5.849457,-5.905226,-5.817774,-5.864220,-29.422682,-24.437637,-24.287495,-29.422682,-24.231555,-24.244276,-24.437637,-24.231555,-29.487121,-24.287495,-24.244276,-29.487121
7.520000,-6.192221,-6.254911,-6.159159,-6.208944,-29.040549,-24.084153,-23.932687,-29.040549,-23.878868,-23.890796,-24.084153,-23.878868,-29.103865,-23.932687,-23.890796,-29.103865
7.540000,-6.557424,-6.628188,-6.523191,-6.576298,-28.672711,-23.742407,-23.589712,-28.672711,-23.537936,-23.549207,-23.742407,-23.537936,-28.734898,-23.589712,-23.549207,-28.734898
7.560000,-6.946282,-7.026503,-6.911175,-6.967508,-28.319321,-23.413281,-23.259446,-28.319321,-23.209633,-23.220388,-23.413281,-23.209633,-28.380380,-23.259446,-23.220388,-28.380380
7.580000,-7.360020,-7.451357,-7.324446,-7.383800,-27.980484,-23.097577,-22.942679,-27.980484,-22.894753,-22.905135,-23.097577,-22.894753,-28.040422,-22.942679,-22.905135,-28.040422
7.600000,-7.799836,-7.904291,-7.764349,-7.826372,-27.656258,-22.795997,-22.640106,-27.656258,-22.593989,-22.604144,-22.795997,-22.593989,-27.715088,-22.640106,-22.604144,-27.715088
7.620000,-8.266868,-8.386864,-8.232206,-8.296344,-27.346655,-22.509136,-22.352308,-27.346655,-22.307932,-22.318003,-22.509136,-22.307932,-27.404395,-22.352308,-22.318003,-27.404395
7.640000,-8.762117,-8.900603,-8.729262,-8.794693,-27.051645,-22.237469,-22.079751,-27.051645,-22.037051,-22.047182,-22.237469,-22.037051,-27.108320,-22.079751,-22.047182,-27.108320
7.660000,-9.286356,-9.446922,-9.256605,-9.322135,-26.771158,-21.981347,-21.822773,-26.771158,-21.781693,-21.792024,-21.981347,-21.781693,-26.826800,-21.822773,-21.792024,-26.826800
7.680000,-9.839964,-10.026990,-9.815024,-9.878957,-26.505087,-21.740991,-21.581581,-26.505087,-21.542074,-21.552742,-21.740991,-21.542074,-26.559735,-21.581581,-21.552742,-26.559735
