Freq_GHz,"dB(S(P2:1,P2:1))","dB(S(P4:1,P4:1))","dB(S(P1:1,P1:1))","dB(S(P3:1,P3:1))","dB(S(P2:1,P4:1))","dB(S(P2:1,P1:1))","dB(S(P2:1,P3:1))","dB(S(P4:1,P2:1))","dB(S(P4:1,P1:1))","dB(S(P4:1,P3:1))","dB(S(P1:1,P2:1))","dB(S(P1:1,P4:1))","dB(S(P1:1,P3:1))","dB(S(P3:1,P2:1))","dB(S(P3:1,P4:1))","dB(S(P3:1,P1:1))"
7.500000,-11.922239,-11.952518,-11.653654,-11.960962,-27.075218,-15.860245,-15.883972,-27.075218,-15.879377,-15.911667,-15.860245,-15.879377,-26.982896,-15.883972,-15.911667,-26.982896
7.520000,-12.201519,-12.234482,-11.922991,-12.243474,-26.899939,-15.839563,-15.864206,-26.899939,-15.858689,-15.891909,-15.839563,-15.858689,-26.807174,-15.864206,-15.891909,-26.807174
7.540000,-12.491155,-12.526992,-12.202066,-12.536573,-26.725135,-15.820185,-15.845759,-26.725135,-15.839316,-15.873467,-15.820185,-15.839316,-26.632034,-15.845759,-15.873467,-26.632034
7.560000,-12.791829,-12.830748,-12.491499,-12.840965,-26.551056,-15.802140,-15.828657,-26.551056,-15.821288,-15.856369,-15.802140,-15.821288,-26.457717,-15.828657,-15.856369,-26.457717
7.580000,-13.104296,-13.146528,-12.791977,-13.157435,-26.377935,-15.785456,-15.812930,-26.377935,-15.804631,-15.840643,-15.785456,-15.804631,-26.284448,-15.812930,-15.840643,-26.284448
7.600000,-13.429398,-13.475195,-13.104256,-13.486856,-26.205991,-15.770162,-15.798605,-26.205991,-15.789376,-15.826316,-15.770162,-15.789376,-26.112436,-15.798605,-15.826316,-26.112436
7.620000,-13.768071,-13.817715,-13.429182,-13.830203,-26.035425,-15.756286,-15.785708,-26.035425,-15.775549,-15.813415,-15.756286,-15.775549,-25.941876,-15.785708,-15.813415,-25.941876
7.640000,-14.121365,-14.175170,-13.767696,-14.188572,-25.866424,-15.743857,-15.774268,-25.866424,-15.763179,-15.801969,-15.743857,-15.763179,-25.772947,-15.774268,-15.801969,-25.772947
7.660000,-14.490460,-14.548778,-14.120851,-14.563198,-25.699160,-15.732900,-15.764310,-25.699160,-15.752292,-15.792003,-15.732900,-15.752292,-25.605813,-15.764310,-15.792003,-25.605813
7.680000,-14.876689,-14.939915,-14.489832,-14.955478,-25.533792,-15.723444,-15.755861,-25.533792,-15.742917,-15.783544,-15.723444,-15.742917,-25.440627,-15.755861,-15.783544,-25.440627
7.700000,-15.281565,-15.350144,-14.875980,-15.367003,-25.370464,-15.715515,-15.748947,-25.370464,-15.735078,-15.776618,-15.715515,-15.735078,-25.277527,-15.748947,-15.776618,-25.277527
7.720000,-15.706812,-15.781250,-15.280813,-15.799592,-25.209309,-15.709139,-15.743592,-25.209309,-15.728802,-15.771248,-15.709139,-15.728802,-25.116642,-15.743592,-15.771248,-25.116642
7.740000,-16.154408,-16.235284,-15.706066,-16.255339,-25.050449,-15.704341,-15.739820,-25.050449,-15.724113,-15.767461,-15.704341,-15.724113,-24.958085,-15.739820,-15.767461,-24.958085
