index,candidate,score,elapsed_s,rationale,worst_return_db,worst_return_expr,isolation_db,worst_coupling_db,worst_coupling_expr,patch_side_mm,feed_offset_u_mm,feed_pad_radius_mm,port_width_mm,weak_coupling_open_line_enabled,weak_coupling_open_line_length_mm,weak_coupling_open_line_width_mm,weak_coupling_open_line_offset_mm,weak_coupling_open_line_gap_mm,via_fence_enabled,via_fence_count,via_fence_radius_mm,via_fence_pitch_mm,via_fence_edge_offset_mm,via_fence_center_mm,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,local_dgs_enabled,local_dgs_length_mm,local_dgs_width_mm,local_dgs_offset_mm
1,ref_pad0p34_port0p55_feed3p30,46.623451139635264,95.1,上一轮最优小焊盘结构，作为本轮细扫基线。,-8.392776755764014,"dB(S(P1A:1,P1A:1))",12.54755794860434,-12.54755794860434,"dB(S(P2B:1,P2A:1))",9.15,3.3,0.34,0.55,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
2,pad0p28_port0p55_feed3p30,37.514458601280886,105.1,固定端口宽度和馈电偏移，仅细扫馈电焊盘半径。,-8.864545458680611,"dB(S(P1A:1,P1A:1))",12.445984158316419,-12.445984158316419,"dB(S(P1B:1,P1A:1))",9.15,3.3,0.28,0.55,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
3,pad0p30_port0p55_feed3p30,42.17992018014074,88.1,固定端口宽度和馈电偏移，仅细扫馈电焊盘半径。,-8.489844089676748,"dB(S(P2A:1,P2A:1))",12.954881928753043,-12.954881928753043,"dB(S(P3A:1,P3B:1))",9.15,3.3,0.3,0.55,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
4,pad0p32_port0p55_feed3p30,45.97248108618047,88.1,固定端口宽度和馈电偏移，仅细扫馈电焊盘半径。,-8.549901747100769,"dB(S(P4A:1,P4A:1))",12.116590487257282,-12.116590487257282,"dB(S(P2B:1,P2A:1))",9.15,3.3,0.32,0.55,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
5,pad0p34_port0p55_feed3p30,46.6234511405082,90.2,固定端口宽度和馈电偏移，仅细扫馈电焊盘半径。,-8.392776755721856,"dB(S(P1A:1,P1A:1))",12.547557948603593,-12.547557948603593,"dB(S(P2B:1,P2A:1))",9.15,3.3,0.34,0.55,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
6,pad0p36_port0p55_feed3p30,48.56504762792807,89.2,固定端口宽度和馈电偏移，仅细扫馈电焊盘半径。,-8.433546912856862,"dB(S(P3A:1,P3A:1))",12.083980994536763,-12.083980994536763,"dB(S(P2B:1,P2A:1))",9.15,3.3,0.36,0.55,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
7,pad0p32_port0p45_feed3p30,50.79152879555311,90.0,使用较小焊盘并细扫端口片宽度，观察近场耦合与端口匹配折中。,-8.225670871183691,"dB(S(P1A:1,P1A:1))",12.426608543010474,-12.426608543010474,"dB(S(P3A:1,P3B:1))",9.15,3.3,0.32,0.45,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
8,pad0p32_port0p50_feed3p30,40.448401466701874,105.2,使用较小焊盘并细扫端口片宽度，观察近场耦合与端口匹配折中。,-8.791435509395054,"dB(S(P2A:1,P2A:1))",12.208004506626668,-12.208004506626668,"dB(S(P1B:1,P1A:1))",9.15,3.3,0.32,0.5,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
9,pad0p32_port0p60_feed3p30,40.88711377112875,88.9,使用较小焊盘并细扫端口片宽度，观察近场耦合与端口匹配折中。,-8.516900196378671,"dB(S(P4A:1,P4A:1))",13.077457030578437,-13.077457030578437,"dB(S(P3A:1,P3B:1))",9.15,3.3,0.32,0.6,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
10,pad0p32_port0p50_feed3p20,46.82997571908284,91.0,使用小焊盘/窄端口组合并细扫双馈偏移。,-8.195101978899405,"dB(S(P4A:1,P4A:1))",13.191820585931568,-13.191820585931568,"dB(S(P1B:1,P1A:1))",9.15,3.2,0.32,0.5,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
