freq_ghz,phi_deg,theta_deg,linear_pol_deg,amp_b,phase_b_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-179.077829,-179.077829,-1.636997,-1.489494,True
7.738000,45.000000,5.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-158.213091,-158.213091,-1.492614,-1.478844,True
7.738000,45.000000,10.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-138.939894,-138.939894,-1.182955,-1.360439,True
7.738000,45.000000,15.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-122.270616,-122.270616,-0.791781,-1.212549,True
7.738000,45.000000,20.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-108.470735,-108.470735,-0.422986,-1.109366,True
7.738000,45.000000,25.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-97.283081,-97.283081,-0.159137,-1.104496,True
7.738000,45.000000,30.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-88.227437,-88.227437,-0.048507,-1.230445,True
7.738000,45.000000,35.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-80.793897,-80.793897,-0.110695,-1.503549,True
7.738000,45.000000,40.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-74.523711,-74.523711,-0.347068,-1.928003,True
7.738000,45.000000,45.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-69.024244,-69.024244,-0.749491,-2.497500,True
7.738000,45.000000,50.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-63.956872,-63.956872,-1.305832,-3.195214,True
7.738000,45.000000,55.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-59.021851,-59.021851,-2.002744,-3.993246,True
7.738000,45.000000,60.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-53.954914,-53.954914,-2.826768,-4.852366,True
7.738000,45.000000,65.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-48.544345,-48.544345,-3.764769,-5.722658,True
7.738000,45.000000,70.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-42.670748,-42.670748,-4.804407,-6.546052,True
7.738000,45.000000,75.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-36.360722,-36.360722,-5.934824,-7.262334,True
7.738000,45.000000,80.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-29.830123,-29.830123,-7.147318,-7.819729,True
7.738000,45.000000,85.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-23.485139,-23.485139,-8.435311,-8.187950,True
7.738000,45.000000,90.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-17.871300,-17.871300,-9.792396,-8.367306,True
7.738000,45.000000,95.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-13.605213,-13.605213,-11.206291,-8.387838,True
7.738000,45.000000,100.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-11.335161,-11.335161,-12.644822,-8.299316,True
7.738000,45.000000,105.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-11.705411,-11.705411,-14.028622,-8.159045,True
7.738000,45.000000,110.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-15.157221,-15.157221,-15.193301,-8.023499,True
7.738000,45.000000,115.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-21.346936,-21.346936,-15.886478,-7.945104,True
7.738000,45.000000,120.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-28.550442,-28.550442,-15.896010,-7.972472,True
7.738000,45.000000,125.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-34.324097,-34.324097,-15.250270,-8.152081,True
