amp_b,phase_b_deg,score,avg_rms_bias_deg,p95_rms_bias_deg,avg_max_abs_bias_deg,max_abs_bias_deg,avg_valid_percent,avg_reference_monotonic_percent,curve_count,pdoa_rms_target_met,pdoa_max_target_met
1.0,-90.0,112.71392042789826,47.20460708993138,79.35850625036412,136.40507022000253,179.72496676148103,99.66704718417047,72.04861111111111,288,False,False
1.0,-92.5,113.20690947647776,47.261786202361094,78.95522324146799,136.62944418017975,179.99676335350313,99.70509893455099,72.04861111111111,288,False,False
0.975,-90.0,113.56088993789683,47.231536900387695,79.19107609007825,136.3787751655195,179.9781029858225,99.63375190258752,72.0274191444966,288,False,False
1.025,-90.0,113.6060541422413,47.12899188867968,79.5151975755001,136.27644163368802,179.79352806700342,99.6622907153729,71.89429012345678,288,False,False
1.0,-87.5,113.69164411532414,47.28160842794725,79.82014851867535,136.16902468425337,179.6817411698088,99.65277777777777,71.77854938271605,288,False,False
1.0,-95.0,113.77856076008766,47.39386677367883,78.62060441135041,136.73218542476081,179.95145385225067,99.73363774733637,72.00812902103982,288,False,False
0.975,-92.5,114.0426736820527,47.33423268329687,78.7673083822651,136.61510254834803,179.88717975990255,99.70034246575342,72.0467092679534,288,False,False
1.025,-92.5,114.07305668142139,47.209350738061794,79.12830969972916,136.5521938968548,179.67691219655387,99.70985540334856,72.01003086419753,288,False,False
0.95,-90.0,114.49135373370734,47.374750317857625,79.01326507171383,136.4812445361346,179.8797026221779,99.65753424657534,72.08368265146434,288,False,False
0.975,-87.5,114.51068549888792,47.28775946022237,79.67257597610408,136.13418627197782,179.86466092524842,99.64326484018265,71.8538080333855,288,False,False
1.05,-90.0,114.55218267344335,47.11609715086597,79.66115244029515,136.22192958487793,179.9947971337882,99.62899543378995,71.72067901234567,288,False,False
0.975,-95.0,114.60379456765918,47.444538744981394,78.41248308942811,136.72044628862722,179.9466895168357,99.69558599695586,71.90843362645006,288,False,False
1.025,-87.5,114.62154490109307,47.23163161171625,79.96049664742954,136.0918506098759,179.92628117879084,99.64326484018265,71.62422839506172,288,False,False
1.0,-97.5,114.6915762686065,47.66223873061772,78.68865148315292,137.31353303679984,179.8990390905734,99.7574200913242,72.12305468614153,288,False,False
1.025,-95.0,114.71263452512844,47.355432008911144,78.8093052223165,136.7619840862365,179.99357039046902,99.73839421613394,71.95053034254913,288,False,False
1.0,-85.0,114.82190925672582,47.44455144713487,80.33144409636297,135.87412685390032,179.99582212362571,99.65753424657534,71.54435098243783,288,False,False
0.95,-92.5,114.9752754311686,47.45345846635222,78.56440640887196,136.7854638192299,179.94577934905476,99.70509893455099,71.8921165884194,288,False,False
1.05,-92.5,115.01490252274407,47.17952005141778,79.28702888115754,136.46534589608405,179.95727217578815,99.70985540334856,71.875,288,False,False
0.975,-97.5,115.32777765873469,47.721401371051535,78.13973263352926,137.3065310989887,179.94154250646818,99.70034246575342,72.18092505651191,288,False,False
1.0,-100.0,115.39834933980572,47.99905853956492,78.20532695534081,137.95331710931993,179.9870822181357,99.71936834094369,72.12088891372929,288,False,False
1.075,-90.0,115.44985812974242,47.17186735645742,79.79662506593307,136.28037918447976,179.41623020558046,99.64802130898022,71.52777777777777,288,False,False
1.025,-97.5,115.4544117604458,47.627605722331154,78.5687518376752,137.27103887045402,179.91320898625128,99.76693302891934,72.08501782298731,288,False,False
0.95,-87.5,115.47514263076009,47.42447675954657,79.51846815905185,136.2934153312475,179.91443108301502,99.64802130898022,71.8133492311896,288,False,False
0.925,-90.0,115.48201860512258,47.52640839264391,78.82594599458173,136.73448951468632,179.83029939237088,99.65753424657535,71.86957392503167,288,False,False
1.05,-87.5,115.52233643770622,47.23458329648972,80.09330078196092,136.08347714752875,179.7744132334339,99.61948249619483,71.56635802469135,288,False,False
1.05,-95.0,115.58916882386605,47.283543339059165,78.9796520517774,136.52088163169765,179.95938717129312,99.75266362252664,71.734535298209,288,False,False
1.025,-85.0,115.68009327072106,47.39789028440563,80.45602080288148,135.780009397752,179.83092148365324,99.62423896499239,71.56228264649627,288,False,False
0.975,-85.0,115.69172981559261,47.53093131970173,80.20260523366039,135.93789838688988,179.91402981528108,99.6622907153729,71.69948704573117,288,False,False
0.95,-95.0,115.73308598452894,47.62418852731989,78.53111734969498,136.9578817705635,179.87835610437276,99.72412480974124,72.0073139454008,288,False,False
1.075,-92.5,115.88557788072191,47.141078928380615,79.43203648462912,136.33792434031488,179.87517278056197,99.68607305936072,71.65818988002087,288,False,False
1.0,-82.5,116.0197555939035,47.70682357391371,80.88519908556475,135.48813135214553,179.99360909397956,99.63850837138509,71.48160568348362,288,False,False
0.925,-92.5,116.19523441908187,47.606809497888555,78.81279414481901,137.05812870925087,179.92580870078697,99.68131659056317,71.83370283428968,288,False,False
0.95,-97.5,116.2290106394369,47.86430924368266,77.88695361801928,137.33587852477626,179.96311569987813,99.71461187214612,72.25808555033908,288,False,False
1.025,-100.0,116.25815251940429,47.927962821230906,78.35779324015799,137.95362662231952,179.83086029453784,99.72412480974124,72.04209050599896,288,False,False
0.975,-100.0,116.28414237081553,48.154824593486325,77.96360553876657,138.043803167107,179.91483202719445,99.73839421613394,72.20075856372804,288,False,False
1.05,-97.5,116.34321479441421,47.614404193266786,78.65701068306137,137.3826473638436,179.91983736168265,99.77644596651446,71.93069683533298,288,False,False
1.0,-102.5,116.36240298799385,48.48110615334594,77.973505687854,138.52128800131163,179.92228039236534,99.72888127853882,72.19804940755644,288,False,False
1.1,-90.0,116.37101017722425,47.17141694292146,79.91458374004958,136.28174174866146,179.87908262898543,99.64326484018265,71.5033255086072,288,False,False
1.075,-87.5,116.41253393771066,47.22559409642076,80.21851399772817,136.1349017638014,179.81666462913262,99.6099695585997,71.4891975308642,288,False,False
0.925,-87.5,116.48736059830732,47.57622785594716,79.38767204251258,136.55215959236034,179.89869535540936,99.63850837138509,71.73591704548278,288,False,False
0.925,-95.0,116.510343349113,47.78166069901981,77.99077620923481,137.2860377146865,179.76707692957729,99.71461187214612,71.96954877412624,288,False,False
1.075,-95.0,116.52632706460489,47.35842583582526,79.04286657501376,136.56302681804766,179.9797928095507,99.79071537290716,71.65927664753957,288,False,False
0.95,-85.0,116.54068904399593,47.56935977066946,80.07038807896649,135.75091189999392,179.78501921262756,99.66704718417047,71.73698052512606,288,False,False
1.05,-85.0,116.56602856703994,47.366823540623315,80.57580179025686,135.77410637709033,179.93012525090245,99.5671613394216,71.54244913928012,288,False,False
0.9,-90.0,116.80887338101118,47.78063670002167,79.03389770051457,137.16479950795178,179.85122839200187,99.67656012176559,71.83153706187744,288,False,False
1.1,-92.5,116.84755061153069,47.27111389404188,79.45860738538826,136.59902253727844,179.91730479384694,99.72888127853882,71.52288732394366,288,False,False
0.975,-82.5,116.84918392986515,47.77130382036765,80.77376017302582,135.26645665479106,179.59851804139555,99.64802130898022,71.54140894751224,288,False,False
1.025,-82.5,116.90711020924469,47.66798014513389,80.9948603328648,135.499701782362,179.96293216784312,99.6099695585997,71.36504210447873,288,False,False
1.075,-97.5,117.15230741938167,47.56686726266278,78.69666271907917,136.9073140960446,179.96473416915865,99.78120243531203,71.81169579203616,288,False,False
