freq_ghz,phi_deg,theta_deg,linear_pol_deg,amp_b,phase_b_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,179.975049,179.975049,-1.650907,-1.788123,True
7.738000,45.000000,5.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-159.114065,200.885935,-1.467672,-1.815765,True
7.738000,45.000000,10.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-139.894390,220.105610,-1.143130,-1.736755,True
7.738000,45.000000,15.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-123.312227,236.687773,-0.750355,-1.631684,True
7.738000,45.000000,20.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-109.611467,250.388533,-0.382267,-1.572497,True
7.738000,45.000000,25.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-98.543693,261.456307,-0.116051,-1.609167,True
7.738000,45.000000,30.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-89.633887,270.366113,0.000000,-1.771512,True
7.738000,45.000000,35.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-82.356185,277.643815,-0.056454,-2.074485,True
7.738000,45.000000,40.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-76.216353,283.783647,-0.289715,-2.521659,True
7.738000,45.000000,45.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-70.779626,289.220374,-0.693203,-3.106278,True
7.738000,45.000000,50.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-65.674493,294.325507,-1.254439,-3.810785,True
7.738000,45.000000,55.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-60.590144,299.409856,-1.958150,-4.605804,True
7.738000,45.000000,60.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-55.278796,304.721204,-2.788119,-5.449451,True
7.738000,45.000000,65.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-49.571382,310.428618,-3.728376,-6.287972,True
7.738000,45.000000,70.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-43.410291,316.589709,-4.764142,-7.059214,True
7.738000,45.000000,75.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-36.891185,323.108815,-5.882664,-7.700639,True
7.738000,45.000000,80.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-30.289480,329.710520,-7.073858,-8.162105,True
7.738000,45.000000,85.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-24.043475,335.956525,-8.330249,-8.419559,True
7.738000,45.000000,90.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-18.695066,341.304934,-9.645205,-8.482383,True
7.738000,45.000000,95.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-14.831412,345.168588,-11.007400,-8.389732,True
7.738000,45.000000,100.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-13.068626,346.931374,-12.387425,-8.198904,True
7.738000,45.000000,105.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-14.039487,345.960513,-13.710299,-7.973126,True
7.738000,45.000000,110.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-18.203027,341.796973,-14.814314,-7.773551,True
7.738000,45.000000,115.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-25.218635,334.781365,-15.441629,-7.655701,True
7.738000,45.000000,120.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-33.241522,326.758478,-15.370774,-7.668377,True
7.738000,45.000000,125.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-39.595793,320.404207,-14.639287,-7.853245,True
7.738000,45.000000,130.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-42.556662,317.443338,-13.526257,-8.244294,True
7.738000,45.000000,135.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-41.788461,318.211539,-12.326730,-8.867245,True
7.738000,45.000000,140.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-37.545235,322.454765,-11.239064,-9.739835,True
7.738000,45.000000,145.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-30.040837,329.959163,-10.380291,-10.874707,True
7.738000,45.000000,150.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-19.206926,340.793074,-9.822961,-12.287031,True
7.738000,45.000000,155.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-4.510486,355.489514,-9.617760,-14.004986,True
7.738000,45.000000,160.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,15.522964,375.522964,-9.804864,-16.056805,True
7.738000,45.000000,165.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,44.293446,404.293446,-10.421092,-18.294851,True
7.738000,45.000000,170.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,85.783422,445.783422,-11.507196,-19.698809,True
7.738000,45.000000,175.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,132.198721,492.198721,-13.116554,-18.655794,True
7.738000,45.000000,180.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,171.177323,531.177323,-15.315310,-16.183719,True
7.738000,45.000000,185.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-152.566649,567.433351,-18.086673,-13.878037,True
7.738000,45.000000,190.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-108.110171,611.889829,-20.642894,-12.155060,True
7.738000,45.000000,195.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-56.876803,663.123197,-20.447968,-11.020712,True
7.738000,45.000000,200.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-19.514125,700.485875,-17.809991,-10.412635,True
7.738000,45.000000,205.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,3.648885,723.648885,-15.116054,-10.263902,True
7.738000,45.000000,210.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,19.073648,739.073648,-12.943477,-10.510853,True
7.738000,45.000000,215.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,29.839731,749.839731,-11.262638,-11.092268,True
7.738000,45.000000,220.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,37.140010,757.140010,-9.991016,-11.946260,True
7.738000,45.000000,225.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,41.306382,761.306382,-9.061613,-13.001772,True
7.738000,45.000000,230.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,42.185037,762.185037,-8.420974,-14.156981,True
7.738000,45.000000,235.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,39.424189,759.424189,-8.023088,-15.237823,True
7.738000,45.000000,240.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,33.110400,753.110400,-7.825619,-15.962707,True
7.738000,45.000000,245.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,24.745618,744.745618,-7.787588,-16.026924,True
7.738000,45.000000,250.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,17.127591,737.127591,-7.867386,-15.351347,True
7.738000,45.000000,255.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,12.423590,732.423590,-8.020580,-14.158752,True
7.738000,45.000000,260.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,11.124707,731.124707,-8.197664,-12.738406,True
7.738000,45.000000,265.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,12.746987,732.746987,-8.342863,-11.274863,True
7.738000,45.000000,270.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,16.581413,736.581413,-8.396198,-9.850549,True
7.738000,45.000000,275.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,21.933988,741.933988,-8.301270,-8.493691,True
7.738000,45.000000,280.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,28.147776,748.147776,-8.018486,-7.211161,True
7.738000,45.000000,285.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,34.629880,754.629880,-7.537916,-6.004473,True
7.738000,45.000000,290.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,40.924549,760.924549,-6.883209,-4.876461,True
7.738000,45.000000,295.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,46.778373,766.778373,-6.103664,-3.833536,True
7.738000,45.000000,300.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,52.147978,772.147978,-5.260327,-2.885954,True
7.738000,45.000000,305.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,57.155562,777.155562,-4.413862,-2.047254,True
7.738000,45.000000,310.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,62.029696,782.029696,-3.617347,-1.333374,True
7.738000,45.000000,315.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,67.061170,787.061170,-2.913008,-0.761573,True
7.738000,45.000000,320.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,72.582945,792.582945,-2.331089,-0.348980,True
7.738000,45.000000,325.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,78.968956,798.968956,-1.889765,-0.110405,True
7.738000,45.000000,330.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,86.640570,806.640570,-1.595598,-0.054744,True
7.738000,45.000000,335.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,96.066580,816.066580,-1.443931,-0.179284,True
7.738000,45.000000,340.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,107.736433,827.736433,-1.418127,-0.461539,True
7.738000,45.000000,345.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,122.073216,842.073216,-1.486455,-0.850316,True
7.738000,45.000000,350.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,139.246758,859.246758,-1.597229,-1.262788,True
7.738000,45.000000,355.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,158.901593,878.901593,-1.678058,-1.600248,True
7.738000,45.000000,360.000000,0.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,179.975049,899.975049,-1.650907,-1.788123,True
7.738000,45.000000,0.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,179.443661,179.443661,-0.491966,-0.310199,True
7.738000,45.000000,5.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-163.178973,196.821027,-0.698644,-0.101855,True
7.738000,45.000000,10.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-146.173418,213.826582,-0.844629,0.000000,True
7.738000,45.000000,15.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-130.049428,229.950572,-0.879603,-0.055493,True
7.738000,45.000000,20.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-115.405673,244.594327,-0.804057,-0.297590,True
7.738000,45.000000,25.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-102.705070,257.294930,-0.668411,-0.739369,True
7.738000,45.000000,30.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-92.122075,267.877925,-0.544678,-1.382615,True
7.738000,45.000000,35.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-83.563175,276.436825,-0.496967,-2.221400,True
7.738000,45.000000,40.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-76.780617,283.219383,-0.568126,-3.244702,True
7.738000,45.000000,45.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-71.483215,288.516785,-0.780138,-4.438122,True
7.738000,45.000000,50.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-67.411950,292.588050,-1.139689,-5.784382,True
7.738000,45.000000,55.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-64.384881,295.615119,-1.643639,-7.262209,True
7.738000,45.000000,60.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-62.319788,297.680212,-2.282821,-8.843467,True
7.738000,45.000000,65.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-61.236424,298.763576,-3.044298,-10.488833,True
7.738000,45.000000,70.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-61.232773,298.767227,-3.912575,-12.142941,True
7.738000,45.000000,75.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-62.424473,297.575527,-4.870069,-13.731452,True
7.738000,45.000000,80.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-64.843879,295.156121,-5.896840,-15.165411,True
7.738000,45.000000,85.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-68.333915,291.666085,-6.969376,-16.359811,True
7.738000,45.000000,90.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-72.526980,287.473020,-8.058174,-17.265585,True
7.738000,45.000000,95.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-76.971085,283.028915,-9.124126,-17.896507,True
7.738000,45.000000,100.000000,45.000000,1.000000,-90.000000,dualfeed_amp_phase_optimized,E1-E3,-81.305112,278.694888,-10.114776,-18.328162,True
