amp_b,phase_b_deg,score,avg_rms_bias_deg,p95_rms_bias_deg,avg_max_abs_bias_deg,max_abs_bias_deg,avg_valid_percent,avg_reference_monotonic_percent,curve_count,pdoa_rms_target_met,pdoa_max_target_met
1.0,-90.0,113.01264391887159,47.275082300046634,79.5761058047266,138.30685762986977,179.90881535707103,99.70509893455099,71.18354416623195,288,False,False
1.0,-92.5,113.16140856357818,47.27749125911497,78.72666399589393,138.33314079238664,179.9718746243488,99.70034246575342,71.37372848200313,288,False,False
1.0,-95.0,113.68829936867999,47.44074438556621,78.27024748116474,138.77053298668983,179.95006471713498,99.70509893455099,71.4508889758303,288,False,False
0.975,-90.0,113.7431066769637,47.336937737523975,79.2237423676517,138.72044527017667,179.82732222700395,99.67656012176559,71.2579877412624,288,False,False
0.975,-92.5,113.9543060635687,47.32533150136065,78.51065668236588,138.63421596005398,179.90229173410563,99.64326484018265,71.44792365302928,288,False,False
1.025,-90.0,114.02226960385174,47.22427650334388,79.94322689833083,137.93114774927733,179.8174118136098,99.7431506849315,71.06780342549122,288,False,False
1.025,-92.5,114.11801955253723,47.19726740492068,79.09754945786942,138.08335048420454,179.71457797018184,99.69558599695586,71.31558641975309,288,False,False
1.0,-87.5,114.14412005542322,47.29873923837017,80.45032343268609,137.65857152298074,179.91962356770256,99.68607305936072,71.17651899048613,288,False,False
1.025,-95.0,114.4887588411239,47.379133158440666,78.27623999676726,138.6529113025808,179.87667599821708,99.71936834094369,71.35416666666667,288,False,False
0.95,-90.0,114.56245430937831,47.393457818696,78.96055174245436,138.17923432826763,179.9158158625948,99.62899543378995,71.31316448071144,288,False,False
0.975,-87.5,114.85991496528212,47.32344062439473,80.10067225814798,137.17360639813958,179.9363507117269,99.65753424657534,71.15888230618278,288,False,False
1.05,-90.0,115.02145569462749,47.16513537396034,80.32469719010491,137.56736009923094,179.90782146713383,99.72888127853882,71.06345635541645,288,False,False
1.0,-97.5,115.0880718162141,47.64454577751684,79.32915973992148,139.00639037155977,179.95103320174644,99.70509893455099,71.56635802469135,288,False,False
0.975,-95.0,115.10674554692612,47.5076387797755,79.13324734919131,138.83346590414473,179.9431726809924,99.70985540334856,71.4699074074074,288,False,False
1.025,-87.5,115.15022931076295,47.239094956355174,80.81339979696986,137.54457755852914,179.95449713396147,99.69558599695586,71.13684421342872,288,False,False
1.05,-92.5,115.24324645253078,47.217771283427766,79.4837945400427,138.1317444817425,179.99902178104134,99.73839421613394,71.10638367240479,288,False,False
1.0,-85.0,115.43172829273675,47.45862197276314,81.35089328987215,137.51048131238466,179.90032970031444,99.68607305936072,71.07924553493802,288,False,False
0.95,-92.5,115.4912842481587,47.4800353883948,79.35034892365381,138.93692312373892,179.9550712621043,99.66704718417047,71.33163176590406,288,False,False
1.025,-97.5,115.5020295286554,47.61681046777758,78.58188666148027,138.86566746113945,179.84575649896567,99.72412480974124,71.4921861415406,288,False,False
1.05,-95.0,115.53749314441212,47.36386017440523,78.66659840222704,138.5708877446988,179.91549501282142,99.73839421613394,71.2799947835159,288,False,False
0.95,-87.5,115.78374260996908,47.538044387552446,79.7651611432001,137.9546475333728,179.96456245930005,99.6908295281583,71.2799947835159,288,False,False
1.05,-97.5,115.8975074074498,47.55963642538908,77.87656280800911,138.7634887387311,179.8709174663258,99.70985540334856,71.48892583898453,288,False,False
1.075,-90.0,116.05451106000147,47.1697160127138,80.72040385157597,137.74669802012525,179.8316349784629,99.72888127853882,71.03900408624587,288,False,False
0.975,-85.0,116.1638927065584,47.516416363079095,81.00373574756765,137.0800532729073,179.830792015285,99.6908295281583,71.13904103634151,288,False,False
1.05,-87.5,116.17786449532186,47.20911015989801,81.18939728836106,137.46690362528582,179.95811108789036,99.68131659056317,71.0053142931664,288,False,False
0.925,-90.0,116.2577740260241,47.584563076830925,79.98330201538897,138.33582416588413,179.99339796872914,99.65753424657534,71.25474296395657,288,False,False
1.075,-92.5,116.28845937260077,47.23738440346298,79.88533493591915,138.0221283979736,179.87644140955945,99.75266362252664,71.087093548948,288,False,False
0.975,-97.5,116.45454519144107,47.73664111907561,80.06825432041828,139.16658403180594,179.88454809679115,99.68131659056317,71.60412319596591,288,False,False
1.025,-85.0,116.46720797065514,47.420705857705265,81.71007411296578,137.6088217770511,179.9999760235857,99.70034246575342,71.01945003353454,288,False,False
1.0,-100.0,116.56021174610922,48.00820735994972,80.2355214748766,139.2201192124494,179.98887660652474,99.73363774733637,71.76197617805599,288,False,False
1.075,-95.0,116.56460453656673,47.35627314056415,79.07239770929723,138.3762233075016,179.81389657035152,99.75266362252664,71.21832072683011,288,False,False
0.95,-95.0,116.59709180064439,47.61484655758334,79.98653274580082,138.99605892551648,179.98614018218848,99.67656012176559,71.40796165884194,288,False,False
1.0,-82.5,116.84996214601291,47.719514210469455,82.28002502675939,137.2153228787042,179.8843959673543,99.71936834094369,70.84693345256726,288,False,False
1.05,-100.0,116.87046763640076,47.848670957313345,77.97863145696441,139.08378489288074,179.9903745078875,99.70509893455099,71.60439488784559,288,False,False
1.075,-97.5,116.98047945840182,47.56874908324955,78.28675091432476,138.75545469038627,179.99811290073978,99.71936834094369,71.33433315945052,288,False,False
0.925,-87.5,117.03201851727859,47.74165612589846,80.00918844961562,138.12805578940103,179.83039034638097,99.70509893455099,71.2799947835159,288,False,False
0.95,-85.0,117.04769679343005,47.6635812317705,80.66935423781719,137.42851304894353,179.96750419415383,99.68131659056317,71.1224134933055,288,False,False
0.925,-92.5,117.08212007285776,47.62432085523664,80.28575499634447,138.4704575474975,179.9848169273834,99.66704718417047,71.31205442531734,288,False,False
1.025,-100.0,117.1680432819982,47.93134910316065,79.9065892215645,139.1759190301713,179.97261193093698,99.70509893455099,71.66552556077204,288,False,False
1.1,-90.0,117.18672077115521,47.262435287403136,81.13053730643789,137.81741647312666,179.95020532999126,99.72888127853882,71.02949487045731,288,False,False
1.075,-87.5,117.25438811179194,47.24779232140654,81.57800000052467,137.3760409004471,179.89993878739872,99.70985540334856,70.86974004520954,288,False,False
1.1,-92.5,117.40893427371535,47.31427904237433,80.30255660661581,138.0710904373287,179.97260653696452,99.76693302891933,71.04878499391411,288,False,False
0.975,-100.0,117.428297076249,48.118084995088296,80.0274155077236,139.44024368496946,179.93083688001053,99.70509893455099,71.76197617805599,288,False,False
0.95,-97.5,117.44469111550251,47.84692934549577,80.03316838777111,139.073356226358,179.85705890520842,99.65277777777777,71.60439488784559,288,False,False
1.05,-85.0,117.47807138224866,47.37896378888066,82.08067604022514,137.49144247552513,179.96730670655552,99.67180365296804,70.8648495913754,288,False,False
1.0,-102.5,117.50102205558832,48.380574177800426,80.12724617347592,139.902200252038,179.8985915292197,99.63375190258752,71.62368501130237,288,False,False
1.075,-100.0,117.60207844228566,47.86386973777697,77.79305840547572,139.1107928614549,179.998467494497,99.72412480974124,71.60466657972526,288,False,False
