window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
0.0,270.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
5.0,275.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
10.0,280.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
15.0,285.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
20.0,290.0,550,-13.758794820622,55.0,260.0,5.19131454533319,45.0,20.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
25.0,295.0,550,-13.758794820622,55.0,260.0,5.04894910843016,45.0,25.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
30.0,300.0,550,-13.758794820622,55.0,260.0,4.78026473767541,45.0,30.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
35.0,305.0,550,-13.758794820622,55.0,260.0,4.37982328354512,45.0,35.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
40.0,310.0,550,-13.758794820622,55.0,260.0,3.85776959750683,45.0,40.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
45.0,315.0,550,-13.758794820622,55.0,260.0,3.29853024548945,75.0,45.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
50.0,320.0,550,-13.758794820622,55.0,260.0,3.41788836164746,90.0,320.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
55.0,325.0,550,-13.758794820622,55.0,260.0,3.84424774201626,90.0,325.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
60.0,330.0,550,-13.758794820622,55.0,260.0,4.20835596824004,90.0,330.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
65.0,335.0,550,-13.758794820622,55.0,260.0,4.58736002285839,45.0,335.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
70.0,340.0,550,-13.758794820622,55.0,260.0,4.85349953816357,45.0,340.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
75.0,345.0,550,-13.758794820622,55.0,260.0,4.99991547138411,45.0,345.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
80.0,350.0,550,-13.758794820622,55.0,260.0,5.06098785073689,45.0,350.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
85.0,355.0,550,-13.758794820622,55.0,260.0,5.10273959227289,90.0,355.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
90.0,0.0,550,-13.758794820622,55.0,260.0,5.10353472893983,45.0,0.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
95.0,5.0,550,-13.758794820622,55.0,260.0,5.14651793815801,45.0,5.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
100.0,10.0,550,-13.758794820622,55.0,260.0,5.20014162454296,45.0,10.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
105.0,15.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
110.0,20.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
115.0,25.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
120.0,30.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
125.0,35.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
130.0,40.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
135.0,45.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
140.0,50.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
145.0,55.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
150.0,60.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
155.0,65.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
160.0,70.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
165.0,75.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
170.0,80.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
175.0,85.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
180.0,90.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
185.0,95.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
190.0,100.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
195.0,105.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
200.0,110.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
205.0,115.0,550,-13.758794820622,55.0,260.0,5.22948256246099,45.0,15.0,edgeifa_s17_h5p6_l4p2_f0p60_g0p25,1
