"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,2.78141682893942,0,-2.50135043777556
5,8,0,2.78141682893943,0,-2.50135043777555
10,8,0,2.78141682893943,0,-2.50135043777555
15,8,0,2.78141682893943,0,-2.50135043777555
20,8,0,2.78141682893943,0,-2.50135043777555
25,8,0,2.78141682893943,0,-2.50135043777555
30,8,0,2.78141682893943,0,-2.50135043777555
35,8,0,2.78141682893943,0,-2.50135043777555
40,8,0,2.78141682893943,0,-2.50135043777555
45,8,0,2.78141682893943,0,-2.50135043777555
50,8,0,2.78141682893942,0,-2.50135043777556
55,8,0,2.78141682893943,0,-2.50135043777555
60,8,0,2.78141682893943,0,-2.50135043777555
65,8,0,2.78141682893942,0,-2.50135043777556
70,8,0,2.78141682893942,0,-2.50135043777556
75,8,0,2.78141682893942,0,-2.50135043777556
80,8,0,2.78141682893942,0,-2.50135043777556
85,8,0,2.78141682893942,0,-2.50135043777556
90,8,0,2.78141682893942,0,-2.50135043777556
0,8,5,2.83549747968663,5,-2.44726978702835
5,8,5,2.83521016780892,5,-2.44755709890606
10,8,5,2.83404509074872,5,-2.44872217596626
15,8,5,2.8320625442099,5,-2.45070472250508
20,8,5,2.82935174691768,5,-2.4534155197973
25,8,5,2.82602695897747,5,-2.45674030773751
30,8,5,2.82222256281184,5,-2.46054470390314
35,8,5,2.81808739324371,5,-2.46467987347127
40,8,5,2.81377863678444,5,-2.46898862993054
45,8,5,2.80945562741201,5,-2.47331163930297
50,8,5,2.80527384752099,5,-2.47749341919399
55,8,5,2.80137940157176,5,-2.48138786514322
60,8,5,2.79790417211162,5,-2.48486309460336
65,8,5,2.79496180099988,5,-2.4878054657151
70,8,5,2.79264457131947,5,-2.49012269539551
75,8,5,2.79102120552911,5,-2.49174606118587
80,8,5,2.79013554896648,5,-2.4926317177485
85,8,5,2.79000607807026,5,-2.49276118864472
90,8,5,2.79062615953982,5,-2.49214110717516
0,8,10,3.03589325256651,10,-2.24687401414847
5,8,10,3.03276243559113,10,-2.25000483112385
10,8,10,3.02542216938758,10,-2.2573450973274
15,8,10,3.01418900895421,10,-2.26857825776077
20,8,10,2.9995334496738,10,-2.28323381704118
25,8,10,2.9820533302839,10,-2.30071393643108
30,8,10,2.96244026059491,10,-2.32032700612007
35,8,10,2.94144165169442,10,-2.34132561502056
40,8,10,2.91982136760881,10,-2.36294589910617
45,8,10,2.89832218686708,10,-2.3844450798479
50,8,10,2.87763306680079,10,-2.40513419991419
55,8,10,2.85836359834166,10,-2.42440366837331
60,8,10,2.84102706266531,10,-2.44174020404967
65,8,10,2.82603228710089,10,-2.45673497961409
70,8,10,2.81368325936201,10,-2.46908400735297
75,8,10,2.80418444334378,10,-2.4785828233712
80,8,10,2.79764916496322,10,-2.48511810175176
85,8,10,2.7941084320868,10,-2.48865883462818
90,8,10,2.79351811848858,10,-2.4892491482264
0,8,15,3.37356722852,15,-1.90920003819498
5,8,15,3.36523124001846,15,-1.91753602669652
10,8,15,3.34653244357833,15,-1.93623482313665
15,8,15,3.31830085476526,15,-1.96446641194972
