"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,5.10027786268067,0,1.18172253653698
5,8,0,5.10027786268067,0,1.18172253653699
10,8,0,5.10027786268067,0,1.18172253653699
15,8,0,5.10027786268067,0,1.18172253653699
20,8,0,5.10027786268067,0,1.18172253653699
25,8,0,5.10027786268067,0,1.18172253653699
30,8,0,5.10027786268067,0,1.18172253653699
35,8,0,5.10027786268067,0,1.18172253653699
40,8,0,5.10027786268067,0,1.18172253653699
45,8,0,5.10027786268067,0,1.18172253653699
50,8,0,5.10027786268067,0,1.18172253653699
55,8,0,5.10027786268067,0,1.18172253653699
60,8,0,5.10027786268067,0,1.18172253653699
65,8,0,5.10027786268067,0,1.18172253653699
70,8,0,5.10027786268067,0,1.18172253653699
75,8,0,5.10027786268067,0,1.18172253653699
80,8,0,5.10027786268067,0,1.18172253653699
85,8,0,5.10027786268067,0,1.18172253653699
90,8,0,5.10027786268067,0,1.18172253653699
0,8,5,5.17312348447093,5,1.25456815832725
5,8,5,5.17343255853114,5,1.25487723238746
10,8,5,5.17279340397288,5,1.25423807782919
15,8,5,5.17122280624061,5,1.25266748009693
20,8,5,5.16875054216306,5,1.25019521601937
25,8,5,5.1654188030226,5,1.24686347687892
30,8,5,5.16128160912924,5,1.24272628298555
35,8,5,5.15640425906141,5,1.23784893291773
40,8,5,5.15086283853376,5,1.23230751239008
45,8,5,5.14474378573695,5,1.22618845959327
50,8,5,5.1381434745837,5,1.21958814844002
55,8,5,5.13116773893869,5,1.212612412795
60,8,5,5.12393122534284,5,1.20537589919916
65,8,5,5.11655643545255,5,1.19800110930887
70,8,5,5.10917230879999,5,1.19061698265631
75,8,5,5.10191220685674,5,1.18335688071306
80,8,5,5.09491119396317,5,1.17635586781949
85,8,5,5.08830256970467,5,1.16974724356098
90,8,5,5.08221368743867,5,1.16365836129499
0,8,10,5.25656020325699,10,1.33800487711331
5,8,10,5.2561909228928,10,1.33763559674911
10,8,10,5.25351892189278,10,1.33496359574909
15,8,10,5.24862336650445,10,1.33006804036077
20,8,10,5.24161020619359,10,1.3230548800499
25,8,10,5.23260437677154,10,1.31404905062786
30,8,10,5.22174187791161,10,1.30318655176793
35,8,10,5.2091630805209,10,1.29060775437721
40,8,10,5.19500863354923,10,1.27645330740555
45,8,10,5.17941914459341,10,1.26086381844973
50,8,10,5.16253939010132,10,1.24398406395763
55,8,10,5.14452718666532,10,1.22597186052163
60,8,10,5.12556627979989,10,1.20701095365621
65,8,10,5.10588177188729,10,1.18732644574361
70,8,10,5.08575583539161,10,1.16720050924793
75,8,10,5.06554087310371,10,1.14698554696003
80,8,10,5.04566702236777,10,1.12711169622409
85,8,10,5.02664106104255,10,1.10808573489887
90,8,10,5.00903442413217,10,1.09047909798849
0,8,15,5.30901200503531,15,1.39045667889163
5,8,15,5.30660046675166,15,1.38804514060798
10,8,15,5.30041204059997,15,1.38185671445629
15,8,15,5.29070921357069,15,1.37215388742701
