"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.94767955170956,0,0.73286228773893
5,8,0,4.94767955170956,0,0.732862287738931
10,8,0,4.94767955170956,0,0.732862287738933
15,8,0,4.94767955170956,0,0.732862287738931
20,8,0,4.94767955170956,0,0.732862287738933
25,8,0,4.94767955170956,0,0.732862287738933
30,8,0,4.94767955170956,0,0.732862287738933
35,8,0,4.94767955170956,0,0.732862287738933
40,8,0,4.94767955170956,0,0.732862287738933
45,8,0,4.94767955170956,0,0.732862287738933
50,8,0,4.94767955170956,0,0.732862287738931
55,8,0,4.94767955170956,0,0.732862287738933
60,8,0,4.94767955170956,0,0.732862287738933
65,8,0,4.94767955170956,0,0.732862287738933
70,8,0,4.94767955170956,0,0.732862287738933
75,8,0,4.94767955170956,0,0.732862287738933
80,8,0,4.94767955170956,0,0.732862287738933
85,8,0,4.94767955170956,0,0.732862287738931
90,8,0,4.94767955170956,0,0.732862287738931
0,8,5,5.04197229930154,5,0.827155035330912
5,8,5,5.03993488244041,5,0.825117618469782
10,8,5,5.03675004725147,5,0.821932783280847
15,8,5,5.03245379499349,5,0.817636531022868
20,8,5,5.02710125131012,5,0.812283987339497
25,8,5,5.02076630254148,5,0.805949038570858
30,8,5,5.01354094302068,5,0.798723679050058
35,8,5,5.00553434553233,5,0.790717081561702
40,8,5,4.99687167008127,5,0.782054406110643
45,8,5,4.98769261923502,5,0.772875355264394
50,8,5,4.97814973214576,5,0.763332468175136
55,8,5,4.96840638678044,5,0.753589122809813
60,8,5,4.95863445586459,5,0.743817191893959
65,8,5,4.94901154311324,5,0.734194279142618
70,8,5,4.93971771960215,5,0.724900455631522
75,8,5,4.93093169204705,5,0.716114428076429
80,8,5,4.92282636962745,5,0.708009105656823
85,8,5,4.91556385474412,5,0.70074659077349
90,8,5,4.90928996241551,5,0.694472698444888
0,8,10,5.18141654956625,10,0.966599285595628
5,8,10,5.17777382337593,10,0.962956559405302
10,8,10,5.1711184159286,10,0.956301151957978
15,8,10,5.16149966331896,10,0.946682399348337
20,8,10,5.14902159186881,10,0.934204327898183
25,8,10,5.13384039781902,10,0.919023133848395
30,8,10,5.11615945187877,10,0.901342187908143
35,8,10,5.09622288421017,10,0.881405620239547
40,8,10,5.07430913048665,10,0.859491866516029
45,8,10,5.05072592972381,10,0.835908665753185
50,8,10,5.02580808851119,10,0.810990824540564
55,8,10,4.99991883131278,10,0.785101567342159
60,8,10,4.97345476993899,10,0.758637505968366
65,8,10,4.9468535449034,10,0.732036280932774
70,8,10,4.92060217914172,10,0.705784915171099
