"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,5.14291797765316,0,1.57469476429671
5,8,0,5.14291797765316,0,1.57469476429671
10,8,0,5.14291797765316,0,1.57469476429671
15,8,0,5.14291797765316,0,1.57469476429671
20,8,0,5.14291797765315,0,1.57469476429671
25,8,0,5.14291797765316,0,1.57469476429671
30,8,0,5.14291797765316,0,1.57469476429671
35,8,0,5.14291797765315,0,1.57469476429671
40,8,0,5.14291797765315,0,1.57469476429671
45,8,0,5.14291797765316,0,1.57469476429671
50,8,0,5.14291797765315,0,1.57469476429671
55,8,0,5.14291797765316,0,1.57469476429671
60,8,0,5.14291797765316,0,1.57469476429671
65,8,0,5.14291797765316,0,1.57469476429671
70,8,0,5.14291797765315,0,1.57469476429671
75,8,0,5.14291797765315,0,1.57469476429671
80,8,0,5.14291797765316,0,1.57469476429671
85,8,0,5.14291797765316,0,1.57469476429671
90,8,0,5.14291797765316,0,1.57469476429671
0,8,5,5.17916804485222,5,1.61094483149577
5,8,5,5.18045689564539,5,1.61223368228894
10,8,5,5.18102406850975,5,1.6128008551533
15,8,5,5.1808543142116,5,1.61263110085515
20,8,5,5.17994517346679,5,1.61172196011034
25,8,5,5.17830782861049,5,1.61008461525404
30,8,5,5.17596791025344,5,1.60774469689699
35,8,5,5.17296623010338,5,1.60474301674694
40,8,5,5.16935939093363,5,1.60113617757718
45,8,5,5.16522019772417,5,1.59699698436772
50,8,5,5.1606377639443,5,1.59241455058785
55,8,5,5.15571717905566,5,1.58749396569921
60,8,5,5.15057858390929,5,1.58235537055284
65,8,5,5.14535549636155,5,1.57713228300511
70,8,5,5.14019224598516,5,1.57196903262871
75,8,5,5.13524041822652,5,1.56701720487008
80,8,5,5.13065427591723,5,1.56243106256078
85,8,5,5.12658521713032,5,1.55836200377387
90,8,5,5.1231754362818,5,1.55495222292536
0,8,10,5.23806417115324,10,1.6698409577968
5,8,10,5.24177562827945,10,1.67355241492301
10,8,10,5.24357801139282,10,1.67535479803637
15,8,10,5.24340436069904,10,1.67518114734259
20,8,10,5.24121094124086,10,1.67298772788441
25,8,10,5.23697551310735,10,1.6687522997509
30,8,10,5.23069601549807,10,1.66247280214162
35,8,10,5.22239089041865,10,1.6541676770622
40,8,10,5.21210214235718,10,1.64387892900073
45,8,10,5.19990189133003,10,1.63167867797358
50,8,10,5.18590264097043,10,1.61767942761398
55,8,10,5.17027078867026,10,1.60204757531382
60,8,10,5.15324211727222,10,1.58501890391577
65,8,10,5.13513722125744,10,1.56691400790099
70,8,10,5.11637415150545,10,1.548150938149
75,8,10,5.0974751423598,10,1.52925192900335
80,8,10,5.07906424481478,10,1.51084103145834
85,8,10,5.06185314424064,10,1.49362993088419
90,8,10,5.04661345972396,10,1.47839024636751
0,8,15,5.27880734228908,15,1.71058412893263
5,8,15,5.28497795770826,15,1.71675474435181
10,8,15,5.28795243533976,15,1.71972922198331
15,8,15,5.28771714247737,15,1.71949392912092
20,8,15,5.28431428443514,15,1.71609107107869
25,8,15,5.27780880256861,15,1.70958558921217
30,8,15,5.2682534011258,15,1.70003018776935
35,8,15,5.25565800092963,15,1.68743478757318
40,8,15,5.23997019874412,15,1.67174698538768
45,8,15,5.22107291431736,15,1.65284970096091
50,8,15,5.19880408491868,15,1.63058087156223
55,8,15,5.17300090205493,15,1.60477768869848
60,8,15,5.1435677669724,15,1.57534455361595
65,8,15,5.11056316299078,15,1.54233994963433
70,8,15,5.07429642647799,15,1.50607321312155
75,8,15,5.0354214195488,15,1.46719820619235
80,8,15,4.99501087999711,15,1.42678766664066
85,8,15,4.95459337725866,15,1.38637016390221
90,8,15,4.91613519679525,15,1.3479119834388
0,8,20,5.26305757610074,20,1.6948343627443
5,8,20,5.27001801537581,20,1.70179480201936
10,8,20,5.27205728541366,20,1.70383407205722
15,8,20,5.2695157491316,20,1.70129253577516
20,8,20,5.26289386104958,20,1.69467064769313
25,8,20,5.25274807502934,20,1.6845248616729
30,8,20,5.23957464270918,20,1.67135142935273
35,8,20,5.22369250759926,20,1.65546929424281
40,8,20,5.20514075555443,20,1.63691754219798
45,8,20,5.18360985842879,20,1.61538664507234
50,8,20,5.15842692067692,20,1.59020370732047
55,8,20,5.12861166915154,20,1.56038845579509
60,8,20,5.0930118847145,20,1.52478867135805
65,8,20,5.05051577914905,20,1.48229256579261
70,8,20,5.00032659097967,20,1.43210337762322
75,8,20,4.94227300021912,20,1.37404978686267
80,8,20,4.87711813790066,20,1.30889492454421
85,8,20,4.80681932989211,20,1.23859611653566
90,8,20,4.73468022976891,20,1.16645701641247
0,8,25,5.15998797137419,25,1.59176475801775
5,8,25,5.16492142505887,25,1.59669821170242
10,8,25,5.1624379677453,25,1.59421475438885
15,8,25,5.15357648457787,25,1.58535327122143
20,8,25,5.13971455474883,25,1.57149134139238
25,8,25,5.12239447669173,25,1.55417126333528
30,8,25,5.10311421087712,25,1.53489099752068
35,8,25,5.0830825930529,25,1.51485937969646
40,8,25,5.06295658518774,25,1.49473337183129
45,8,25,5.04260136805572,25,1.47437815469927
50,8,25,5.02093110464716,25,1.45270789129071
55,8,25,4.99588949396053,25,1.42766628060409
60,8,25,4.96461168060719,25,1.39638846725074
65,8,25,4.92377861771822,25,1.35555540436178
70,8,25,4.87014310742562,25,1.30191989406917
75,8,25,4.80118303483882,25,1.23295982148237
80,8,25,4.71582298628933,25,1.14759977293288
85,8,25,4.61515222003081,25,1.04692900667436
90,8,25,4.5030417199628,25,0.934818506606349
0,8,30,4.94977510077159,30,1.38155188741514
5,8,30,4.94972736469671,30,1.38150415134026
10,8,30,4.93907596733119,30,1.37085275397475
15,8,30,4.9197357853903,30,1.35151257203385
20,8,30,4.89414852501958,30,1.32592531166313
25,8,30,4.86512539510561,30,1.29690218174916
30,8,30,4.83562387548682,30,1.26740066213037
35,8,30,4.80840075590604,30,1.24017754254959
40,8,30,4.78552843329384,30,1.21730521993739
45,8,30,4.76783497506825,30,1.1996117617118
50,8,30,4.75440058084928,30,1.18617736749283
55,8,30,4.74227493805629,30,1.17405172469985
60,8,30,4.72654826349444,30,1.15832505013799
65,8,30,4.70082583183736,30,1.13260261848092
70,8,30,4.65806467338236,30,1.08984146002591
75,8,30,4.59167612508915,30,1.02345291173271
80,8,30,4.49679361588883,30,0.928570402532383
85,8,30,4.37162793734658,30,0.803404723990132
90,8,30,4.21883375849528,30,0.650610545138832
0,8,35,4.62646980905253,35,1.05824659569608
5,8,35,4.61913444821444,35,1.05091123485799
10,8,35,4.59772411147873,35,1.02950089812228
15,8,35,4.56494202375199,35,0.996718810395542
20,8,35,4.52410829512321,35,0.955885081766761
25,8,35,4.47918251186881,35,0.910959298512361
30,8,35,4.43471417237318,35,0.866490959016737
35,8,35,4.39553313357896,35,0.82730992022251
40,8,35,4.36605523704748,35,0.797832023691031
45,8,35,4.34923841026912,35,0.781015196912675
50,8,35,4.34542987220904,35,0.777206658852594
55,8,35,4.35148678129506,35,0.783263567938609
60,8,35,4.36052811863943,35,0.792304905282987
65,8,35,4.36247863431125,35,0.794255420954798
70,8,35,4.34531315172153,35,0.777089938365078
75,8,35,4.29675536698401,35,0.728532153627559
80,8,35,4.20620002386576,35,0.637976810509308
85,8,35,4.06676031216629,35,0.498537098809839
90,8,35,3.87747503351893,35,0.309251820162485
0,8,40,4.1994580030831,40,0.631234789726652
5,8,40,4.18351475299214,40,0.615291539635688
10,8,40,4.15012475288759,40,0.581901539531146
15,8,40,4.10250209798038,40,0.534278884623936
20,8,40,4.04436970511237,40,0.476146491755923
25,8,40,3.98033213142801,40,0.412108918071558
30,8,40,3.91625691477394,40,0.348033701417495
35,8,40,3.85927156593917,40,0.291048352582722
40,8,40,3.81700658041368,40,0.24878336705723
45,8,40,3.79596405272851,40,0.227740839372062
50,8,40,3.79933291825971,40,0.231109704903263
55,8,40,3.82499430324108,40,0.256771089884628
60,8,40,3.86455443023874,40,0.296331216882289
65,8,40,3.9038635975699,40,0.335640384213454
70,8,40,3.92485708360041,40,0.356633870243967
75,8,40,3.90812859735033,40,0.339905383993879
80,8,40,3.83566929657072,40,0.267446083214276
85,8,40,3.69356510926872,40,0.125341895912276
90,8,40,3.47486412366254,40,-0.0933590896939076
0,8,45,3.69214999728909,45,0.12392678393264
5,8,45,3.66729284010632,45,0.0990696267498715
10,8,45,3.62179690672184,45,0.0535736933653884
15,8,45,3.55909154077558,45,-0.0091316725808654
20,8,45,3.48276748293287,45,-0.0854557304235729
25,8,45,3.39739008462316,45,-0.170833128733288
30,8,45,3.30955192901897,45,-0.258671284337473
35,8,45,3.22852916441904,45,-0.339694048937407
40,8,45,3.1657790297117,45,-0.402444183644748
45,8,45,3.13277826107237,45,-0.435444952284076
50,8,45,3.13744149462533,45,-0.430781718731121
55,8,45,3.18031958617964,45,-0.387903627176807
60,8,45,3.25228200480075,45,-0.315941208555703
65,8,45,3.33483145387357,45,-0.233391759482874
70,8,45,3.40285348512639,45,-0.165369728230053
75,8,45,3.42854587286809,45,-0.139677340488363
80,8,45,3.38525658576786,45,-0.182966627588591
85,8,45,3.25074613160817,45,-0.317477081748277
90,8,45,3.01030008404919,45,-0.557923129307258
0,8,50,3.13711600532418,50,-0.431107208032271
5,8,50,3.10399384786287,50,-0.464229365493576
10,8,50,3.04701809213223,50,-0.521205121224219
15,8,50,2.96964624449747,50,-0.598576968858981
20,8,50,2.87494585064314,50,-0.693277362713308
25,8,50,2.76681974447659,50,-0.801403468879855
30,8,50,2.65187342184073,50,-0.916349791515713
35,8,50,2.54106444123153,50,-1.02715877212492
40,8,50,2.44988110170141,50,-1.11834211165504
45,8,50,2.395920489296,50,-1.17230272406044
50,8,50,2.3937042871662,50,-1.17451892619024
55,8,50,2.44831451742452,50,-1.11990869593192
60,8,50,2.5508645045336,50,-1.01735870882285
