"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.60681545978709,0,-3.84779049603845
5,8,0,-3.60681545978708,0,-3.84779049603845
10,8,0,-3.60681545978708,0,-3.84779049603845
15,8,0,-3.60681545978709,0,-3.84779049603845
20,8,0,-3.60681545978708,0,-3.84779049603845
25,8,0,-3.60681545978708,0,-3.84779049603845
30,8,0,-3.60681545978709,0,-3.84779049603845
35,8,0,-3.60681545978709,0,-3.84779049603845
40,8,0,-3.60681545978709,0,-3.84779049603845
45,8,0,-3.60681545978708,0,-3.84779049603845
50,8,0,-3.60681545978708,0,-3.84779049603845
55,8,0,-3.60681545978709,0,-3.84779049603845
60,8,0,-3.60681545978709,0,-3.84779049603845
65,8,0,-3.60681545978709,0,-3.84779049603845
70,8,0,-3.60681545978709,0,-3.84779049603845
75,8,0,-3.60681545978709,0,-3.84779049603845
80,8,0,-3.60681545978709,0,-3.84779049603845
85,8,0,-3.60681545978709,0,-3.84779049603845
90,8,0,-3.60681545978709,0,-3.84779049603845
0,8,5,-3.81985851925992,5,-4.06083355551128
5,8,5,-3.80181617828908,5,-4.04279121454044
10,8,5,-3.78060608658234,5,-4.02158112283371
15,8,5,-3.75639064090619,5,-3.99736567715756
20,8,5,-3.72936885585619,5,-3.97034389210755
25,8,5,-3.69977631337211,5,-3.94075134962347
30,8,5,-3.66788553088536,5,-3.90886056713672
35,8,5,-3.63400623919933,5,-3.8749812754507
40,8,5,-3.59848503133172,5,-3.83946006758308
45,8,5,-3.56170391183872,5,-3.80267894809008
50,8,5,-3.52407742313133,5,-3.76505245938269
55,8,5,-3.48604821750048,5,-3.72702325375184
60,8,5,-3.44808114076184,5,-3.68905617701321
65,8,5,-3.41065605719847,5,-3.65163109344983
70,8,5,-3.37425974719441,5,-3.61523478344578
75,8,5,-3.33937723537819,5,-3.58035227162955
80,8,5,-3.30648286244718,5,-3.54745789869854
85,8,5,-3.27603131803193,5,-3.51700635428329
90,8,5,-3.24844873561216,5,-3.48942377186353
0,8,10,-3.70321490297236,10,-3.94418993922372
5,8,10,-3.67022941313653,10,-3.9112044493879
10,8,10,-3.63311874157706,10,-3.87409377782843
15,8,10,-3.59201936431433,10,-3.83299440056569
20,8,10,-3.54693503825151,10,-3.78791007450287
25,8,10,-3.49779564023502,10,-3.73877067648639
30,8,10,-3.44453417541499,10,-3.68550921166635
35,8,10,-3.3871683399613,10,-3.62814337621266
