"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.35769025862455,0,-3.42754788842587
5,8,0,-3.35769025862455,0,-3.42754788842587
10,8,0,-3.35769025862454,0,-3.42754788842586
15,8,0,-3.35769025862455,0,-3.42754788842587
20,8,0,-3.35769025862455,0,-3.42754788842587
25,8,0,-3.35769025862455,0,-3.42754788842587
30,8,0,-3.35769025862455,0,-3.42754788842587
35,8,0,-3.35769025862455,0,-3.42754788842587
40,8,0,-3.35769025862455,0,-3.42754788842587
45,8,0,-3.35769025862455,0,-3.42754788842587
50,8,0,-3.35769025862455,0,-3.42754788842587
55,8,0,-3.35769025862455,0,-3.42754788842587
60,8,0,-3.35769025862454,0,-3.42754788842586
65,8,0,-3.35769025862455,0,-3.42754788842587
70,8,0,-3.35769025862455,0,-3.42754788842587
75,8,0,-3.35769025862455,0,-3.42754788842587
80,8,0,-3.35769025862455,0,-3.42754788842587
85,8,0,-3.35769025862455,0,-3.42754788842587
90,8,0,-3.35769025862455,0,-3.42754788842587
0,8,5,-3.65489356351959,5,-3.72475119332091
5,8,5,-3.64653480586032,5,-3.71639243566164
10,8,5,-3.63504764602552,5,-3.70490527582684
15,8,5,-3.62066891821836,5,-3.69052654801968
20,8,5,-3.60363896615042,5,-3.67349659595174
25,8,5,-3.58419972113817,5,-3.65405735093949
30,8,5,-3.56259489509077,5,-3.6324525248921
35,8,5,-3.53907155913067,5,-3.60892918893199
40,8,5,-3.51388228811304,5,-3.58373991791436
45,8,5,-3.48728708579649,5,-3.55714471559781
50,8,5,-3.45955444565604,5,-3.52941207545736
55,8,5,-3.43096111532871,5,-3.50081874513003
60,8,5,-3.40179037774524,5,-3.47164800754656
65,8,5,-3.37232889778277,5,-3.44218652758409
70,8,5,-3.34286237464724,5,-3.41272000444856
75,8,5,-3.31367036376635,5,-3.38352799356767
80,8,5,-3.28502067919763,5,-3.35487830899896
85,8,5,-3.25716376497866,5,-3.32702139477998
90,8,5,-3.23032735053362,5,-3.30018498033494
0,8,10,-3.54724570372381,10,-3.61710333352513
5,8,10,-3.5191238319692,10,-3.58898146177052
10,8,10,-3.48933471983396,10,-3.55919234963528
15,8,10,-3.45824460890455,10,-3.52810223870587
20,8,10,-3.42593050885125,10,-3.49578813865257
25,8,10,-3.39225321742723,10,-3.46211084722855
30,8,10,-3.35695126276795,10,-3.42680889256927
35,8,10,-3.31974173179956,10,-3.38959936160088
40,8,10,-3.2804139040184,10,-3.35027153381972
45,8,10,-3.23890333528909,10,-3.30876096509041
50,8,10,-3.19533753547401,10,-3.26519516527533
55,8,10,-3.15004926810086,10,-3.21990689790218
60,8,10,-3.10355895471667,10,-3.17341658451799
65,8,10,-3.0565326228709,10,-3.12639025267222
70,8,10,-3.00972528550293,10,-3.07958291530425
75,8,10,-2.96392093529953,10,-3.03377856510085
80,8,10,-2.91987936277432,10,-2.98973699257564
85,8,10,-2.87829714798788,10,-2.9481547777892
90,8,10,-2.83978616073106,10,-2.90964379053238
0,8,15,-2.85380059422074,15,-2.92365822402206
5,8,15,-2.80941679987484,15,-2.87927442967616
10,8,15,-2.77426201505631,15,-2.84411964485763
15,8,15,-2.74755913985347,15,-2.81741676965479
20,8,15,-2.72747244857212,15,-2.79733007837344
25,8,15,-2.71141908442585,15,-2.78127671422717
30,8,15,-2.69644724106155,15,-2.76630487086287
35,8,15,-2.67964801760888,15,-2.74950564741021
40,8,15,-2.65855395212974,15,-2.72841158193106
45,8,15,-2.63146702584945,15,-2.70132465565077
50,8,15,-2.59766104000012,15,-2.66751866980144
55,8,15,-2.55742225049952,15,-2.62727988030084
60,8,15,-2.51192492821266,15,-2.58178255801398
65,8,15,-2.46297488971727,15,-2.53283251951859
70,8,15,-2.41268168244759,15,-2.48253931224892
75,8,15,-2.36313079593354,15,-2.43298842573486
80,8,15,-2.31612011891944,15,-2.38597774872076
85,8,15,-2.27300488697336,15,-2.34286251677468
90,8,15,-2.23466950914023,15,-2.30452713894155
0,8,20,-1.76470010691601,20,-1.83455773671733
5,8,20,-1.71846166800422,20,-1.78831929780554
10,8,20,-1.69787252619489,20,-1.76773015599621
15,8,20,-1.70004220998307,20,-1.76989983978439
20,8,20,-1.72011633836727,20,-1.78997396816859
25,8,20,-1.7517175892508,20,-1.82157521905212
30,8,20,-1.78755340886076,20,-1.85741103866208
35,8,20,-1.82021494556163,20,-1.89007257536295
40,8,20,-1.84311632396437,20,-1.91297395376569
45,8,20,-1.85142607249971,20,-1.92128370230103
50,8,20,-1.84277178995556,20,-1.91262941975688
55,8,20,-1.81750857973781,20,-1.88736620953913
60,8,20,-1.77844979914776,20,-1.84830742894908
65,8,20,-1.73012294291276,20,-1.79998057271408
70,8,20,-1.67775371713497,20,-1.74761134693629
75,8,20,-1.62623650238252,20,-1.69609413218384
80,8,20,-1.57931558176029,20,-1.64917321156161
85,8,20,-1.53911938776554,20,-1.60897701756686
90,8,20,-1.50610390500978,20,-1.5759615348111
0,8,25,-0.61867669917479,25,-0.688534328976111
5,8,25,-0.581133448646021,25,-0.650991078447341
10,8,25,-0.584454096612221,25,-0.654311726413542
15,8,25,-0.624114109776859,25,-0.69397173957818
20,8,25,-0.692979713983472,25,-0.762837343784793
25,8,25,-0.781474925611125,25,-0.851332555412445
30,8,25,-0.87802302996235,25,-0.947880659763671
35,8,25,-0.969993525580215,25,-1.03985115538154
40,8,25,-1.04525112169812,25,-1.11510875149944
45,8,25,-1.0941232485236,25,-1.16398087832492
50,8,25,-1.11126857922734,25,-1.18112620902866
55,8,25,-1.09675844569596,25,-1.16661607549728
60,8,25,-1.05587264381983,25,-1.12573027362115
65,8,25,-0.99761405357685,25,-1.06747168337817
70,8,25,-0.932449483041378,25,-1.0023071128427
75,8,25,-0.869982364446382,25,-0.939839994247703
80,8,25,-0.817123983854639,25,-0.88698161365596
85,8,25,-0.77705276449102,25,-0.84691039429234
90,8,25,-0.749034606160465,25,-0.818892235961786
0,8,30,0.36206963449668,30,0.292212004695359
5,8,30,0.387924998521637,30,0.318067368720315
10,8,30,0.362473622451422,30,0.2926159926501
15,8,30,0.290636471583498,30,0.220778841782178
20,8,30,0.180096377330599,30,0.110238747529278
25,8,30,0.0418055849601974,30,-0.0280520448411229
30,8,30,-0.109775261816036,30,-0.179632891617356
35,8,30,-0.257261831948755,30,-0.327119461750076
40,8,30,-0.382239357304641,30,-0.452096987105961
45,8,30,-0.468508382936949,30,-0.538366012738269
50,8,30,-0.505902067439642,30,-0.575759697240963
55,8,30,-0.493132254924592,30,-0.562989884725913
60,8,30,-0.438182763735011,30,-0.508040393536332
65,8,30,-0.355901384193933,30,-0.425759013995254
70,8,30,-0.263839951810005,30,-0.333697581611325
75,8,30,-0.177969095208813,30,-0.247826725010133
80,8,30,-0.109457706775073,30,-0.179315336576393
85,8,30,-0.0629287938482359,30,-0.132786423649556
90,8,30,-0.0361229476030803,30,-0.105980577404401
0,8,35,1.09592438435444,35,1.02606675455312
5,8,35,1.11170400006384,35,1.04184637026252
10,8,35,1.07146997355925,35,1.00161234375793
15,8,35,0.979292888637879,35,0.909435258836558
20,8,35,0.841599373075553,35,0.771741743274232
25,8,35,0.668588620744083,35,0.598730990942763
30,8,35,0.475557022717649,35,0.405699392916329
35,8,35,0.28324565936623,35,0.213388029564909
40,8,35,0.116152811390934,35,0.046295181589614
45,8,35,-0.00185347299500326,35,-0.0717111027963238
50,8,35,-0.0539048524343134,35,-0.123762482235634
55,8,35,-0.0358538398543078,35,-0.105711469655628
60,8,35,0.0419345834481212,35,-0.0279230463531996
65,8,35,0.158022020492863,35,0.0881643906915424
70,8,35,0.286703099324794,35,0.216845469523474
75,8,35,0.40490102010023,35,0.335043390298909
80,8,35,0.496941347688122,35,0.427083717886802
85,8,35,0.556789130341416,35,0.486931500540095
90,8,35,0.588280952040511,35,0.51842332223919
0,8,40,1.58094303685217,40,1.51108540705085
5,8,40,1.59023337793325,40,1.52037574813193
10,8,40,1.54419665690076,40,1.47433902709944
15,8,40,1.44513006857109,40,1.37527243876977
20,8,40,1.29681977435766,40,1.22696214455634
25,8,40,1.10691407260757,40,1.03705644280625
30,8,40,0.889514372460333,40,0.819656742659012
35,8,40,0.666857193207146,40,0.596999563405826
40,8,40,0.46842637936881,40,0.398568749567489
45,8,40,0.325884624566948,40,0.256026994765627
50,8,40,0.263956876349014,40,0.194099246547693
55,8,40,0.29090732886593,40,0.22104969906461
60,8,40,0.39450376490226,40,0.32464613510094
65,8,40,0.5465732681247,40,0.476715638323379
70,8,40,0.713232137408367,40,0.643374507607046
75,8,40,0.864948142160991,40,0.795090512359671
80,8,40,0.982741065664608,40,0.912883435863288
85,8,40,1.0602867483696,40,0.990429118568282
90,8,40,1.10331364996861,40,1.03345602016729
0,8,45,1.85003116841695,45,1.78017353861563
5,8,45,1.85692564111108,45,1.78706801130976
10,8,45,1.8134171349721,45,1.74355950517078
15,8,45,1.71955731503566,45,1.64969968523434
20,8,45,1.57577264236947,45,1.50591501256815
25,8,45,1.38609075538065,45,1.31623312557932
