"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.45696015954788,0,-7.6463575721315
5,8,0,-3.45696015954789,0,-7.64635757213151
10,8,0,-3.45696015954789,0,-7.64635757213152
15,8,0,-3.45696015954789,0,-7.64635757213152
20,8,0,-3.45696015954789,0,-7.64635757213151
25,8,0,-3.45696015954789,0,-7.64635757213151
30,8,0,-3.45696015954789,0,-7.64635757213151
35,8,0,-3.45696015954789,0,-7.64635757213152
40,8,0,-3.45696015954789,0,-7.64635757213152
45,8,0,-3.4569601595479,0,-7.64635757213152
50,8,0,-3.45696015954789,0,-7.64635757213152
55,8,0,-3.45696015954789,0,-7.64635757213152
60,8,0,-3.45696015954789,0,-7.64635757213151
65,8,0,-3.4569601595479,0,-7.64635757213152
70,8,0,-3.45696015954789,0,-7.64635757213151
75,8,0,-3.45696015954789,0,-7.64635757213151
80,8,0,-3.45696015954789,0,-7.64635757213151
85,8,0,-3.45696015954789,0,-7.64635757213151
90,8,0,-3.45696015954789,0,-7.64635757213152
0,8,5,-3.78442488606642,5,-7.97382229865004
5,8,5,-3.78776043614392,5,-7.97715784872754
10,8,5,-3.78690841491042,5,-7.97630582749404
15,8,5,-3.78180582391808,5,-7.9712032365017
20,8,5,-3.7724540645166,5,-7.96185147710022
25,8,5,-3.7589245385898,5,-7.94832195117342
30,8,5,-3.7413630377229,5,-7.93076045030652
35,8,5,-3.71999212174082,5,-7.90938953432444
40,8,5,-3.69511079973023,5,-7.88450821231386
45,8,5,-3.66709106099263,5,-7.85648847357625
50,8,5,-3.63637112107376,5,-7.82576853365739
55,8,5,-3.60344559311773,5,-7.79284300570135
60,8,5,-3.56885310629869,5,-7.75825051888231
65,8,5,-3.53316211824373,5,-7.72255953082735
70,8,5,-3.49695577376237,5,-7.68635318634599
75,8,5,-3.46081663991605,5,-7.65021405249967
80,8,5,-3.425312015121,5,-7.61470942770462
85,8,5,-3.39098030526668,5,-7.5803777178503
90,8,5,-3.35831873133087,5,-7.54771614391449
0,8,10,-3.88012129837628,10,-8.06951871095991
5,8,10,-3.89547423415433,10,-8.08487164673795
10,8,10,-3.90392104366096,10,-8.09331845624458
15,8,10,-3.90471485058109,10,-8.09411226316471
20,8,10,-3.89706923752699,10,-8.08646665011061
25,8,10,-3.88026552252847,10,-8.06966293511209
30,8,10,-3.85377455525143,10,-8.04317196783506
35,8,10,-3.81737234942057,10,-8.00676976200419
40,8,10,-3.77122841299565,10,-7.96062582557927
45,8,10,-3.71594989258429,10,-7.90534730516791
50,8,10,-3.65257305933173,10,-7.84197047191535
55,8,10,-3.58250425729447,10,-7.7719016698781
60,8,10,-3.50742239224369,10,-7.69681980482731
65,8,10,-3.4291617188835,10,-7.61855913146712
70,8,10,-3.34959558097222,10,-7.53899299355584
75,8,10,-3.27053890137309,10,-7.45993631395672
80,8,10,-3.19368091184,10,-7.38307832442363
85,8,10,-3.12055177313504,10,-7.30994918571866
90,8,10,-3.05251922923912,10,-7.24191664182274
0,8,15,-3.42086361281742,15,-7.61026102540105
5,8,15,-3.45259209505095,15,-7.64198950763457
10,8,15,-3.48529228936981,15,-7.67468970195343
15,8,15,-3.51646921983974,15,-7.70586663242336
20,8,15,-3.54260136866659,15,-7.73199878125022
25,8,15,-3.55955582379844,15,-7.74895323638206
30,8,15,-3.56316436791343,15,-7.75256178049705
35,8,15,-3.54988172588774,15,-7.73927913847136
40,8,15,-3.51740139550069,15,-7.70679880808432
45,8,15,-3.4650855470609,15,-7.65448295964453
50,8,15,-3.39409522600522,15,-7.58349263858884
55,8,15,-3.3071848531057,15,-7.49658226568932
60,8,15,-3.20822168215453,15,-7.39761909473815
65,8,15,-3.10156475085635,15,-7.29096216343997
70,8,15,-2.9914609446875,15,-7.18085835727112
75,8,15,-2.88158826197029,15,-7.07098567455392
80,8,15,-2.77481962702362,15,-6.96421703960724
85,8,15,-2.67321949019348,15,-6.8626169027771
90,8,15,-2.57823568759182,15,-6.76763310017544
0,8,20,-2.42255233786252,20,-6.61194975044614
5,8,20,-2.46403817292421,20,-6.65343558550783
10,8,20,-2.52562945136343,20,-6.71502686394706
15,8,20,-2.60316850591452,20,-6.79256591849814
20,8,20,-2.6896578198291,20,-6.87905523241272
25,8,20,-2.77572634250463,20,-6.96512375508826
30,8,20,-2.85059448922808,20,-7.0399919018117
35,8,20,-2.90358407276028,20,-7.0929814853439
40,8,20,-2.9259892429353,20,-7.11538665551892
45,8,20,-2.91284108327233,20,-7.10223849585595
50,8,20,-2.86395267844434,20,-7.05335009102796
55,8,20,-2.78380021726871,20,-6.97319762985233
60,8,20,-2.68024628895028,20,-6.8696437015339
65,8,20,-2.56257277291003,20,-6.75197018549366
70,8,20,-2.43948424099435,20,-6.62888165357797
75,8,20,-2.31762070433134,20,-6.50701811691497
80,8,20,-2.20084429441965,20,-6.39024170700327
85,8,20,-2.09031773233049,20,-6.27971514491411
90,8,20,-1.98524043715098,20,-6.1746378497346
0,8,25,-1.22533651498561,25,-5.41473392756924
5,8,25,-1.26634513458177,25,-5.45574254716539
10,8,25,-1.34809654717421,25,-5.53749395975783
15,8,25,-1.46619805402845,25,-5.65559546661207
20,8,25,-1.61203274229168,25,-5.80143015487531
25,8,25,-1.77255083079819,25,-5.96194824338181
30,8,25,-1.93074361079273,25,-6.12014102337635
35,8,25,-2.06736422440405,25,-6.25676163698767
40,8,25,-2.16415581382121,25,-6.35355322640483
45,8,25,-2.20803001078293,25,-6.39742742336655
50,8,25,-2.19464732767116,25,-6.38404474025478
55,8,25,-2.12957811384684,25,-6.31897552643046
60,8,25,-2.02627034563322,25,-6.21566775821685
65,8,25,-1.90175176518304,25,-6.09114917776667
70,8,25,-1.77195387746831,25,-5.96135129005193
75,8,25,-1.64822122484192,25,-5.83761863742554
80,8,25,-1.53563716967096,25,-5.72503458225458
85,8,25,-1.43309662372065,25,-5.62249403630427
90,8,25,-1.33481151068748,25,-5.5242089232711
0,8,30,-0.136355179075419,30,-4.32575259165904
5,8,30,-0.170259485173223,30,-4.35965689775685
10,8,30,-0.259523252431191,30,-4.44892066501481
15,8,30,-0.400992196106827,30,-4.59038960869045
20,8,30,-0.587038155532458,30,-4.77643556811608
25,8,30,-0.804217304871912,30,-4.99361471745553
30,8,30,-1.03237219791104,30,-5.22176961049467
35,8,30,-1.24535972176692,30,-5.43475713435054
40,8,30,-1.41467926962765,30,-5.60407668221127
45,8,30,-1.516238343526,30,-5.70563575610962
50,8,30,-1.53808689608983,30,-5.72748430867345
55,8,30,-1.48489048604551,30,-5.67428789862913
60,8,30,-1.37600931027512,30,-5.56540672285875
65,8,30,-1.23816726165913,30,-5.42756467424276
70,8,30,-1.09680754260578,30,-5.2862049551894
75,8,30,-0.96971066876683,30,-5.15910808135045
80,8,30,-0.864021718701863,30,-5.05341913128548
85,8,30,-0.776192385332409,30,-4.96558979791603
90,8,30,-0.694135512441996,30,-4.88353292502562
0,8,35,0.706106115454222,35,-3.4832912971294
5,8,35,0.68224915292677,35,-3.50714825965685
10,8,35,0.596564811473583,35,-3.59283260111004
15,8,35,0.449954616112449,35,-3.73944279647117
20,8,35,0.247026262356859,35,-3.94237115022676
25,8,35,-0.00139686485096763,35,-4.19079427743459
30,8,35,-0.275661683600621,35,-4.46505909618424
35,8,35,-0.546110584182348,35,-4.73550799676597
40,8,35,-0.775731776276547,35,-4.96512918886017
45,8,35,-0.928545047798903,35,-5.11794246038253
50,8,35,-0.982108839607148,35,-5.17150625219077
55,8,35,-0.937336251844954,35,-5.12673366442858
60,8,35,-0.818243786797501,35,-5.00764119938112
65,8,35,-0.661451571307919,35,-4.85084898389154
70,8,35,-0.502598336590352,35,-4.69199574917397
75,8,35,-0.36653006613164,35,-4.55592747871526
80,8,35,-0.263105150607721,35,-4.45250256319134
