"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.80706814945081,0,-4.2748647725623
5,8,0,-3.80706814945081,0,-4.2748647725623
10,8,0,-3.80706814945081,0,-4.2748647725623
15,8,0,-3.80706814945081,0,-4.2748647725623
20,8,0,-3.80706814945081,0,-4.2748647725623
25,8,0,-3.80706814945081,0,-4.2748647725623
30,8,0,-3.80706814945081,0,-4.2748647725623
35,8,0,-3.80706814945081,0,-4.2748647725623
40,8,0,-3.80706814945081,0,-4.2748647725623
45,8,0,-3.80706814945081,0,-4.2748647725623
50,8,0,-3.80706814945081,0,-4.2748647725623
55,8,0,-3.80706814945081,0,-4.2748647725623
60,8,0,-3.80706814945081,0,-4.2748647725623
65,8,0,-3.80706814945081,0,-4.2748647725623
70,8,0,-3.80706814945081,0,-4.2748647725623
75,8,0,-3.80706814945081,0,-4.2748647725623
80,8,0,-3.80706814945081,0,-4.2748647725623
85,8,0,-3.80706814945081,0,-4.2748647725623
90,8,0,-3.80706814945081,0,-4.2748647725623
0,8,5,-4.06716578967602,5,-4.53496241278751
5,8,5,-4.05100786622812,5,-4.5188044893396
10,8,5,-4.03139056639023,5,-4.49918718950172
15,8,5,-4.00847484652435,5,-4.47627146963584
20,8,5,-3.98245426705426,5,-4.45025089016575
25,8,5,-3.95355600379036,5,-4.42135262690185
30,8,5,-3.92204284336895,5,-4.38983946648044
35,8,5,-3.88821539554408,5,-4.35601201865557
40,8,5,-3.85241370698031,5,-4.3202103300918
45,8,5,-3.81501754929236,5,-4.28281417240385
50,8,5,-3.77644485132577,5,-4.24424147443726
55,8,5,-3.73714800761991,5,-4.2049446307314
60,8,5,-3.69760806941026,5,-4.16540469252175
65,8,5,-3.65832706215046,5,-4.12612368526195
70,8,5,-3.6198188376208,5,-4.08761546073229
75,8,5,-3.58259894129435,5,-4.05039556440584
80,8,5,-3.54717395948476,5,-4.01497058259625
85,8,5,-3.51403072671275,5,-3.98182734982424
90,8,5,-3.48362565457102,5,-3.95142227768251
0,8,10,-3.98905303283129,10,-4.45684965594278
5,8,10,-3.95934644972896,10,-4.42714307284045
10,8,10,-3.92593057771552,10,-4.39372720082701
15,8,10,-3.88883189508212,10,-4.35662851819361
20,8,10,-3.84785694664385,10,-4.31565356975534
25,8,10,-3.80267896448126,10,-4.27047558759275
30,8,10,-3.75294767546742,10,-4.22074429857891
35,8,10,-3.69840411835954,10,-4.16620074147103
40,8,10,-3.63898209191833,10,-4.10677871502982
45,8,10,-3.57488079963832,10,-4.04267742274981
50,8,10,-3.50659905659448,10,-3.97439567970597
55,8,10,-3.4349289945614,10,-3.90272561767289
60,8,10,-3.36091484320828,10,-3.82871146631977
65,8,10,-3.28578827387553,10,-3.75358489698702
70,8,10,-3.21089466330638,10,-3.67869128641787
75,8,10,-3.13762406137982,10,-3.60542068449131
80,8,10,-3.06735715142172,10,-3.53515377453321
85,8,10,-3.0014312323329,10,-3.46922785544439
90,8,10,-2.94112559831255,10,-3.40892222142404
0,8,15,-3.3294039321584,15,-3.79720055526989
5,8,15,-3.29081103668164,15,-3.75860765979313
10,8,15,-3.25913683630535,15,-3.72693345941684
15,8,15,-3.233165758053,15,-3.70096238116449
20,8,15,-3.21048929795315,15,-3.67828592106464
25,8,15,-3.18788244080485,15,-3.65567906391633
30,8,15,-3.16178659726396,15,-3.62958322037545
35,8,15,-3.12884304766572,15,-3.59663967077721
40,8,15,-3.08639787558877,15,-3.55419449870026
45,8,15,-3.03288827853758,15,-3.50068490164907
50,8,15,-2.96803394233962,15,-3.43583056545111
55,8,15,-2.89279873387957,15,-3.36059535699106
