"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-0.348915809383847,0,-1.77341265947605
5,8,0,-0.348915809383844,0,-1.77341265947605
10,8,0,-0.348915809383843,0,-1.77341265947605
15,8,0,-0.348915809383843,0,-1.77341265947604
20,8,0,-0.348915809383844,0,-1.77341265947605
25,8,0,-0.348915809383843,0,-1.77341265947604
30,8,0,-0.348915809383844,0,-1.77341265947605
35,8,0,-0.348915809383847,0,-1.77341265947605
40,8,0,-0.348915809383846,0,-1.77341265947605
45,8,0,-0.348915809383846,0,-1.77341265947605
50,8,0,-0.348915809383846,0,-1.77341265947605
55,8,0,-0.348915809383847,0,-1.77341265947605
60,8,0,-0.348915809383844,0,-1.77341265947605
65,8,0,-0.348915809383844,0,-1.77341265947605
70,8,0,-0.348915809383847,0,-1.77341265947605
75,8,0,-0.348915809383847,0,-1.77341265947605
80,8,0,-0.348915809383846,0,-1.77341265947605
85,8,0,-0.348915809383846,0,-1.77341265947605
90,8,0,-0.348915809383846,0,-1.77341265947605
0,8,5,-0.287206168435768,5,-1.71170301852797
5,8,5,-0.280726886488661,5,-1.70522373658086
10,8,5,-0.273460166922859,5,-1.69795701701506
15,8,5,-0.265556844595395,5,-1.6900536946876
20,8,5,-0.257224820185841,5,-1.68172167027804
25,8,5,-0.248720953360739,5,-1.67321780345294
30,8,5,-0.240341104361017,5,-1.66483795445322
35,8,5,-0.232408689249871,5,-1.65690553934207
40,8,5,-0.225262165252678,5,-1.64975901534488
45,8,5,-0.219241912901154,5,-1.64373876299336
50,8,5,-0.214677024693207,5,-1.63917387478541
55,8,5,-0.211872537324444,5,-1.63636938741665
60,8,5,-0.211097647691831,5,-1.63559449778403
65,8,5,-0.212575424907022,5,-1.63707227499922
70,8,5,-0.216474467662356,5,-1.64097131775456
75,8,5,-0.222902858637306,5,-1.64739970872951
80,8,5,-0.231904639697183,5,-1.65640148978938
85,8,5,-0.243458881987692,5,-1.66795573207989
90,8,5,-0.257481265636307,5,-1.68197811572851
0,8,10,-0.427516729522794,10,-1.852013579615
5,8,10,-0.40905351254454,10,-1.83355036263674
10,8,10,-0.384707033640152,10,-1.80920388373235
15,8,10,-0.355149901280302,10,-1.7796467513725
20,8,10,-0.321278216017904,10,-1.74577506611011
25,8,10,-0.284187177750449,10,-1.70868402784265
30,8,10,-0.245141905616025,10,-1.66963875570823
35,8,10,-0.2055410487148,10,-1.630037898807
40,8,10,-0.166871594688353,10,-1.59136844478055
45,8,10,-0.130654759708502,10,-1.5551516098007
50,8,10,-0.0983845872176822,10,-1.52288143730988
55,8,10,-0.0714625010742778,10,-1.49595935116648
60,8,10,-0.0511322427899966,10,-1.4756290928822
65,8,10,-0.0384202014042069,10,-1.46291705149641
70,8,10,-0.0340860871240022,10,-1.4585829372162
75,8,10,-0.0385882752477563,10,-1.46308512533996
80,8,10,-0.0520670677182341,10,-1.47656391781044
85,8,10,-0.0743476955460835,10,-1.49884454563828
90,8,10,-0.104963205240195,10,-1.5294600553324
0,8,15,-0.665923128224527,15,-2.09041997831673
5,8,15,-0.628247543611012,15,-2.05274439370321
10,8,15,-0.578365709380789,15,-2.00286255947299
15,8,15,-0.517423096299919,15,-1.94191994639212
20,8,15,-0.446802668326752,15,-1.87129951841895
25,8,15,-0.368211464368797,15,-1.792708314461
30,8,15,-0.283763690938397,15,-1.7082605410306
