"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.46846613642957,0,-3.60211169498049
5,8,0,-3.46846613642957,0,-3.60211169498049
10,8,0,-3.46846613642957,0,-3.60211169498049
15,8,0,-3.46846613642957,0,-3.60211169498049
20,8,0,-3.46846613642957,0,-3.60211169498049
25,8,0,-3.46846613642957,0,-3.60211169498049
30,8,0,-3.46846613642958,0,-3.6021116949805
35,8,0,-3.46846613642958,0,-3.6021116949805
40,8,0,-3.46846613642958,0,-3.6021116949805
45,8,0,-3.46846613642958,0,-3.6021116949805
50,8,0,-3.46846613642958,0,-3.6021116949805
55,8,0,-3.46846613642958,0,-3.6021116949805
60,8,0,-3.46846613642957,0,-3.60211169498049
65,8,0,-3.46846613642957,0,-3.60211169498049
70,8,0,-3.46846613642957,0,-3.60211169498049
75,8,0,-3.46846613642957,0,-3.60211169498049
80,8,0,-3.46846613642957,0,-3.60211169498049
85,8,0,-3.46846613642957,0,-3.60211169498049
90,8,0,-3.46846613642957,0,-3.60211169498049
0,8,5,-3.66494957225079,5,-3.79859513080172
5,8,5,-3.65761467663653,5,-3.79126023518745
10,8,5,-3.64730294686963,5,-3.78094850542055
15,8,5,-3.63412094919434,5,-3.76776650774526
20,8,5,-3.61821032569466,5,-3.75185588424558
25,8,5,-3.59974837396695,5,-3.73339393251788
30,8,5,-3.57894894751749,5,-3.71259450606841
35,8,5,-3.55606308205406,5,-3.68970864060498
40,8,5,-3.53137875138703,5,-3.66502430993795
45,8,5,-3.50521926098997,5,-3.63886481954089
50,8,5,-3.47793997234721,5,-3.61158553089813
55,8,5,-3.44992327835001,5,-3.58356883690093
60,8,5,-3.42157197501198,5,-3.5552175335629
65,8,5,-3.39330135697073,5,-3.52694691552165
70,8,5,-3.3655304743143,5,-3.49917603286523
75,8,5,-3.33867301346087,5,-3.47231857201179
80,8,5,-3.31312821043304,5,-3.44677376898396
85,8,5,-3.2892720920906,5,-3.42291765064152
90,8,5,-3.2674492016583,5,-3.40109476020922
0,8,10,-3.61260007468456,10,-3.74624563323548
5,8,10,-3.59665738210485,10,-3.73030294065577
10,8,10,-3.57672239619354,10,-3.71036795474446
15,8,10,-3.55274955752505,10,-3.68639511607597
20,8,10,-3.52456207407709,10,-3.65820763262801
25,8,10,-3.49192753754011,10,-3.62557309609103
30,8,10,-3.45464898178431,10,-3.58829454033524
35,8,10,-3.4126556115375,10,-3.54630117008842
40,8,10,-3.36607774173274,10,-3.49972330028366
45,8,10,-3.31529359266596,10,-3.44893915121688
50,8,10,-3.26094105674806,10,-3.39458661529898
55,8,10,-3.20389431601169,10,-3.33753987456261
60,8,10,-3.14521174779304,10,-3.27885730634396
65,8,10,-3.08606642682157,10,-3.2197119853725
70,8,10,-3.02767270685915,10,-3.16131826541007
75,8,10,-2.97122157512878,10,-3.1048671336797
80,8,10,-2.91783417002591,10,-3.05147972857683
85,8,10,-2.86853797107786,10,-3.00218352962879
90,8,10,-2.82426481658833,10,-2.95791037513925
0,8,15,-3.08172696905258,15,-3.2153725276035
5,8,15,-3.05933730421794,15,-3.19298286276886
10,8,15,-3.04102595341319,15,-3.17467151196411
15,8,15,-3.02543480958953,15,-3.15908036814045
20,8,15,-3.01027455762512,15,-3.14392011617604
25,8,15,-2.99268943966762,15,-3.12633499821854
30,8,15,-2.96971003414561,15,-3.10335559269653
35,8,15,-2.93873460255977,15,-3.07238016111069
40,8,15,-2.89796132895305,15,-3.03160688750397
45,8,15,-2.84668968617666,15,-2.98033524472759
50,8,15,-2.78542846205173,15,-2.91907402060265
55,8,15,-2.71578988758099,15,-2.84943544613191
60,8,15,-2.64020101745652,15,-2.77384657600745
65,8,15,-2.56150630753733,15,-2.69515186608825
70,8,15,-2.4825549281856,15,-2.61620048673653
75,8,15,-2.40585967942509,15,-2.53950523797602
80,8,15,-2.33338853797397,15,-2.46703409652489
85,8,15,-2.26651576877136,15,-2.40016132732229
90,8,15,-2.2061259538482,15,-2.33977151239912
0,8,20,-2.12154723477269,20,-2.25519279332361
5,8,20,-2.09784176907433,20,-2.23148732762525
10,8,20,-2.09519117168103,20,-2.22883673023195
15,8,20,-2.10997506449472,20,-2.24362062304564
20,8,20,-2.13635839498869,20,-2.27000395353961
25,8,20,-2.16687260608483,20,-2.30051816463576
30,8,20,-2.19327208365165,20,-2.32691764220257
35,8,20,-2.20765308706864,20,-2.34129864561957
40,8,20,-2.2036954204864,20,-2.33734097903732
45,8,20,-2.17775400895384,20,-2.31139956750476
50,8,20,-2.12947740896313,20,-2.26312296751406
55,8,20,-2.06172948216082,20,-2.19537504071174
60,8,20,-1.97981469751479,20,-2.11346025606571
65,8,20,-1.89024096669759,20,-2.02388652524851
70,8,20,-1.79937566247445,20,-1.93302122102538
75,8,20,-1.71232492063759,20,-1.84597047918851
80,8,20,-1.63224870107736,20,-1.76589425962828
85,8,20,-1.56019383591209,20,-1.69383939446301
90,8,20,-1.49542772688948,20,-1.6290732854404
0,8,25,-1.01336052182106,25,-1.14700608037198
5,8,25,-0.991070112850718,25,-1.12471567140164
10,8,25,-1.00792678549275,25,-1.14157234404367
15,8,25,-1.05871880170066,25,-1.19236436025158
20,8,25,-1.13501665848684,25,-1.26866221703776
25,8,25,-1.22539155686847,25,-1.35903711541939
30,8,25,-1.31610584270017,25,-1.44975140125109
35,8,25,-1.39257068701982,25,-1.52621624557074
40,8,25,-1.44160984517743,25,-1.57525540372835
45,8,25,-1.45409715257865,25,-1.58774271112957
50,8,25,-1.42707590794989,25,-1.56072146650081
55,8,25,-1.36441331998747,25,-1.49805887853839
60,8,25,-1.27559092707469,25,-1.40923648562561
65,8,25,-1.17306884407863,25,-1.30671440262956
70,8,25,-1.06919776817463,25,-1.20284332672555
75,8,25,-0.973605520742026,25,-1.10725107929295
80,8,25,-0.891575450251907,25,-1.02522100880283
85,8,25,-0.823542543410069,25,-0.957188101960991
90,8,25,-0.765640687817231,25,-0.899286246368153
0,8,30,-0.0100585392347528,30,-0.143704097785675
5,8,30,0.0119271458704839,30,-0.121718412680438
10,8,30,-0.0178283693329057,30,-0.151473927883828
15,8,30,-0.0942175108696905,30,-0.227863069420612
20,8,30,-0.208754797437029,30,-0.342400355987951
25,8,30,-0.348830939667745,30,-0.482476498218667
30,8,30,-0.497427107207813,30,-0.631072665758735
35,8,30,-0.634076722048186,30,-0.767722280599108
40,8,30,-0.73770081985205,30,-0.871346378402971
45,8,30,-0.791170334664421,30,-0.924815893215344
50,8,30,-0.786149927430106,30,-0.919795485981028
55,8,30,-0.725869870970674,30,-0.859515429521596
60,8,30,-0.624126919822014,30,-0.757772478372936
65,8,30,-0.500879765976191,30,-0.634525324527113
70,8,30,-0.376534374404546,30,-0.510179932955468
75,8,30,-0.26708359202633,30,-0.400729150577252
80,8,30,-0.18115851636346,30,-0.314804074914382
85,8,30,-0.119025369282165,30,-0.252670927833087
90,8,30,-0.0732237867520168,30,-0.206869345302939
0,8,35,0.766524902150928,35,0.632879343600007
5,8,35,0.791066942329821,35,0.657421383778899
10,8,35,0.759243987823199,35,0.625598429272277
15,8,35,0.674331888249687,35,0.540686329698765
20,8,35,0.542236040477439,35,0.408590481926517
25,8,35,0.373516390324045,35,0.239870831773123
30,8,35,0.185201661264183,35,0.05155610271326
35,8,35,0.00118052020052864,35,-0.132465038350393
40,8,35,-0.150253909370834,35,-0.283899467921756
45,8,35,-0.242481405122392,35,-0.376126963673314
50,8,35,-0.258885164875266,35,-0.392530723426189
55,8,35,-0.199390283181627,35,-0.333035841732549
60,8,35,-0.0809411152034566,35,-0.214586673754379
65,8,35,0.0686793780387149,35,-0.0649661805122076
70,8,35,0.220037753712591,35,0.0863921951616698
75,8,35,0.349874590908231,35,0.21622903235731
80,8,35,0.445551297790102,35,0.31190573923918
85,8,35,0.506395558168845,35,0.372749999617923
90,8,35,0.542872711447403,35,0.40922715289648
0,8,40,1.29198306623912,40,1.1583375076882
5,8,40,1.32157277237806,40,1.18792721382714
10,8,40,1.29779206990931,40,1.16414651135839
15,8,40,1.22082702695343,40,1.0871814684025
20,8,40,1.09207969708886,40,0.958434138537936
25,8,40,0.917528027275781,40,0.783882468724859
30,8,40,0.711218425502644,40,0.577572866951723
35,8,40,0.497466219816392,40,0.36382066126547
40,8,40,0.309687780664623,40,0.1760422221137
45,8,40,0.183808458025054,40,0.0501628994741316
50,8,40,0.146584728406288,40,0.0129391698553657
55,8,40,0.204069890302561,40,0.0704243317516387
60,8,40,0.338102049402776,40,0.204456490851854
65,8,40,0.513848500658097,40,0.380202942107176
70,8,40,0.693160366003926,40,0.559514807453004
75,8,40,0.846016395805626,40,0.712370837254705
80,8,40,0.956432450830247,40,0.822786892279325
85,8,40,1.02358257012024,40,0.889937011569322
90,8,40,1.06014389778663,40,0.926498339235706
0,8,45,1.59206395506171,45,1.45841839651079
5,8,45,1.62752041884433,45,1.49387486029341
10,8,45,1.61822863169821,45,1.48458307314729
15,8,45,1.56080839749396,45,1.42716283894303
20,8,45,1.45134117606568,45,1.31769561751476
25,8,45,1.28992371237857,45,1.15627815382765
30,8,45,1.0856848996617,45,0.952039341110776
35,8,45,0.860806468956273,45,0.727160910405351
40,8,45,0.651135152763317,45,0.517489594212395
45,8,45,0.50012670685835,45,0.366481148307428
50,8,45,0.444713009129184,45,0.311067450578262
55,8,45,0.49845124478261,45,0.364805686231688
60,8,45,0.643720039094418,45,0.510074480543497
65,8,45,0.83998198861556,45,0.706336430064638
70,8,45,1.04174688740134,45,0.908101328850418
75,8,45,1.21416543790002,45,1.08051987934909
80,8,45,1.34021809095261,45,1.20657253240169
85,8,45,1.42068172617858,45,1.28703616762766
90,8,45,1.47033879465574,45,1.33669323610482
0,8,50,1.71329151416018,50,1.57964595560926
5,8,50,1.75327887966193,50,1.619633321111
10,8,50,1.75985805741136,50,1.62621249886044
15,8,50,1.72664479896251,50,1.59299924041159
20,8,50,1.64489717391425,50,1.51125161536333
25,8,50,1.5088984962802,50,1.37525293772928
30,8,50,1.32217194638284,50,1.18852638783192
35,8,50,1.1030920636111,50,0.969446505060176
40,8,50,0.887375058312755,50,0.753729499761833
45,8,50,0.723279725445573,50,0.589634166894651
50,8,50,0.656141866864199,50,0.522496308313277
55,8,50,0.706747441391976,50,0.573101882841054
60,8,50,0.858750064787483,50,0.725104506236561
65,8,50,1.06714308007027,50,0.933497521519347
70,8,50,1.28104376671379,50,1.14739820816287
75,8,50,1.46380225646483,50,1.3301566979139
80,8,50,1.60121963979461,50,1.46757408124369
85,8,50,1.69913911956634,50,1.56549356101542
90,8,50,1.77545985541658,50,1.64181429686565
0,8,55,1.70594948885623,55,1.5723039303053
5,8,55,1.74739067877762,55,1.6137451202267
10,8,55,1.76639562410333,55,1.63275006555241
