"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-2.71023820691954,0,-4.03579023193382
5,8,0,-2.71023820691954,0,-4.03579023193382
10,8,0,-2.71023820691954,0,-4.03579023193382
15,8,0,-2.71023820691954,0,-4.03579023193382
20,8,0,-2.71023820691954,0,-4.03579023193382
25,8,0,-2.71023820691954,0,-4.03579023193382
30,8,0,-2.71023820691955,0,-4.03579023193382
35,8,0,-2.71023820691954,0,-4.03579023193382
40,8,0,-2.71023820691954,0,-4.03579023193382
45,8,0,-2.71023820691954,0,-4.03579023193382
50,8,0,-2.71023820691954,0,-4.03579023193382
55,8,0,-2.71023820691954,0,-4.03579023193382
60,8,0,-2.71023820691954,0,-4.03579023193382
65,8,0,-2.71023820691954,0,-4.03579023193382
70,8,0,-2.71023820691954,0,-4.03579023193382
75,8,0,-2.71023820691954,0,-4.03579023193382
80,8,0,-2.71023820691954,0,-4.03579023193382
85,8,0,-2.71023820691954,0,-4.03579023193382
90,8,0,-2.71023820691954,0,-4.03579023193382
0,8,5,-2.77659618383154,5,-4.10214820884582
5,8,5,-2.76139766221366,5,-4.08694968722794
10,8,5,-2.74482090159582,5,-4.0703729266101
15,8,5,-2.72703464136372,5,-4.052586666378
20,8,5,-2.70821210800994,5,-4.03376413302421
25,8,5,-2.68853098917593,5,-4.01408301419021
30,8,5,-2.66817474587287,5,-3.99372677088715
35,8,5,-2.6473347007432,5,-3.97288672575747
40,8,5,-2.62621226395398,5,-3.95176428896826
45,8,5,-2.60502067700979,5,-3.93057270202407
50,8,5,-2.58398575889326,5,-3.90953778390753
55,8,5,-2.56334530669826,5,-3.88889733171254
60,8,5,-2.54334700397111,5,-3.86889902898539
65,8,5,-2.5242448905774,5,-3.84979691559168
70,8,5,-2.5062946167483,5,-3.83184664176258
75,8,5,-2.4897478175442,5,-3.81529984255848
80,8,5,-2.47484599057503,5,-3.8003980155893
85,8,5,-2.46181424109472,5,-3.787366266109
90,8,5,-2.45085518863162,5,-3.7764072136459
0,8,10,-2.62176813984772,10,-3.947320164862
5,8,10,-2.58947179572667,10,-3.91502382074095
10,8,10,-2.55682046422579,10,-3.88237248924007
15,8,10,-2.52401651866925,10,-3.84956854368353
20,8,10,-2.49105408550296,10,-3.81660611051723
25,8,10,-2.45777344382889,10,-3.78332546884317
30,8,10,-2.42393421277965,10,-3.74948623779392
35,8,10,-2.38929674794032,10,-3.7148487729546
40,8,10,-2.35370024999461,10,-3.67925227500888
45,8,10,-2.31712666507734,10,-3.64267869009161
50,8,10,-2.27974170426098,10,-3.60529372927526
55,8,10,-2.24190807247918,10,-3.56746009749346
60,8,10,-2.20417069716262,10,-3.5297227221769
65,8,10,-2.167218471985,10,-3.49277049699928
70,8,10,-2.13183077931117,10,-3.45738280432544
75,8,10,-2.09881903262674,10,-3.42437105764102
80,8,10,-2.06897332641161,10,-3.39452535142589
85,8,10,-2.04302213472572,10,-3.36857415974
90,8,10,-2.02160941415599,10,-3.34716143917026
0,8,15,-2.10620476206175,15,-3.43175678707602
5,8,15,-2.05994770791798,15,-3.38549973293226
10,8,15,-2.02165972677212,15,-3.3472117517864
15,8,15,-1.99074581530013,15,-3.3162978403144
20,8,15,-1.96570673380261,15,-3.29125875881688
25,8,15,-1.94437414207458,15,-3.26992616708886
30,8,15,-1.92421940450562,15,-3.2497714295199
35,8,15,-1.90271026875843,15,-3.22826229377271
40,8,15,-1.8776750376819,15,-3.20322706269617
45,8,15,-1.84762092025794,15,-3.17317294527222
50,8,15,-1.81195014042296,15,-3.13750216543724
55,8,15,-1.77103018957361,15,-3.09658221458788
60,8,15,-1.7261030540629,15,-3.05165507907717
65,8,15,-1.67905443484475,15,-3.00460645985902
70,8,15,-1.63209577511041,15,-2.95764780012469
75,8,15,-1.58742908747062,15,-2.91298111248489
80,8,15,-1.54696338876593,15,-2.87251541378021
85,8,15,-1.51213502797651,15,-2.83768705299079
90,8,15,-1.48385883488955,15,-2.80941085990383
0,8,20,-1.28094689620591,20,-2.60649892122018
5,8,20,-1.22986177522111,20,-2.55541380023538
10,8,20,-1.20156825120879,20,-2.52712027622306
15,8,20,-1.19388668392614,20,-2.51943870894042
20,8,20,-1.2027614980495,20,-2.52831352306378
25,8,20,-1.22259533720818,20,-2.54814736222246
30,8,20,-1.24675611066358,20,-2.57230813567785
35,8,20,-1.2682950642459,20,-2.59384708926018
40,8,20,-1.28084897816675,20,-2.60640100318103
45,8,20,-1.27960003322736,20,-2.60515205824164
50,8,20,-1.26207567775216,20,-2.58762770276643
55,8,20,-1.22854894930351,20,-2.55410097431779
60,8,20,-1.18188547350581,20,-2.50743749852008
65,8,20,-1.1268520849209,20,-2.45240410993518
70,8,20,-1.06907197008296,20,-2.39462399509723
75,8,20,-1.01390152850641,20,-2.33945355352068
80,8,20,-0.965490839610094,20,-2.29104286462437
85,8,20,-0.926208177665352,20,-2.25176020267963
90,8,20,-0.896511776268867,20,-2.22206380128314
0,8,25,-0.35027369084096,25,-1.67582571585524
5,8,25,-0.303038371907566,25,-1.62859039692184
10,8,25,-0.294198479074054,25,-1.61975050408833
15,8,25,-0.320283420849215,25,-1.64583544586349
20,8,25,-0.375220339275812,25,-1.70077236429009
25,8,25,-0.450380654110815,25,-1.77593267912509
30,8,25,-0.534862753167543,25,-1.86041477818182
35,8,25,-0.616272967547784,25,-1.94182499256206
40,8,25,-0.682182285741555,25,-2.00773431075583
45,8,25,-0.722174014894168,25,-2.04772603990844
50,8,25,-0.730005260522567,25,-2.05555728553684
55,8,25,-0.705105323935997,25,-2.03065734895027
60,8,25,-0.652715360900933,25,-1.97826738591521
65,8,25,-0.582496920003648,25,-1.90804894501792
70,8,25,-0.506084834170821,25,-1.8316368591851
75,8,25,-0.434403338222544,25,-1.75995536323682
80,8,25,-0.375466792228124,25,-1.7010188172424
85,8,25,-0.333058623733948,25,-1.65861064874823
90,8,25,-0.306399476678695,25,-1.63195150169297
0,8,30,0.491600898533572,30,-0.833951126480704
5,8,30,0.531182053178764,30,-0.794369971835512
10,8,30,0.520785695430695,30,-0.804766329583582
15,8,30,0.464107240526245,30,-0.861444784488032
20,8,30,0.367581323549825,30,-0.957970701464452
25,8,30,0.24100066735521,30,-1.08455135765907
30,8,30,0.0979998419525923,30,-1.22755218306168
35,8,30,-0.0441724232276395,30,-1.36972444824192
40,8,30,-0.166234218081347,30,-1.49178624309562
45,8,30,-0.25012736555104,30,-1.57567939056532
50,8,30,-0.283388515523581,30,-1.60894054053786
55,8,30,-0.262967297166683,30,-1.58851932218096
60,8,30,-0.196483610736994,30,-1.52203563575127
65,8,30,-0.100038857206769,30,-1.42559088222105
70,8,30,0.00644403849029642,30,-1.31910798652398
75,8,30,0.104344837287429,30,-1.22120718772685
80,8,30,0.180319358298484,30,-1.14523266671579
85,8,30,0.228531248015343,30,-1.09702077699893
90,8,30,0.251239392591521,30,-1.07431263242276
0,8,35,1.139832492549,35,-0.185719532465276
5,8,35,1.17239705312513,35,-0.153154971889151
10,8,35,1.14927845834036,35,-0.176273566673914
15,8,35,1.07327934743514,35,-0.252272677579141
20,8,35,0.949474816665496,35,-0.37607720834878
25,8,35,0.786664622587635,35,-0.538887402426642
30,8,35,0.598964061082977,35,-0.726587963931299
35,8,35,0.406704837077239,35,-0.918847187937037
40,8,35,0.235420025393454,35,-1.09013199962082
45,8,35,0.111755989612696,35,-1.21379603540158
50,8,35,0.0564389913338546,35,-1.26911303368042
55,8,35,0.0769015409914271,35,-1.24865048402285
60,8,35,0.163813193078247,35,-1.16173883193603
65,8,35,0.294025770835429,35,-1.03152625417885
70,8,35,0.438271373489034,35,-0.887280651525243
75,8,35,0.569479367054003,35,-0.756072657960273
80,8,35,0.668654964829348,35,-0.656897060184928
85,8,35,0.727717390950303,35,-0.597834634063973
90,8,35,0.750074390569952,35,-0.575477634444325
0,8,40,1.56748128549916,40,0.241929260484885
5,8,40,1.59612132043027,40,0.270569295415998
10,8,40,1.56898471239852,40,0.243432687384241
15,8,40,1.48714688277853,40,0.161594857764249
20,8,40,1.35310822927128,40,0.0275562042570071
25,8,40,1.17306945710917,40,-0.152482567905102
30,8,40,0.959683890597362,40,-0.365868134416914
35,8,40,0.734340721914432,40,-0.591211303099844
40,8,40,0.527245115649751,40,-0.798306909364525
45,8,40,0.373090790297466,40,-0.95246123471681
50,8,40,0.301464830571536,40,-1.02408719444274
55,8,40,0.325229704670469,40,-1.00032232034381
60,8,40,0.434031366358864,40,-0.891520658655413
65,8,40,0.598014385139018,40,-0.727537639875258
70,8,40,0.779221635130339,40,-0.546330389883937
75,8,40,0.943440074321657,40,-0.38211195069262
80,8,40,1.06756422869276,40,-0.257987796321517
85,8,40,1.14220765827502,40,-0.183344366739261
90,8,40,1.17154414848389,40,-0.154007876530383
0,8,45,1.79383767147204,45,0.468285646457763
5,8,45,1.82228759300296,45,0.496735567988684
10,8,45,1.79902003507261,45,0.473468010058338
15,8,45,1.72293071409911,45,0.397378689084834
20,8,45,1.59342382832935,45,0.26787180331507
25,8,45,1.41339460557043,45,0.087842580556154
30,8,45,1.19299090002949,45,-0.132561124984786
35,8,45,0.953195681656288,45,-0.372356343357989
40,8,45,0.727125461510494,45,-0.598426563503782
45,8,45,0.555826866113774,45,-0.769725158900502
50,8,45,0.476487866326838,45,-0.849064158687438
55,8,45,0.506674793552973,45,-0.818877231461304
60,8,45,0.63487552269693,45,-0.690676502317346
65,8,45,0.825385255707245,45,-0.500166769307031
70,8,45,1.03379647760257,45,-0.291755547411702
75,8,45,1.22210803192903,45,-0.10344399308525
80,8,45,1.36663021022842,45,0.0410781852141464
85,8,45,1.45912823969105,45,0.133576214676772
90,8,45,1.50474275716391,45,0.179190732149635
0,8,50,1.859984523389,50,0.53443249837472
5,8,50,1.89118048474066,50,0.565628459726384
10,8,50,1.87688362320641,50,0.551331598192134
15,8,50,1.81382113121214,50,0.488269106197865
20,8,50,1.69850466562042,50,0.372952640606145
25,8,50,1.53071874075203,50,0.205166715737755
30,8,50,1.31803444853943,50,-0.00751757647484997
35,8,50,1.08041852436619,50,-0.245133500648083
40,8,50,0.852526759698711,50,-0.473025265315566
45,8,50,0.679576366220711,50,-0.645975658793565
50,8,50,0.603641419292622,50,-0.721910605721654
55,8,50,0.644447341121734,50,-0.681104683892542
60,8,50,0.788000761238967,50,-0.53755126377531
65,8,50,0.993559453638132,50,-0.331992571376145
