"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.31819197946226,0,-6.52089980077788
5,8,0,-3.31819197946225,0,-6.52089980077788
10,8,0,-3.31819197946225,0,-6.52089980077787
15,8,0,-3.31819197946225,0,-6.52089980077787
20,8,0,-3.31819197946225,0,-6.52089980077788
25,8,0,-3.31819197946225,0,-6.52089980077787
30,8,0,-3.31819197946225,0,-6.52089980077787
35,8,0,-3.31819197946225,0,-6.52089980077787
40,8,0,-3.31819197946225,0,-6.52089980077788
45,8,0,-3.31819197946225,0,-6.52089980077787
50,8,0,-3.31819197946225,0,-6.52089980077787
55,8,0,-3.31819197946225,0,-6.52089980077787
60,8,0,-3.31819197946225,0,-6.52089980077788
65,8,0,-3.31819197946225,0,-6.52089980077788
70,8,0,-3.31819197946225,0,-6.52089980077788
75,8,0,-3.31819197946225,0,-6.52089980077788
80,8,0,-3.31819197946225,0,-6.52089980077788
85,8,0,-3.31819197946225,0,-6.52089980077787
90,8,0,-3.31819197946225,0,-6.52089980077788
0,8,5,-3.52528109076485,5,-6.72798891208048
5,8,5,-3.51013285596011,5,-6.71284067727573
10,8,5,-3.49178916276366,5,-6.69449698407928
15,8,5,-3.47041261590939,5,-6.67312043722502
20,8,5,-3.44621501911285,5,-6.64892284042848
25,8,5,-3.41945659199366,5,-6.62216441330929
30,8,5,-3.39044510687968,5,-6.5931529281953
35,8,5,-3.359534452279,5,-6.56224227359463
40,8,5,-3.32712211572267,5,-6.5298299370383
45,8,5,-3.29364516367803,5,-6.49635298499365
50,8,5,-3.25957446091385,5,-6.46228228222947
55,8,5,-3.22540708276664,5,-6.42811490408226
60,8,5,-3.19165709099466,5,-6.39436491231029
65,8,5,-3.15884502828991,5,-6.36155284960553
70,8,5,-3.12748660777427,5,-6.3301944290899
75,8,5,-3.09808111585724,5,-6.30078893717287
80,8,5,-3.07110001012178,5,-6.2738078314374
85,8,5,-3.04697609435617,5,-6.24968391567179
90,8,5,-3.02609351793166,5,-6.22880133924728
0,8,10,-3.57577904210497,10,-6.7784868634206
5,8,10,-3.54875811595298,10,-6.7514659372686
10,8,10,-3.51621241127356,10,-6.71892023258919
15,8,10,-3.4782475849179,10,-6.68095540623352
20,8,10,-3.43488655850233,10,-6.63759437981796
25,8,10,-3.38613368138675,10,-6.58884150270238
30,8,10,-3.3320554712081,10,-6.53476329252372
35,8,10,-3.27286334215195,10,-6.47557116346758
40,8,10,-3.20898342096649,10,-6.41169124228212
45,8,10,-3.14110087520444,10,-6.34380869652007
50,8,10,-3.07017088675645,10,-6.27287870807208
55,8,10,-2.9973946376074,10,-6.20010245892303
60,8,10,-2.92416510496055,10,-6.12687292627617
65,8,10,-2.85199265617486,10,-6.05470047749049
70,8,10,-2.78242329018165,10,-5.98513111149728
75,8,10,-2.71696243130295,10,-5.91967025261857
80,8,10,-2.65701468025141,10,-5.85972250156703
85,8,10,-2.60384562545461,10,-5.80655344677024
90,8,10,-2.55856672063531,10,-5.76127454195094
0,8,15,-3.17872360761594,15,-6.38143142893156
5,8,15,-3.14545391999303,15,-6.34816174130865
10,8,15,-3.11352396023984,15,-6.31623178155547
15,8,15,-3.08193771632257,15,-6.2846455376382
20,8,15,-3.04879714707087,15,-6.2515049683865
25,8,15,-3.01162780157488,15,-6.2143356228905
30,8,15,-2.96780192287545,15,-6.17050974419108
35,8,15,-2.91500752683474,15,-6.11771534815037
