"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.58336241483685,0,-3.92546837353025
5,8,0,-3.58336241483685,0,-3.92546837353025
10,8,0,-3.58336241483685,0,-3.92546837353025
15,8,0,-3.58336241483684,0,-3.92546837353025
20,8,0,-3.58336241483685,0,-3.92546837353025
25,8,0,-3.58336241483685,0,-3.92546837353025
30,8,0,-3.58336241483685,0,-3.92546837353025
35,8,0,-3.58336241483684,0,-3.92546837353025
40,8,0,-3.58336241483685,0,-3.92546837353025
45,8,0,-3.58336241483685,0,-3.92546837353025
50,8,0,-3.58336241483685,0,-3.92546837353025
55,8,0,-3.58336241483685,0,-3.92546837353025
60,8,0,-3.58336241483685,0,-3.92546837353025
65,8,0,-3.58336241483685,0,-3.92546837353025
70,8,0,-3.58336241483685,0,-3.92546837353025
75,8,0,-3.58336241483685,0,-3.92546837353026
80,8,0,-3.58336241483685,0,-3.92546837353026
85,8,0,-3.58336241483685,0,-3.92546837353025
90,8,0,-3.58336241483685,0,-3.92546837353025
0,8,5,-3.75083522152091,5,-4.09294118021432
5,8,5,-3.74299725433711,5,-4.08510321303051
10,8,5,-3.73246043308989,5,-4.0745663917833
15,8,5,-3.71931123251023,5,-4.06141719120364
20,8,5,-3.70366144859002,5,-4.04576740728342
25,8,5,-3.68564639833234,5,-4.02775235702575
30,8,5,-3.66542436942827,5,-4.00753032812167
35,8,5,-3.64317706567421,5,-3.98528302436762
40,8,5,-3.61911065802911,5,-3.96121661672252
45,8,5,-3.59345699317516,5,-3.93556295186856
50,8,5,-3.56647452681939,5,-3.90858048551279
55,8,5,-3.53844862047763,5,-3.88055457917103
60,8,5,-3.50969094288055,5,-3.85179690157396
65,8,5,-3.48053782336981,5,-3.82264378206322
70,8,5,-3.45134749194531,5,-3.79345345063872
75,8,5,-3.42249619530541,5,-3.76460215399882
80,8,5,-3.39437319815457,5,-3.73647915684797
85,8,5,-3.3673746732885,5,-3.70948063198191
90,8,5,-3.34189646979906,5,-3.68400242849246
0,8,10,-3.63828821482584,10,-3.98039417351924
5,8,10,-3.61956056482804,10,-3.96166652352144
10,8,10,-3.59746036809003,10,-3.93956632678344
15,8,10,-3.57229912718319,10,-3.91440508587659
20,8,10,-3.54420953808304,10,-3.88631549677645
25,8,10,-3.51317253915582,10,-3.85527849784922
30,8,10,-3.47906806114274,10,-3.82117401983614
35,8,10,-3.44173911381892,10,-3.78384507251233
40,8,10,-3.40105787210774,10,-3.74316383080115
45,8,10,-3.35698337231183,10,-3.69908933100524
50,8,10,-3.30960315262524,10,-3.65170911131864
55,8,10,-3.25915516626006,10,-3.60126112495346
60,8,10,-3.20603071768464,10,-3.54813667637804
65,8,10,-3.1507630141177,10,-3.49286897281111
70,8,10,-3.0940082856873,10,-3.43611424438071
75,8,10,-3.03652678465586,10,-3.37863274334927
80,8,10,-2.97916933022708,10,-3.32127528892049
85,8,10,-2.9228719355298,10,-3.26497789422321
90,8,10,-2.86865730181165,10,-3.21076326050506
0,8,15,-3.07471510650805,15,-3.41682106520145
5,8,15,-3.03720581023221,15,-3.37931176892561
10,8,15,-3.00397435419027,15,-3.34608031288367
15,8,15,-2.97517266223753,15,-3.31727862093093
20,8,15,-2.94996132534004,15,-3.29206728403344
25,8,15,-2.92672074694136,15,-3.26882670563477
30,8,15,-2.90334748369982,15,-3.24545344239322
35,8,15,-2.87759661549186,15,-3.21970257418527
40,8,15,-2.84742115270835,15,-3.18952711140175
