"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-3.6749680100811,0,-7.06145527960051
5,8,0,-3.6749680100811,0,-7.06145527960051
10,8,0,-3.6749680100811,0,-7.06145527960052
15,8,0,-3.6749680100811,0,-7.06145527960051
20,8,0,-3.67496801008111,0,-7.06145527960052
25,8,0,-3.6749680100811,0,-7.06145527960052
30,8,0,-3.6749680100811,0,-7.06145527960051
35,8,0,-3.6749680100811,0,-7.06145527960051
40,8,0,-3.6749680100811,0,-7.06145527960052
45,8,0,-3.6749680100811,0,-7.06145527960052
50,8,0,-3.6749680100811,0,-7.06145527960052
55,8,0,-3.6749680100811,0,-7.06145527960051
60,8,0,-3.6749680100811,0,-7.06145527960051
65,8,0,-3.6749680100811,0,-7.06145527960052
70,8,0,-3.6749680100811,0,-7.06145527960052
75,8,0,-3.6749680100811,0,-7.06145527960051
80,8,0,-3.6749680100811,0,-7.06145527960052
85,8,0,-3.6749680100811,0,-7.06145527960051
90,8,0,-3.6749680100811,0,-7.06145527960052
0,8,5,-3.94789425640438,5,-7.3343815259238
5,8,5,-3.94086070510166,5,-7.32734797462108
10,8,5,-3.92989315228443,5,-7.31638042180385
15,8,5,-3.9151955956789,5,-7.30168286519831
20,8,5,-3.89703135193446,5,-7.28351862145388
25,8,5,-3.87571771044716,5,-7.26220497996658
30,8,5,-3.85162034922598,5,-7.23810761874539
35,8,5,-3.82514721814263,5,-7.21163448766204
40,8,5,-3.79674159830079,5,-7.18322886782021
45,8,5,-3.76687414780794,5,-7.15336141732736
50,8,5,-3.73603391377712,5,-7.12252118329653
55,8,5,-3.7047184846403,5,-7.09120575415971
60,8,5,-3.6734236297394,5,-7.05991089925882
65,8,5,-3.64263288596196,5,-7.02912015548138
70,8,5,-3.61280758038111,5,-6.99929484990053
75,8,5,-3.58437771910019,5,-6.97086498861961
80,8,5,-3.55773404040694,5,-6.94422130992636
85,8,5,-3.53322135453931,5,-6.91970862405872
90,8,5,-3.51113311104451,5,-6.89762038056393
0,8,10,-4.0338256200374,10,-7.42031288955681
5,8,10,-4.01630780599326,10,-7.40279507551267
10,8,10,-3.99160587831439,10,-7.37809314783381
15,8,10,-3.96010855832816,10,-7.34659582784758
20,8,10,-3.9221422522286,10,-7.30862952174801
25,8,10,-3.87803262801427,10,-7.26451989753369
30,8,10,-3.82818083099159,10,-7.214668100511
35,8,10,-3.77313585921007,10,-7.15962312872948
40,8,10,-3.71364621469279,10,-7.1001334842122
45,8,10,-3.6506789714047,10,-7.03716624092411
50,8,10,-3.5854017724898,10,-6.97188904200922
55,8,10,-3.51913128179227,10,-6.90561855131168
60,8,10,-3.45325839576202,10,-6.83974566528143
65,8,10,-3.38916459821975,10,-6.77565186773917
70,8,10,-3.32814454638941,10,-6.71463181590882
75,8,10,-3.27134753126552,10,-6.65783480078494
80,8,10,-3.21974573155369,10,-6.6062330010731
85,8,10,-3.17413133816437,10,-6.56061860768378
90,8,10,-3.13513879952785,10,-6.52162606904727
0,8,15,-3.61491175630987,15,-7.00139902582929
5,8,15,-3.59116356301582,15,-6.97765083253524
10,8,15,-3.56723646332022,15,-6.95372373283964
15,8,15,-3.54230107388576,15,-6.92878834340518
20,8,15,-3.51453964504734,15,-6.90102691456675
25,8,15,-3.48158739247526,15,-6.86807466199467
30,8,15,-3.44107205775396,15,-6.82755932727338
35,8,15,-3.39116217843459,15,-6.777649447954
40,8,15,-3.33101874267552,15,-6.71750601219494
45,8,15,-3.26105323573156,15,-6.64754050525098
50,8,15,-3.18293468713785,15,-6.56942195665726
55,8,15,-3.09935037450482,15,-6.48583764402423
60,8,15,-3.01358699871603,15,-6.40007426823544
65,8,15,-2.92903829137797,15,-6.31552556089739
70,8,15,-2.84875040712094,15,-6.23523767664035
75,8,15,-2.77509325263519,15,-6.16158052215461
80,8,15,-2.70960821972671,15,-6.09609548924613
85,8,15,-2.65304379728312,15,-6.03953106680254
90,8,15,-2.60555713113853,15,-5.99204440065795
0,8,20,-2.66862692392427,20,-6.05511419344369
5,8,20,-2.64931157132429,20,-6.03579884084371
10,8,20,-2.64906000460858,20,-6.03554727412799
15,8,20,-2.66438412838652,20,-6.05087139790594
20,8,20,-2.68908523090103,20,-6.07557250042045
25,8,20,-2.71503358247409,20,-6.10152085199351
30,8,20,-2.73332808000921,20,-6.11981534952863
35,8,20,-2.73577970433048,20,-6.12226697384989
40,8,20,-2.71647391187727,20,-6.10296118139669
45,8,20,-2.67300044771524,20,-6.05948771723465
50,8,20,-2.60693340959737,20,-5.99342067911678
55,8,20,-2.52336385600876,20,-5.90985112552818
60,8,20,-2.42963264428576,20,-5.81611991380518
65,8,20,-2.33368031326555,20,-5.72016758278497
70,8,20,-2.24248814349776,20,-5.62897541301718
75,8,20,-2.16095659064194,20,-5.54744386016135
80,8,20,-2.09137880622942,20,-5.47786607574884
85,8,20,-2.03351960052638,20,-5.42000687004579
90,8,20,-1.98522677593236,20,-5.37171404545177
0,8,25,-1.49928999592658,25,-4.88577726544599
5,8,25,-1.49058978343278,25,-4.87707705295219
10,8,25,-1.52301140181681,25,-4.90949867133622
