"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-1.58251015126358,0,-2.1160687525962
5,8,0,-1.58251015126358,0,-2.1160687525962
10,8,0,-1.58251015126359,0,-2.1160687525962
15,8,0,-1.58251015126359,0,-2.1160687525962
20,8,0,-1.58251015126359,0,-2.1160687525962
25,8,0,-1.58251015126358,0,-2.1160687525962
30,8,0,-1.58251015126359,0,-2.1160687525962
35,8,0,-1.58251015126359,0,-2.1160687525962
40,8,0,-1.58251015126359,0,-2.1160687525962
45,8,0,-1.58251015126359,0,-2.1160687525962
50,8,0,-1.58251015126359,0,-2.1160687525962
55,8,0,-1.58251015126359,0,-2.1160687525962
60,8,0,-1.58251015126359,0,-2.1160687525962
65,8,0,-1.58251015126359,0,-2.1160687525962
70,8,0,-1.58251015126359,0,-2.1160687525962
75,8,0,-1.58251015126359,0,-2.1160687525962
80,8,0,-1.58251015126359,0,-2.1160687525962
85,8,0,-1.58251015126359,0,-2.1160687525962
90,8,0,-1.58251015126359,0,-2.1160687525962
0,8,5,-1.56577306999154,5,-2.09933167132416
5,8,5,-1.55087012433364,5,-2.08442872566625
10,8,5,-1.53449260137351,5,-2.06805120270612
15,8,5,-1.51688218697359,5,-2.0504407883062
20,8,5,-1.49834841600934,5,-2.03190701734195
25,8,5,-1.47925767965122,5,-2.01281628098384
30,8,5,-1.46002049914452,5,-1.99357910047713
35,8,5,-1.44107757735977,5,-1.97463617869239
40,8,5,-1.42288514802427,5,-1.95644374935689
45,8,5,-1.40590014772696,5,-1.93945874905958
50,8,5,-1.39056573489443,5,-1.92412433622705
55,8,5,-1.37729766733693,5,-1.91085626866955
60,8,5,-1.36647201895263,5,-1.90003062028524
65,8,5,-1.35841466099205,5,-1.89197326232466
70,8,5,-1.3533928508091,5,-1.88695145214172
75,8,5,-1.35160916192425,5,-1.88516776325686
80,8,5,-1.35319785841186,5,-1.88675645974447
85,8,5,-1.3582236730771,5,-1.89178227440972
90,8,5,-1.36668280490509,5,-1.9002414062377
0,8,10,-1.73957377732624,10,-2.27313237865885
5,8,10,-1.70358457638551,10,-2.23714317771813
10,8,10,-1.65994104060771,10,-2.19349964194033
15,8,10,-1.60967284074909,10,-2.14323144208171
20,8,10,-1.55403522768146,10,-2.08759382901407
25,8,10,-1.49446819584216,10,-2.02802679717477
30,8,10,-1.43255533086067,10,-1.96611393219329
35,8,10,-1.36997988252476,10,-1.90353848385737
40,8,10,-1.30847609631064,10,-1.84203469764325
45,8,10,-1.2497751523377,10,-1.78333375367032
50,8,10,-1.19554675894051,10,-1.72910536027312
55,8,10,-1.14733907899815,10,-1.68089768033076
60,8,10,-1.10652087982786,10,-1.64007948116047
65,8,10,-1.07423039484336,10,-1.60778899617597
70,8,10,-1.05133532151644,10,-1.58489392284906
75,8,10,-1.03840771693539,10,-1.571966318268
80,8,10,-1.03571640062886,10,-1.56927500196147
85,8,10,-1.04323795143284,10,-1.57679655276545
90,8,10,-1.06068560056748,10,-1.5942442019001
0,8,15,-1.96854404120126,15,-2.50210264253387
5,8,15,-1.9024195992888,15,-2.43597820062142
10,8,15,-1.82217408872533,15,-2.35573269005795
15,8,15,-1.72974032941191,15,-2.26329893074452
20,8,15,-1.62715999297165,15,-2.16071859430426
25,8,15,-1.51665967908737,15,-2.05021828041998
30,8,15,-1.40073840583019,15,-1.9342970071628
35,8,15,-1.28222485881894,15,-1.81578346015155
40,8,15,-1.16427433217702,15,-1.69783293350964
45,8,15,-1.05029242937455,15,-1.58385103070716
50,8,15,-0.943790586179364,15,-1.47734918751198
55,8,15,-0.848192894594332,15,-1.38175149592695
60,8,15,-0.766621781346754,15,-1.30018038267937
65,8,15,-0.701691482338951,15,-1.23525008367157
70,8,15,-0.655334670669029,15,-1.18889327200164
75,8,15,-0.6286816360672,15,-1.16224023739981
80,8,15,-0.622005257486642,15,-1.15556385881926
85,8,15,-0.634739604069928,15,-1.16829820540254
90,8,15,-0.665574932874954,15,-1.19913353420757
0,8,20,-2.03542244665107,20,-2.56898104798369
5,8,20,-1.93845020323373,20,-2.47200880456634
10,8,20,-1.82943513503612,20,-2.36299373636874
15,8,20,-1.70927324588047,20,-2.24283184721308
20,8,20,-1.57810189011337,20,-2.11166049144598
25,8,20,-1.43599389567372,20,-1.96955249700633
30,8,20,-1.2836701523356,20,-1.81722875366821
35,8,20,-1.12307122887643,20,-1.65662983020904
40,8,20,-0.95765585062858,20,-1.49121445196119
45,8,20,-0.792358563224616,20,-1.32591716455723
50,8,20,-0.633225428746618,20,-1.16678403007923
55,8,20,-0.486822864162502,20,-1.02038146549512
60,8,20,-0.359552258491334,20,-0.893110859823948
65,8,20,-0.256995060402952,20,-0.790553661735566
70,8,20,-0.183375333659069,20,-0.716933934991683
75,8,20,-0.141183816222596,20,-0.674742417555211
80,8,20,-0.130977803107674,20,-0.664536404440288
85,8,20,-0.151360688668649,20,-0.684919290001263
90,8,20,-0.199148490831552,20,-0.732707092164166
0,8,25,-1.77420703041438,25,-2.307765631747
5,8,25,-1.66104703925861,25,-2.19460564059123
10,8,25,-1.55156977054708,25,-2.0851283718797
15,8,25,-1.44236826993602,25,-1.97592687126863
20,8,25,-1.32766697557633,25,-1.86122557690894
25,8,25,-1.20088161718879,25,-1.73444021852141
30,8,25,-1.05642883353041,25,-1.58998743486302
35,8,25,-0.891490401043914,25,-1.42504900237653
40,8,25,-0.70728341710485,25,-1.24084201843746
45,8,25,-0.509427050793116,25,-1.04298565212573
50,8,25,-0.307273730963444,25,-0.840832332296058
55,8,25,-0.11244216973028,25,-0.646000771062894
60,8,25,0.0629758627050522,25,-0.470582738627562
65,8,25,0.208076029875066,25,-0.325482571457548
70,8,25,0.314398721916599,25,-0.219159879416015
75,8,25,0.37672307612631,25,-0.156835525206304
80,8,25,0.393462517212491,25,-0.140096084120124
85,8,25,0.366744343118859,25,-0.166814258213755
90,8,25,0.302199443976351,25,-0.231359157356263
0,8,30,-1.21677142387552,30,-1.75033002520813
5,8,30,-1.10719200922167,30,-1.64075061055428
10,8,30,-1.02462464202766,30,-1.55818324336027
15,8,30,-0.960873812634951,30,-1.49443241396757
20,8,30,-0.903514403909132,30,-1.43707300524175
25,8,30,-0.83739477282121,30,-1.37095337415382
30,8,30,-0.747162990057824,30,-1.28072159139044
35,8,30,-0.620749011288184,30,-1.1543076126208
40,8,30,-0.452916503381793,30,-0.986475104714407
45,8,30,-0.24742904855882,30,-0.780987649891434
50,8,30,-0.0167166803485879,30,-0.550275281681202
55,8,30,0.220862249948763,30,-0.31269635138385
60,8,30,0.444927922645098,30,-0.0886306786875163
65,8,30,0.636701144744503,30,0.103142543411889
70,8,30,0.781505640983964,30,0.24794703965135
75,8,30,0.870080969004681,30,0.336522367672067
80,8,30,0.899057147592162,30,0.365498546259548
85,8,30,0.870969318307075,30,0.337410716974461
90,8,30,0.793988837036154,30,0.260430235703539
0,8,35,-0.54522357830364,35,-1.07878217963625
5,8,35,-0.449786742711839,35,-0.983345344044453
10,8,35,-0.401704748953947,35,-0.935263350286561
15,8,35,-0.390999082211936,35,-0.924557683544549
20,8,35,-0.402175097388877,35,-0.935733698721492
25,8,35,-0.414238036662257,35,-0.947796637994871
30,8,35,-0.402491672348325,35,-0.936050273680939
35,8,35,-0.343070204121375,35,-0.876628805453989
40,8,35,-0.219665498969137,35,-0.753224100301751
45,8,35,-0.0297045515441268,35,-0.563263152876741
50,8,35,0.213637953594643,35,-0.319920647737971
55,8,35,0.485040916837661,35,-0.0485176844949531
60,8,35,0.754128986543092,35,0.220570385210478
65,8,35,0.992410247424701,35,0.458851646092087
70,8,35,1.17776459280608,35,0.64420599147347
75,8,35,1.29632188184513,35,0.762763280512514
80,8,35,1.34271043358015,35,0.809151832247532
85,8,35,1.31968426693452,35,0.786125665601907
90,8,35,1.2376414983203,35,0.704082896987687
0,8,40,0.0699086046959631,40,-0.463649996636651
5,8,40,0.150834722284823,40,-0.382723879047791
10,8,40,0.173190366743546,40,-0.360368234589069
15,8,40,0.145410444131167,40,-0.388148157201447
20,8,40,0.0815516458331861,40,-0.452006955499428
25,8,40,0.00339614914510025,40,-0.530162452187514
30,8,40,-0.0592296021635966,40,-0.592788203496211
35,8,40,-0.0722211549823131,40,-0.605779756314928
40,8,40,-0.00618153579543686,40,-0.539740137128051
45,8,40,0.152138112731537,40,-0.381420488601078
50,8,40,0.392783414615346,40,-0.140775186717268
55,8,40,0.68532277961568,40,0.151764178283065
60,8,40,0.989486111634002,40,0.455927510301388
65,8,40,1.26673801039459,40,0.733179409061975
70,8,40,1.48760471070757,40,0.954046109374954
75,8,40,1.63417208222153,40,1.10061348088891
80,8,40,1.69971766734946,40,1.16615906601685
85,8,40,1.68747640515175,40,1.15391780381913
90,8,40,1.60958760765291,40,1.0760290063203
0,8,45,0.543005302507364,45,0.0094467011747491
5,8,45,0.613264967645945,45,0.0797063663133304
10,8,45,0.62363774256454,45,0.0900791412319258
