"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-1.11068824176841,0,-1.81445265726664
5,8,0,-1.11068824176841,0,-1.81445265726664
10,8,0,-1.11068824176841,0,-1.81445265726664
15,8,0,-1.11068824176841,0,-1.81445265726664
20,8,0,-1.1106882417684,0,-1.81445265726663
25,8,0,-1.11068824176841,0,-1.81445265726664
30,8,0,-1.11068824176841,0,-1.81445265726664
35,8,0,-1.11068824176841,0,-1.81445265726664
40,8,0,-1.11068824176841,0,-1.81445265726664
45,8,0,-1.11068824176841,0,-1.81445265726664
50,8,0,-1.11068824176841,0,-1.81445265726664
55,8,0,-1.11068824176841,0,-1.81445265726664
60,8,0,-1.11068824176841,0,-1.81445265726664
65,8,0,-1.11068824176841,0,-1.81445265726664
70,8,0,-1.11068824176841,0,-1.81445265726664
75,8,0,-1.11068824176841,0,-1.81445265726664
80,8,0,-1.11068824176841,0,-1.81445265726664
85,8,0,-1.11068824176841,0,-1.81445265726664
90,8,0,-1.11068824176841,0,-1.81445265726664
0,8,5,-1.09233785972191,5,-1.79610227522014
5,8,5,-1.07736117564249,5,-1.78112559114072
10,8,5,-1.06100385995672,5,-1.76476827545494
15,8,5,-1.04351367332688,5,-1.7472780888251
20,8,5,-1.02520366929865,5,-1.72896808479688
25,8,5,-1.00644157225547,5,-1.7102059877537
30,8,5,-0.987637423406693,5,-1.69140183890492
35,8,5,-0.969229957402487,5,-1.67299437290072
40,8,5,-0.951672192302234,5,-1.65543660780046
45,8,5,-0.935416735182407,5,-1.63918115068064
50,8,5,-0.92090132025784,5,-1.62466573575607
55,8,5,-0.908535098712987,5,-1.61229951421122
60,8,5,-0.898686181412791,5,-1.60245059691102
65,8,5,-0.891670890529181,5,-1.59543530602741
70,8,5,-0.887745100182321,5,-1.59150951568055
75,8,5,-0.887097939917379,5,-1.59086235541561
80,8,5,-0.889848003241927,5,-1.59361241874016
85,8,5,-0.896042055870682,5,-1.59980647136891
90,8,5,-0.905656087592056,5,-1.60942050309029
0,8,10,-1.26174990023508,10,-1.96551431573331
5,8,10,-1.22521273837883,10,-1.92897715387706
10,8,10,-1.18143298708515,10,-1.88519740258338
15,8,10,-1.13140640809689,10,-1.83517082359512
20,8,10,-1.07634711937802,10,-1.78011153487625
25,8,10,-1.01765309132075,10,-1.72141750681898
30,8,10,-0.956870314208156,10,-1.66063472970639
35,8,10,-0.895652714551547,10,-1.59941713004978
40,8,10,-0.835715607298068,10,-1.5394800227963
45,8,10,-0.778781997421846,10,-1.48254641292007
50,8,10,-0.726522925942381,10,-1.43028734144061
55,8,10,-0.680494825860321,10,-1.38425924135855
60,8,10,-0.64207815344399,10,-1.34584256894222
65,8,10,-0.612422193592895,10,-1.31618660909112
70,8,10,-0.592400868394548,10,-1.29616528389278
75,8,10,-0.582583681422941,10,-1.28634809692117
80,8,10,-0.583224731975843,10,-1.28698914747407
85,8,10,-0.594271158995878,10,-1.29803557449411
90,8,10,-0.615390534209255,10,-1.31915494970748
0,8,15,-1.47565563393785,15,-2.17942004943608
5,8,15,-1.40974077546453,15,-2.11350519096276
10,8,15,-1.33068435570091,15,-2.03444877119913
15,8,15,-1.24019992091466,15,-1.94396433641289
20,8,15,-1.14011139965323,15,-1.84387581515146
25,8,15,-1.03245143613542,15,-1.73621585163365
30,8,15,-0.919565848918681,15,-1.62333026441691
35,8,15,-0.804181803882393,15,-1.50794621938062
40,8,15,-0.689409148718734,15,-1.39317356421696
45,8,15,-0.57866199468799,15,-1.28242641018622
50,8,15,-0.475506333972113,15,-1.17927074947034
55,8,15,-0.383454568719566,15,-1.0872189842178
60,8,15,-0.305736275186275,15,-1.0095006906845
65,8,15,-0.245075880212755,15,-0.948840295710985
70,8,15,-0.203503994445197,15,-0.907268409943427
75,8,15,-0.182222738370511,15,-0.88598715386874
80,8,15,-0.18153890937148,15,-0.88530332486971
85,8,15,-0.200873337666446,15,-0.904637753164676
90,8,15,-0.238849841160932,15,-0.942614256659161
0,8,20,-1.51447155474362,20,-2.21823597024185
5,8,20,-1.42074003430676,20,-2.12450444980499
10,8,20,-1.31650439102285,20,-2.02026880652108
15,8,20,-1.20215274403418,20,-1.90591715953241
20,8,20,-1.07735479602036,20,-1.78111921151859
25,8,20,-0.94177907931813,20,-1.64554349481636
30,8,20,-0.795828534088976,20,-1.49959294958721
35,8,20,-0.641234402426897,20,-1.34499881792513
40,8,20,-0.481370540256677,20,-1.18513495575491
45,8,20,-0.321213724978371,20,-1.0249781404766
50,8,20,-0.16696546441059,20,-0.87072987990882
55,8,20,-0.025432489456255,20,-0.729196904954485
60,8,20,0.0966953240717175,20,-0.607069091426512
65,8,20,0.193538079936064,20,-0.510226335562165
70,8,20,0.260598327839435,20,-0.443166087658794
75,8,20,0.295167192643925,20,-0.408597222854304
80,8,20,0.296550369159237,20,-0.407214046338993
85,8,20,0.266111005884438,20,-0.437653409613792
90,8,20,0.207121507631988,20,-0.496642907866241
0,8,25,-1.22253941664229,25,-1.92630383214052
5,8,25,-1.1169076703687,25,-1.82067208586693
10,8,25,-1.01653435185215,25,-1.72029876735038
15,8,25,-0.917443081481876,25,-1.6212074969801
20,8,25,-0.813357787091155,25,-1.51712220258938
25,8,25,-0.697225308923611,25,-1.40098972442184
30,8,25,-0.563023588773732,25,-1.26678800427196
35,8,25,-0.407567527214159,25,-1.11133194271239
40,8,25,-0.231847641757196,25,-0.935612057255425
45,8,25,-0.0414576089153695,25,-0.745222024413599
50,8,25,0.154054581487829,25,-0.549709834010401
55,8,25,0.342685491820569,25,-0.361078923677661
60,8,25,0.511838360185528,25,-0.191926055312702
65,8,25,0.650063347866384,25,-0.053701067631845
70,8,25,0.748385652658506,25,0.0446212371602768
75,8,25,0.80115555004494,25,0.0973911345467107
