"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-1.22385580574245,0,-2.05057950456241
5,8,0,-1.22385580574245,0,-2.05057950456241
10,8,0,-1.22385580574245,0,-2.05057950456241
15,8,0,-1.22385580574245,0,-2.05057950456241
20,8,0,-1.22385580574245,0,-2.05057950456241
25,8,0,-1.22385580574245,0,-2.05057950456241
30,8,0,-1.22385580574245,0,-2.05057950456241
35,8,0,-1.22385580574245,0,-2.05057950456241
40,8,0,-1.22385580574245,0,-2.05057950456241
45,8,0,-1.22385580574245,0,-2.05057950456241
50,8,0,-1.22385580574245,0,-2.05057950456241
55,8,0,-1.22385580574245,0,-2.05057950456241
60,8,0,-1.22385580574245,0,-2.05057950456241
65,8,0,-1.22385580574245,0,-2.05057950456241
70,8,0,-1.22385580574245,0,-2.05057950456241
75,8,0,-1.22385580574245,0,-2.05057950456241
80,8,0,-1.22385580574245,0,-2.05057950456241
85,8,0,-1.22385580574245,0,-2.05057950456241
90,8,0,-1.22385580574245,0,-2.05057950456241
0,8,5,-1.21084808368229,5,-2.03757178250224
5,8,5,-1.1979257229532,5,-2.02464942177315
10,8,5,-1.18349287300461,5,-2.01021657182457
15,8,5,-1.16777171595613,5,-1.99449541477609
20,8,5,-1.15105268380865,5,-1.9777763826286
25,8,5,-1.13368438204569,5,-1.96040808086564
30,8,5,-1.11606165170674,5,-1.9427853505267
35,8,5,-1.09861221485013,5,-1.92533591367008
40,8,5,-1.08178237951638,5,-1.90850607833634
45,8,5,-1.06602231108103,5,-1.89274600990098
50,8,5,-1.05177140152235,5,-1.8784951003423
55,8,5,-1.0394442781948,5,-1.86616797701476
60,8,5,-1.02941798033311,5,-1.85614167915307
65,8,5,-1.0220207876564,5,-1.84874448647636
70,8,5,-1.01752310758179,5,-1.84424680640174
75,8,5,-1.01613071676147,5,-1.84285441558143
80,8,5,-1.01798051485079,5,-1.84470421367074
85,8,5,-1.02313879397521,5,-1.84986249279516
90,8,5,-1.0316018701524,5,-1.85832556897236
0,8,10,-1.37736110612574,10,-2.2040848049457
5,8,10,-1.3459324707791,10,-2.17265616959906
10,8,10,-1.30694428702246,10,-2.13366798584241
15,8,10,-1.26129814935712,10,-2.08802184817708
20,8,10,-1.21012574769014,10,-2.03684944651009
25,8,10,-1.15475828641047,10,-1.98148198523042
30,8,10,-1.09669347695191,10,-1.92341717577186
35,8,10,-1.03755689708257,10,-1.86428059590253
40,8,10,-0.979055397940418,10,-1.80577909676037
45,8,10,-0.922921969367517,10,-1.74964566818747
50,8,10,-0.870853539941513,10,-1.69757723876147
55,8,10,-0.824445085388166,10,-1.65116878420812
60,8,10,-0.785124766302194,10,-1.61184846512215
65,8,10,-0.754095416859082,10,-1.58081911567904
70,8,10,-0.732287542367486,10,-1.55901124118744
75,8,10,-0.720328158751858,10,-1.54705185757181
80,8,10,-0.718528474089162,10,-1.54525217290912
85,8,10,-0.726891717561496,10,-1.55361541638145
90,8,10,-0.745140486828885,10,-1.57186418564884
0,8,15,-1.57716869934925,15,-2.4038923981692
5,8,15,-1.52014355900528,15,-2.34686725782523
10,8,15,-1.44955498837554,15,-2.2762786871955
15,8,15,-1.36687783393331,15,-2.19360153275327
20,8,15,-1.27371908451136,15,-2.10044278333132
25,8,15,-1.17193277895401,15,-1.99865647777396
30,8,15,-1.06373829758557,15,-1.89046199640553
35,8,15,-0.95179698226626,15,-1.77852068108622
40,8,15,-0.839214776886807,15,-1.66593847570676
