"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-4.38698436876399,0,-8.54980654827505
5,8,0,-4.38698436876399,0,-8.54980654827505
10,8,0,-4.38698436876399,0,-8.54980654827504
15,8,0,-4.38698436876399,0,-8.54980654827504
20,8,0,-4.38698436876399,0,-8.54980654827504
25,8,0,-4.38698436876399,0,-8.54980654827504
30,8,0,-4.38698436876399,0,-8.54980654827504
35,8,0,-4.38698436876398,0,-8.54980654827504
40,8,0,-4.38698436876398,0,-8.54980654827504
45,8,0,-4.38698436876398,0,-8.54980654827504
50,8,0,-4.38698436876399,0,-8.54980654827505
55,8,0,-4.38698436876398,0,-8.54980654827504
60,8,0,-4.38698436876399,0,-8.54980654827504
65,8,0,-4.38698436876399,0,-8.54980654827504
70,8,0,-4.38698436876398,0,-8.54980654827504
75,8,0,-4.38698436876399,0,-8.54980654827504
80,8,0,-4.38698436876399,0,-8.54980654827505
85,8,0,-4.38698436876399,0,-8.54980654827505
90,8,0,-4.38698436876399,0,-8.54980654827504
0,8,5,-4.56249806868956,5,-8.72532024820061
5,8,5,-4.56200555450299,5,-8.72482773401404
10,8,5,-4.55873594269083,5,-8.72155812220188
15,8,5,-4.55263033220385,5,-8.7154525117149
20,8,5,-4.54364253753758,5,-8.70646471704864
25,8,5,-4.53174912231972,5,-8.69457130183078
30,8,5,-4.51696089525966,5,-8.67978307477072
35,8,5,-4.4993345981306,5,-8.66215677764166
40,8,5,-4.47898344647688,5,-8.64180562598794
45,8,5,-4.45608528342867,5,-8.61890746293973
50,8,5,-4.43088735884124,5,-8.5937095383523
55,8,5,-4.40370710794071,5,-8.56652928745177
60,8,5,-4.37492871572344,5,-8.5377508952345
65,8,5,-4.34499564949573,5,-8.50781782900678
70,8,5,-4.31439966388121,5,-8.47722184339226
75,8,5,-4.28366699177641,5,-8.44648917128747
80,8,5,-4.25334251916072,5,-8.41616469867177
85,8,5,-4.22397271645521,5,-8.38679489596626
90,8,5,-4.19608800050855,5,-8.3589101800196
0,8,10,-4.30491942736961,10,-8.46774160688067
5,8,10,-4.31028095777756,10,-8.47310313728861
10,8,10,-4.3147539399951,10,-8.47757611950616
15,8,10,-4.31758151980589,10,-8.48040369931695
20,8,10,-4.31769967133827,10,-8.48052185084932
25,8,10,-4.31384744865923,10,-8.47666962817028
30,8,10,-4.30470937701259,10,-8.46753155652365
35,8,10,-4.28907341148553,10,-8.45189559099658
40,8,10,-4.26598392918902,10,-8.42880610870008
45,8,10,-4.23486846410728,10,-8.39769064361833
50,8,10,-4.19562040973444,10,-8.3584425892455
55,8,10,-4.14862757230241,10,-8.31144975181347
60,8,10,-4.09474663244066,10,-8.25756881195172
65,8,10,-4.03523356693789,10,-8.19805574644895
70,8,10,-3.97164712457757,10,-8.13446930408863
75,8,10,-3.90574477180418,10,-8.06856695131524
80,8,10,-3.83938794462552,10,-8.00221012413658
85,8,10,-3.77446724079182,10,-7.93728942030287
90,8,10,-3.71285044303341,10,-7.87567262254447
0,8,15,-3.4537771750886,15,-7.61659935459966
5,8,15,-3.46766669819232,15,-7.63048887770337
10,8,15,-3.49278332754911,15,-7.65560550706016
15,8,15,-3.5270244358906,15,-7.68984661540166
20,8,15,-3.56695553980829,15,-7.72977771931934
25,8,15,-3.60808164067557,15,-7.77090382018662
30,8,15,-3.64527614151638,15,-7.80809832102744
35,8,15,-3.67334746443137,15,-7.83616964394242
40,8,15,-3.6876794658977,15,-7.85050164540876
45,8,15,-3.68483678986192,15,-7.84765896937297
50,8,15,-3.66300501162162,15,-7.82582719113267
55,8,15,-3.62215899215405,15,-7.78498117166511
60,8,15,-3.56392221617396,15,-7.72674439568502
65,8,15,-3.4911693951616,15,-7.65399157467265
70,8,15,-3.4074953705147,15,-7.57031755002575
75,8,15,-3.31669715627017,15,-7.47951933578122
80,8,15,-3.22239019801093,15,-7.38521237752198
85,8,15,-3.12782323883338,15,-7.29064541834443
90,8,15,-3.03589308814574,15,-7.19871526765679
0,8,20,-2.23099883803946,20,-6.39382101755052
5,8,20,-2.24971175334423,20,-6.41253393285529
10,8,20,-2.29773639576299,20,-6.46055857527405
15,8,20,-2.37203508747723,20,-6.53485726698829
20,8,20,-2.46692651296274,20,-6.62974869247379
25,8,20,-2.57422187134117,20,-6.73704405085222
30,8,20,-2.68369312049722,20,-6.84651530000828
35,8,20,-2.78401128694069,20,-6.94683346645175
40,8,20,-2.86417550581094,20,-7.02699768532199
45,8,20,-2.9152293736753,20,-7.07805155318636
50,8,20,-2.93181687745242,20,-7.09463905696347
55,8,20,-2.91303590511897,20,-7.07585808463003
60,8,20,-2.86223581659288,20,-7.02505799610393
65,8,20,-2.78581762768443,20,-6.94863980719548
70,8,20,-2.69148665845285,20,-6.85430883796391
75,8,20,-2.58655394129024,20,-6.7493761208013
80,8,20,-2.47675980996911,20,-6.63958198948016
85,8,20,-2.36584082923703,20,-6.52866300874808
90,8,20,-2.25582432274615,20,-6.4186465022572
0,8,25,-0.983236861441822,25,-5.14605904095288
5,8,25,-1.00157184574333,25,-5.16439402525438
10,8,25,-1.06575329168448,25,-5.22857547119553
15,8,25,-1.17297465052622,25,-5.33579683003727
20,8,25,-1.31692548686875,25,-5.47974766637981
25,8,25,-1.48731797501176,25,-5.65014015452281
30,8,25,-1.66976410462873,25,-5.83258628413978
35,8,25,-1.84649772854639,25,-6.00931990805744
40,8,25,-1.9983869708925,25,-6.16120915040355
45,8,25,-2.10825539618949,25,-6.27107757570055
50,8,25,-2.16471197927081,25,-6.32753415878186
55,8,25,-2.16494414598762,25,-6.32776632549868
60,8,25,-2.11502745929398,25,-6.27784963880503
65,8,25,-2.0274787593042,25,-6.19030093881526
70,8,25,-1.91718611233382,25,-6.08000829184488
75,8,25,-1.79740545225414,25,-5.9602276317652
80,8,25,-1.67705817737014,25,-5.83988035688119
85,8,25,-1.55976843659579,25,-5.72259061610685
90,8,25,-1.44453057767775,25,-5.6073527571888
0,8,30,0.0743935268632159,30,-4.08842865264784
5,8,30,0.0602048355416613,30,-4.10261734396939
10,8,30,-0.0108748867325535,30,-4.17369706624361
15,8,30,-0.137455484883218,30,-4.30027766439427
20,8,30,-0.314546162301334,30,-4.47736834181239
25,8,30,-0.532172223030701,30,-4.69499440254176
30,8,30,-0.774094429157818,30,-4.93691660866887
35,8,30,-1.01749402824412,30,-5.18031620775518
40,8,30,-1.23478903413353,30,-5.39761121364458
45,8,30,-1.39843539821289,30,-5.56125757772394
50,8,30,-1.48804592389689,30,-5.65086810340795
55,8,30,-1.49687719529906,30,-5.65969937481012
60,8,30,-1.43386819189592,30,-5.59669037140698
