"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-4.31424688555328,0,-7.79765633605408
5,8,0,-4.31424688555327,0,-7.79765633605407
10,8,0,-4.31424688555327,0,-7.79765633605407
15,8,0,-4.31424688555327,0,-7.79765633605407
20,8,0,-4.31424688555327,0,-7.79765633605407
25,8,0,-4.31424688555327,0,-7.79765633605407
30,8,0,-4.31424688555327,0,-7.79765633605407
35,8,0,-4.31424688555327,0,-7.79765633605407
40,8,0,-4.31424688555327,0,-7.79765633605407
45,8,0,-4.31424688555327,0,-7.79765633605407
50,8,0,-4.31424688555327,0,-7.79765633605407
55,8,0,-4.31424688555327,0,-7.79765633605407
60,8,0,-4.31424688555327,0,-7.79765633605407
65,8,0,-4.31424688555327,0,-7.79765633605407
70,8,0,-4.31424688555327,0,-7.79765633605407
75,8,0,-4.31424688555327,0,-7.79765633605407
80,8,0,-4.31424688555327,0,-7.79765633605407
85,8,0,-4.31424688555327,0,-7.79765633605407
90,8,0,-4.31424688555327,0,-7.79765633605407
0,8,5,-4.48957658208493,5,-7.97298603258572
5,8,5,-4.49140697018668,5,-7.97481642068748
10,8,5,-4.49057304565501,5,-7.97398249615581
15,8,5,-4.48705805137212,5,-7.97046750187292
20,8,5,-4.4808425621498,5,-7.9642520126506
25,8,5,-4.47191285675515,5,-7.95532230725595
30,8,5,-4.46027126593234,5,-7.94368071643314
35,8,5,-4.44594733132039,5,-7.92935678182119
40,8,5,-4.42900853514644,5,-7.91241798564724
45,8,5,-4.40956943041244,5,-7.89297888091324
50,8,5,-4.38779820229739,5,-7.87120765279819
55,8,5,-4.36391998948461,5,-7.84732943998541
60,8,5,-4.33821663997907,5,-7.82162609047987
65,8,5,-4.31102291506589,5,-7.79443236556669
70,8,5,-4.28271943841423,5,-7.76612888891503
75,8,5,-4.25372288182103,5,-7.73713233232183
80,8,5,-4.22447397378826,5,-7.70788342428906
85,8,5,-4.1954239241882,5,-7.67883337468899
