"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.02234125383479,0,3.22162213665122
5,8,0,4.02234125383479,0,3.22162213665122
10,8,0,4.02234125383479,0,3.22162213665122
15,8,0,4.02234125383479,0,3.22162213665122
20,8,0,4.02234125383479,0,3.22162213665122
25,8,0,4.02234125383479,0,3.22162213665122
30,8,0,4.02234125383479,0,3.22162213665123
35,8,0,4.02234125383479,0,3.22162213665122
40,8,0,4.02234125383479,0,3.22162213665122
45,8,0,4.02234125383479,0,3.22162213665122
50,8,0,4.02234125383479,0,3.22162213665123
55,8,0,4.02234125383479,0,3.22162213665122
60,8,0,4.02234125383479,0,3.22162213665122
65,8,0,4.02234125383479,0,3.22162213665122
70,8,0,4.02234125383479,0,3.22162213665123
75,8,0,4.02234125383479,0,3.22162213665123
80,8,0,4.02234125383479,0,3.22162213665123
85,8,0,4.02234125383479,0,3.22162213665123
90,8,0,4.02234125383479,0,3.22162213665122
0,8,5,4.05406740611158,5,3.25334828892801
5,8,5,4.05014652908385,5,3.24942741190028
10,8,5,4.04540482121334,5,3.24468570402977
15,8,5,4.03991737339485,5,3.23919825621129
20,8,5,4.03378819567253,5,3.23306907848897
25,8,5,4.0271477617563,5,3.22642864457273
30,8,5,4.02014950120784,5,3.21943038402427
35,8,5,4.01296536460389,5,3.21224624742033
40,8,5,4.00578063226172,5,3.20506151507815
45,8,5,3.99878817126359,5,3.19806905408002
50,8,5,3.99218236632088,5,3.19146324913732
55,8,5,3.98615295655409,5,3.18543383937052
60,8,5,3.98087900312598,5,3.18015988594241
65,8,5,3.97652319396581,5,3.17580407678225
70,8,5,3.97322666492486,5,3.17250754774129
75,8,5,3.97110448568517,5,3.1703853685016
80,8,5,3.97024192765239,5,3.16952281046883
85,8,5,3.9706916031328,5,3.16997248594923
90,8,5,3.97247154208355,5,3.17175242489998
0,8,10,4.2036341094955,10,3.40291499231193
5,8,10,4.19530476993656,10,3.39458565275299
10,8,10,4.18318133931289,10,3.38246222212933
15,8,10,4.16746391400071,10,3.36674479681715
20,8,10,4.14848743550746,10,3.3477683183239
25,8,10,4.12671222377876,10,3.32599310659519
30,8,10,4.1027083625483,10,3.30198924536473
35,8,10,4.07713472589274,10,3.27641560870918
40,8,10,4.05071384570862,10,3.24999472852506
45,8,10,4.02420418005585,10,3.22348506287229
50,8,10,3.9983715817606,10,3.19765246457704
55,8,10,3.9739618121541,10,3.17324269497053
