"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.23683450843194,0,1.92285420266148
5,8,0,4.23683450843194,0,1.92285420266148
10,8,0,4.23683450843194,0,1.92285420266148
15,8,0,4.23683450843195,0,1.92285420266148
20,8,0,4.23683450843194,0,1.92285420266148
25,8,0,4.23683450843194,0,1.92285420266148
30,8,0,4.23683450843194,0,1.92285420266148
35,8,0,4.23683450843194,0,1.92285420266148
40,8,0,4.23683450843194,0,1.92285420266148
45,8,0,4.23683450843195,0,1.92285420266148
50,8,0,4.23683450843194,0,1.92285420266148
55,8,0,4.23683450843194,0,1.92285420266148
60,8,0,4.23683450843194,0,1.92285420266148
65,8,0,4.23683450843194,0,1.92285420266148
70,8,0,4.23683450843195,0,1.92285420266148
75,8,0,4.23683450843194,0,1.92285420266148
80,8,0,4.23683450843194,0,1.92285420266148
85,8,0,4.23683450843194,0,1.92285420266148
90,8,0,4.23683450843195,0,1.92285420266148
0,8,5,4.27437375453733,5,1.96039344876687
5,8,5,4.26836740999134,5,1.95438710422088
10,8,5,4.26175279334868,5,1.94777248757821
15,8,5,4.25457708671972,5,1.94059678094925
20,8,5,4.24690520434533,5,1.93292489857487
25,8,5,4.23881866089872,5,1.92483835512826
30,8,5,4.23041385808858,5,1.91643355231812
35,8,5,4.22179991621722,5,1.90781961044676
40,8,5,4.21309619914256,5,1.8991158933721
45,8,5,4.20442968431971,5,1.89044937854924
50,8,5,4.19593231391794,5,1.88195200814748
55,8,5,4.18773843067621,5,1.87375812490574
60,8,5,4.17998235795282,5,1.86600205218236
65,8,5,4.17279613417891,5,1.85881582840845
70,8,5,4.16630736568376,5,1.8523270599133
75,8,5,4.16063712671385,5,1.84665682094339
80,8,5,4.15589781825103,5,1.84191751248057
85,8,5,4.15219090230535,5,1.83821059653489
90,8,5,4.14960445667211,5,1.83562415090165
0,8,10,4.38221356629922,10,2.06823326052876
5,8,10,4.37119142752741,10,2.05721112175695
10,8,10,4.35764365440902,10,2.04366334863856
15,8,10,4.3416849373007,10,2.02770463153024
20,8,10,4.32351963996801,10,2.00953933419755
25,8,10,4.3034305021443,10,1.98945019637383
30,8,10,4.28176230896007,10,1.96778200318961
35,8,10,4.25890227804861,10,1.94492197227815
40,8,10,4.23525935037019,10,1.92127904459973
45,8,10,4.2112447822996,10,1.89726447652914
50,8,10,4.18725634374388,10,1.87327603797342
55,8,10,4.16366798204302,10,1.84968767627255
60,8,10,4.14082602485151,10,1.82684571908105
65,8,10,4.11905195093691,10,1.80507164516645
70,8,10,4.09865060831799,10,1.78467030254753
75,8,10,4.07992170084021,10,1.76594139506975
80,8,10,4.06317159886365,10,1.74919129309319
85,8,10,4.04872222205745,10,1.73474191628698
90,8,10,4.03691398540645,10,1.72293367963598
0,8,15,4.5373161079332,15,2.22333580216274
5,8,15,4.52179659409746,15,2.207816288327
10,8,15,4.50027129909893,15,2.18629099332846
15,8,15,4.47301431878668,15,2.15903401301622
20,8,15,4.44057293748817,15,2.12659263171771
25,8,15,4.40372688755438,15,2.08974658178392
30,8,15,4.36342667234126,15,2.04944636657079
35,8,15,4.32071521710473,15,2.00673491133427
40,8,15,4.27664017429853,15,1.96265986852807
45,8,15,4.23216729134888,15,1.91818698557841
50,8,15,4.18810733878372,15,1.87412703301326
55,8,15,4.14506913462597,15,1.83108882885551
60,8,15,4.10344850541634,15,1.78946819964587
65,8,15,4.06345765272204,15,1.74947734695158
70,8,15,4.02519224627623,15,1.71121194050577
75,8,15,3.98872614403548,15,1.67474583826502
80,8,15,3.95421757424666,15,1.6402372684762
85,8,15,3.92200718206695,15,1.60802687629649
90,8,15,3.89268820977081,15,1.57870790400035
0,8,20,4.69539199414425,20,2.38141168837379
5,8,20,4.67527027683599,20,2.36128997106553
10,8,20,4.64408293692708,20,2.33010263115661
15,8,20,4.60236371802481,20,2.28838341225435
20,8,20,4.55122976058229,20,2.23724945481183
25,8,20,4.49231889187521,20,2.17833858610475
30,8,20,4.42767590008194,20,2.11369559431148
35,8,20,4.35958229133621,20,2.04560198556575
40,8,20,4.29033474441146,20,1.976354438641
45,8,20,4.22199359739723,20,1.90801329162676
50,8,20,4.15613960425258,20,1.84215929848212
55,8,20,4.09368809165543,20,1.77970778588497
60,8,20,4.03480821100778,20,1.72082790523732
65,8,20,3.97897878902763,20,1.66499848325716
70,8,20,3.92518481064525,20,1.61120450487479
75,8,20,3.8722280150924,20,1.55824770932194
80,8,20,3.81910035040424,20,1.50512004463377
85,8,20,3.76535555571618,20,1.45137524994572
90,8,20,3.71141242960806,20,1.3974321238376
0,8,25,4.80548682032531,25,2.49150651455485
5,8,25,4.78000619835395,25,2.46602589258349
10,8,25,4.73749849142841,25,2.42351818565795
15,8,25,4.67871823826381,25,2.36473793249335
20,8,25,4.60534208785889,25,2.29136178208842
25,8,25,4.5199674627581,25,2.20598715698764
30,8,25,4.4260326788974,25,2.11205237312693
35,8,25,4.32760472746359,25,2.01362442169313
40,8,25,4.22900009492163,25,1.91501978915117
45,8,25,4.13425006654314,25,1.82026976077268
50,8,25,4.04648638064085,25,1.73250607487039
55,8,25,3.9673827229582,25,1.65340241718774
60,8,25,3.89681131044442,25,1.58283100467396
65,8,25,3.83284047910063,25,1.51886017333017
70,8,25,3.77211523052274,25,1.45813492475228
75,8,25,3.71056287499554,25,1.39658256922508
80,8,25,3.64429160719442,25,1.33031130142396
85,8,25,3.57052207592564,25,1.25654177015518
90,8,25,3.48840204008838,25,1.17442173431792
0,8,30,4.82528384546833,30,2.51130353969787
5,8,30,4.79345227600652,30,2.47947197023606
10,8,30,4.73898051708949,30,2.42500021131903
15,8,30,4.66256392479003,30,2.34858361901957
20,8,30,4.56600003264304,30,2.25201972687258
25,8,30,4.45241024010575,30,2.13842993433529
30,8,30,4.32640007107883,30,2.01241976530837
35,8,30,4.19399915846399,30,1.88001885269353
40,8,30,4.06222826935531,30,1.74824796358485
45,8,30,3.93821900474425,30,1.62423869897379
50,8,30,3.82796890343675,30,1.51398859766628
55,8,30,3.73500901838469,30,1.42102871261423
60,8,30,3.65939511244646,30,1.345414806676
65,8,30,3.59740343131396,30,1.28342312554349
70,8,30,3.54209871313422,30,1.22811840736376
75,8,30,3.48465466177725,30,1.17067435600679
80,8,30,3.41610600589232,30,1.10212570012186
85,8,30,3.32917840465739,30,1.01519809888693
90,8,30,3.21993116309398,30,0.905950857323521
0,8,35,4.73079494537336,35,2.4168146396029
5,8,35,4.69218186299408,35,2.37820155722362
10,8,35,4.62695063365454,35,2.31297032788408
15,8,35,4.5352387286395,35,2.22125842286904
20,8,35,4.41813003140206,35,2.1041497256316
25,8,35,4.27827971067412,35,1.96429940490366
30,8,35,4.12058697228859,35,1.80660666651813
35,8,35,3.95261184543744,35,1.63863153966698
40,8,35,3.78437369065891,35,1.47039338488845
45,8,35,3.62723120940106,35,1.3132509036306
50,8,35,3.49180088315421,35,1.17782057738375
55,8,35,3.38531785569792,35,1.07133754992746
60,8,35,3.30928869497942,35,0.995308389208959
65,8,35,3.25838932164805,35,0.944409015877592
70,8,35,3.22112878581015,35,0.907148480039685
75,8,35,3.18206555502804,35,0.868085249257575
80,8,35,3.12483754826078,35,0.810857242490316
85,8,35,3.03524522845213,35,0.721264922681665
90,8,35,2.90396180211664,35,0.589981496346179
