"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.13029027636512,0,3.28462469686467
5,8,0,4.13029027636512,0,3.28462469686467
10,8,0,4.13029027636512,0,3.28462469686467
15,8,0,4.13029027636512,0,3.28462469686467
20,8,0,4.13029027636512,0,3.28462469686467
25,8,0,4.13029027636512,0,3.28462469686467
30,8,0,4.13029027636512,0,3.28462469686467
35,8,0,4.13029027636512,0,3.28462469686467
40,8,0,4.13029027636512,0,3.28462469686467
45,8,0,4.13029027636512,0,3.28462469686467
50,8,0,4.13029027636512,0,3.28462469686467
55,8,0,4.13029027636512,0,3.28462469686467
60,8,0,4.13029027636512,0,3.28462469686467
65,8,0,4.13029027636512,0,3.28462469686467
70,8,0,4.13029027636512,0,3.28462469686467
75,8,0,4.13029027636512,0,3.28462469686467
80,8,0,4.13029027636512,0,3.28462469686467
85,8,0,4.13029027636512,0,3.28462469686467
90,8,0,4.13029027636512,0,3.28462469686467
0,8,5,4.20160531505559,5,3.35593973555514
5,8,5,4.20407384331767,5,3.35840826381723
10,8,5,4.20539347807246,5,3.35972789857201
15,8,5,4.20555734471506,5,3.35989176521461
20,8,5,4.20459162412862,5,3.35892604462817
25,8,5,4.20255388520676,5,3.35688830570631
30,8,5,4.19953059657827,5,3.35386501707782
35,8,5,4.19563395970388,5,3.34996838020343
40,8,5,4.19099821069647,5,3.34533263119602
45,8,5,4.18577553269255,5,3.3401099531921
50,8,5,4.18013170627581,5,3.33446612677536
55,8,5,4.17424160511262,5,3.32857602561218
60,8,5,4.16828462109305,5,3.3226190415926
65,8,5,4.16244008175438,5,3.31677450225393
70,8,5,4.15688270640678,5,3.31121712690633
75,8,5,4.15177813936189,5,3.30611255986144
80,8,5,4.14727860095163,5,3.30161302145118
85,8,5,4.1435187098697,5,3.29785313036926
90,8,5,4.14061155203142,5,3.29494597253097
0,8,10,4.40663454081724,10,3.5609689613168
5,8,10,4.4132689739348,10,3.56760339443435
10,8,10,4.41555426295637,10,3.56988868345592
15,8,10,4.4135621541362,10,3.56789657463575
20,8,10,4.40748254016113,10,3.56181696066068
25,8,10,4.39760925442404,10,3.5519436749236
30,8,10,4.38432359232517,10,3.53865801282472
35,8,10,4.36807675082018,10,3.52241117131973
40,8,10,4.34937234984761,10,3.50370677034716
45,8,10,4.32875009861857,10,3.48308451911813
50,8,10,4.30677147451321,10,3.46110589501276
55,8,10,4.28400797729273,10,3.43834239779228
60,8,10,4.26103211114514,10,3.4153665316447
65,8,10,4.23841076630683,10,3.39274518680638
70,8,10,4.21670018756096,10,3.37103460806051
75,8,10,4.19644132040364,10,3.35077574090319
80,8,10,4.17815411588831,10,3.33248853638786
85,8,10,4.16232943409326,10,3.31666385459281
90,8,10,4.14941755389138,10,3.30375197439093
0,8,15,4.68757261167632,15,3.84190703217587
5,8,15,4.69796114367038,15,3.85229556416993
10,8,15,4.6994580678934,15,3.85379248839295
15,8,15,4.69242125187576,15,3.84675567237531
20,8,15,4.67743707831604,15,3.83177149881559
25,8,15,4.65527645743106,15,3.80961087793061
30,8,15,4.6268474460869,15,3.78118186658645
35,8,15,4.59314662772416,15,3.74748104822372
40,8,15,4.55521188310879,15,3.70954630360834
45,8,15,4.51407989045153,15,3.66841431095108
50,8,15,4.47075225254839,15,3.62508667304794
55,8,15,4.42617410731536,15,3.58050852781491
60,8,15,4.38122806743141,15,3.53556248793096
65,8,15,4.33674422331379,15,3.49107864381334
70,8,15,4.29352393922268,15,3.44785835972223
75,8,15,4.25237182436762,15,3.40670624486717
80,8,15,4.21412735467226,15,3.36846177517182
85,8,15,4.17968599633569,15,3.33402041683524
90,8,15,4.1500000297921,15,3.30433445029165
0,8,20,4.96152695246907,20,4.11586137296862
5,8,20,4.97396831573946,20,4.12830273623901
10,8,20,4.97255428813175,20,4.1268887086313
15,8,20,4.95813950018255,20,4.1124739206821
20,8,20,4.93190069492798,20,4.08623511542753
25,8,20,4.89526411798649,20,4.04959853848605
30,8,20,4.84983017939956,20,4.00416459989911
35,8,20,4.79729209848416,20,3.95162651898371
40,8,20,4.73934766637362,20,3.89368208687317
45,8,20,4.67760821801567,20,3.83194263851522
50,8,20,4.61351498073555,20,3.7678494012351
55,8,20,4.54827793023323,20,3.70261235073278
60,8,20,4.4828537126527,20,3.63718813315226
65,8,20,4.41797539484747,20,3.57230981534702
70,8,20,4.35423765500401,20,3.50857207550356
75,8,20,4.29222820146671,20,3.44656262196627
80,8,20,4.23268270354033,20,3.38701712403988
85,8,20,4.17662971391347,20,3.33096413441302
90,8,20,4.12548691455068,20,3.27982133505023
0,8,25,5.15457410926078,25,4.30890852976033
5,8,25,5.16750570127203,25,4.32184012177158
10,8,25,5.1620900721617,25,4.31642449266125
15,8,25,5.13974621664207,25,4.29408063714162
20,8,25,5.10223013803373,25,4.25656455853328
25,8,25,5.05157289946493,25,4.20590731996448
30,8,25,4.99002506805511,25,4.14435948855467
35,8,25,4.91998418101874,25,4.07431860151829
40,8,25,4.84388540688679,25,3.99821982738634
45,8,25,4.7640484831389,25,3.91838290363845
50,8,25,4.68249451089685,25,3.83682893139641
55,8,25,4.60076851810611,25,3.75510293860566
60,8,25,4.51981920414271,25,3.67415362464226
65,8,25,4.43998780277622,25,3.59432222327577
70,8,25,4.3611401622145,25,3.51547458271405
75,8,25,4.28294361124244,25,3.43727803174199
80,8,25,4.20525202457391,25,3.35958644507346
85,8,25,4.1285285494618,25,3.28286296996135
90,8,25,4.05421236655821,25,3.20854678705776
0,8,30,5.21917944708139,30,4.37351386758094
5,8,30,5.23204189176799,30,4.38637631226754
10,8,30,5.22325417734301,30,4.37758859784256
15,8,30,5.19467563646938,30,4.34901005696893
20,8,30,5.14836921642777,30,4.30270363692732
25,8,30,5.08661659904468,30,4.24095101954423
30,8,30,5.01197296930835,30,4.1663073898079
35,8,30,4.92730172301956,30,4.08163614351912
40,8,30,4.83572413177042,30,3.99005855226998
45,8,30,4.74043592617495,30,3.8947703466745
50,8,30,4.64438554554716,30,3.79871996604671
55,8,30,4.54986914122811,30,3.70420356172766
