"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-2.81270939282431,0,-7.40135969273612
5,8,0,-2.8127093928243,0,-7.40135969273612
10,8,0,-2.8127093928243,0,-7.40135969273612
15,8,0,-2.8127093928243,0,-7.40135969273612
20,8,0,-2.8127093928243,0,-7.40135969273612
25,8,0,-2.8127093928243,0,-7.40135969273612
30,8,0,-2.8127093928243,0,-7.40135969273612
35,8,0,-2.8127093928243,0,-7.40135969273612
40,8,0,-2.8127093928243,0,-7.40135969273612
45,8,0,-2.81270939282431,0,-7.40135969273612
50,8,0,-2.8127093928243,0,-7.40135969273612
55,8,0,-2.8127093928243,0,-7.40135969273612
60,8,0,-2.8127093928243,0,-7.40135969273612
65,8,0,-2.8127093928243,0,-7.40135969273612
70,8,0,-2.8127093928243,0,-7.40135969273612
75,8,0,-2.8127093928243,0,-7.40135969273611
80,8,0,-2.8127093928243,0,-7.40135969273612
85,8,0,-2.8127093928243,0,-7.40135969273612
90,8,0,-2.8127093928243,0,-7.40135969273611
0,8,5,-2.96151491046099,5,-7.55016521037281
5,8,5,-2.9384368821625,5,-7.52708718207432
10,8,5,-2.91399926821187,5,-7.50264956812369
15,8,5,-2.88785617765914,5,-7.47650647757096
20,8,5,-2.8596351597706,5,-7.44828545968242
25,8,5,-2.82895495370491,5,-7.41760525361673
30,8,5,-2.79544844790751,5,-7.38409874781933
35,8,5,-2.75878987342211,5,-7.34744017333392
40,8,5,-2.71872467579506,5,-7.30737497570688
45,8,5,-2.67510001273049,5,-7.26375031264231
50,8,5,-2.62789348474131,5,-7.21654378465313
55,8,5,-2.57723759323885,5,-7.16588789315067
60,8,5,-2.52343758115355,5,-7.11208788106536
65,8,5,-2.46698075253051,5,-7.05563105244233
70,8,5,-2.40853604876837,5,-6.99718634868019
75,8,5,-2.34894349390671,5,-6.93759379381853
80,8,5,-2.28919399282633,5,-6.87784429273814
85,8,5,-2.23040075136743,5,-6.81905105127925
90,8,5,-2.17376418311516,5,-6.76241448302697
0,8,10,-2.75202751023252,10,-7.34067781014434
5,8,10,-2.73462578377756,10,-7.32327608368938
10,8,10,-2.72051539926922,10,-7.30916569918103
15,8,10,-2.70868827251201,10,-7.29733857242383
20,8,10,-2.6976124548003,10,-7.28626275471211
25,8,10,-2.68525441747978,10,-7.27390471739159
30,8,10,-2.6691496148625,10,-7.25779991477431
35,8,10,-2.64652678125289,10,-7.23517708116471
40,8,10,-2.61448747014737,10,-7.20313777005919
45,8,10,-2.57023508678201,10,-7.15888538669383
50,8,10,-2.51133754474787,10,-7.09998784465968
55,8,10,-2.43599671737437,10,-7.02464701728619
60,8,10,-2.34328954393332,10,-6.93193984384514
