"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-0.29375892044445,0,-3.17024794652633
5,8,0,-0.29375892044445,0,-3.17024794652633
10,8,0,-0.293758920444448,0,-3.17024794652632
15,8,0,-0.293758920444446,0,-3.17024794652632
20,8,0,-0.293758920444447,0,-3.17024794652632
25,8,0,-0.293758920444446,0,-3.17024794652632
30,8,0,-0.293758920444447,0,-3.17024794652632
35,8,0,-0.293758920444447,0,-3.17024794652632
40,8,0,-0.293758920444446,0,-3.17024794652632
45,8,0,-0.293758920444445,0,-3.17024794652632
50,8,0,-0.293758920444445,0,-3.17024794652632
55,8,0,-0.293758920444447,0,-3.17024794652632
60,8,0,-0.293758920444447,0,-3.17024794652632
65,8,0,-0.293758920444446,0,-3.17024794652632
70,8,0,-0.293758920444447,0,-3.17024794652632
75,8,0,-0.293758920444446,0,-3.17024794652632
80,8,0,-0.293758920444446,0,-3.17024794652632
85,8,0,-0.293758920444446,0,-3.17024794652632
90,8,0,-0.293758920444445,0,-3.17024794652632
0,8,5,0.604763158598975,5,-2.2717258674829
5,8,5,0.563645790097086,5,-2.31284323598479
10,8,5,0.516246818093612,5,-2.36024220798826
15,8,5,0.462868286585861,5,-2.41362073949602
20,8,5,0.403873261609633,5,-2.47261576447224
25,8,5,0.339689458657918,5,-2.53679956742396
30,8,5,0.270811164606714,5,-2.60567786147516
35,8,5,0.197799015641212,5,-2.67869001044066
40,8,5,0.121277238947515,5,-2.75521178713436
45,8,5,0.0419280454639247,5,-2.83456098061795
50,8,5,-0.0395170203371424,5,-2.91600604641902
55,8,5,-0.122288806549217,5,-2.99877783263109
60,8,5,-0.205595186216324,5,-3.0820842122982
65,8,5,-0.288638189643784,5,-3.16512721572566
70,8,5,-0.370632973877263,5,-3.24712199995914
75,8,5,-0.450827713084355,5,-3.32731673916623
80,8,5,-0.528523272355518,5,-3.40501229843739
85,8,5,-0.603091371820633,5,-3.47958039790251
90,8,5,-0.673989890318251,5,-3.55047891640013
0,8,10,1.33716766796842,10,-1.53932135811345
5,8,10,1.26814186304624,10,-1.60834716303563
10,8,10,1.18727788659666,10,-1.68921113948522
15,8,10,1.09464859051422,10,-1.78184043556766
20,8,10,0.990504383703121,10,-1.88598464237875
25,8,10,0.87531266808319,10,-2.00117635799869
30,8,10,0.749794661147567,10,-2.12669436493431
35,8,10,0.614957050505823,10,-2.26153197557605
40,8,10,0.472115264566387,10,-2.40437376151549
45,8,10,0.32290453335854,10,-2.55358449272334
