"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-1.87510277712245,0,-2.2205351857854
5,8,0,-1.87510277712245,0,-2.2205351857854
10,8,0,-1.87510277712245,0,-2.2205351857854
15,8,0,-1.87510277712245,0,-2.2205351857854
20,8,0,-1.87510277712246,0,-2.22053518578541
25,8,0,-1.87510277712245,0,-2.2205351857854
30,8,0,-1.87510277712245,0,-2.2205351857854
35,8,0,-1.87510277712246,0,-2.22053518578541
40,8,0,-1.87510277712245,0,-2.2205351857854
45,8,0,-1.87510277712246,0,-2.22053518578541
50,8,0,-1.87510277712246,0,-2.22053518578541
55,8,0,-1.87510277712246,0,-2.22053518578541
60,8,0,-1.87510277712246,0,-2.22053518578541
65,8,0,-1.87510277712246,0,-2.22053518578541
70,8,0,-1.87510277712246,0,-2.22053518578541
75,8,0,-1.87510277712245,0,-2.2205351857854
80,8,0,-1.87510277712245,0,-2.2205351857854
85,8,0,-1.87510277712245,0,-2.2205351857854
90,8,0,-1.87510277712246,0,-2.22053518578541
0,8,5,-1.88911060050511,5,-2.23454300916806
5,8,5,-1.87518394226154,5,-2.22061635092449
10,8,5,-1.85942740680067,5,-2.20485981546362
15,8,5,-1.84209926875164,5,-2.18753167741459
20,8,5,-1.82353112352705,5,-2.16896353219
25,8,5,-1.80411560222951,5,-2.14954801089246
30,8,5,-1.7842923158683,5,-2.12972472453125
35,8,5,-1.76453261125319,5,-2.10996501991614
40,8,5,-1.74532371794276,5,-2.09075612660571
45,8,5,-1.72715285829901,5,-2.07258526696196
50,8,5,-1.71049187945218,5,-2.05592428811513
55,8,5,-1.69578294151589,5,-2.04121535017884
60,8,5,-1.68342575388043,5,-2.02885816254338
65,8,5,-1.67376678479323,5,-2.01919919345618
70,8,5,-1.66709077541171,5,-2.01252318407466
75,8,5,-1.66361476887247,5,-2.00904717753542
80,8,5,-1.66348472311248,5,-2.00891713177543
85,8,5,-1.66677462314098,5,-2.01220703180393
90,8,5,-1.67348785778602,5,-2.01892026644897
0,8,10,-2.08970081321531,10,-2.43513322187826
5,8,10,-2.05309129602059,10,-2.39852370468354
10,8,10,-2.00799930391087,10,-2.35343171257382
15,8,10,-1.95557440797507,10,-2.30100681663802
20,8,10,-1.89719877271852,10,-2.24263118138147
25,8,10,-1.83444030878399,10,-2.17987271744694
30,8,10,-1.76900695517638,10,-2.11443936383933
35,8,10,-1.70269925503262,10,-2.04813166369557
40,8,10,-1.63735885884553,10,-1.98279126750848
45,8,10,-1.57481203116559,10,-1.92024443982854
50,8,10,-1.51680912341314,10,-1.86224153207609
55,8,10,-1.46496278117479,10,-1.81039518983774
60,8,10,-1.42068898250899,10,-1.76612139117194
65,8,10,-1.38515564254555,10,-1.7305880512085
70,8,10,-1.35924342977493,10,-1.70467583843788
75,8,10,-1.34352269682847,10,-1.68895510549142
80,8,10,-1.33824915656158,10,-1.68368156522453
85,8,10,-1.34337925643761,10,-1.68881166510056
90,8,10,-1.35860423506329,10,-1.70403664372624
0,8,15,-2.32047477958034,15,-2.66590718824329
5,8,15,-2.24972974759677,15,-2.59516215625972
10,8,15,-2.16408895695171,15,-2.50952136561466
15,8,15,-2.06570394877035,15,-2.4111363574333
20,8,15,-1.95679003009357,15,-2.30222243875652
25,8,15,-1.83971657859662,15,-2.18514898725957
30,8,15,-1.7171111023216,15,-2.06254351098455
35,8,15,-1.5919290431997,15,-1.93736145186265
40,8,15,-1.46745582440178,15,-1.81288823306473
45,8,15,-1.347227835711,15,-1.69266024437395
50,8,15,-1.23487937679697,15,-1.58031178545992
55,8,15,-1.13393814921207,15,-1.47937055787502
60,8,15,-1.04759997286208,15,-1.39303238152503
65,8,15,-0.978514062450284,15,-1.32394647111323
70,8,15,-0.928605679630644,15,-1.27403808829359
75,8,15,-0.898956278977283,15,-1.24438868764023
80,8,15,-0.889754714866936,15,-1.23518712352989
85,8,15,-0.900327500598299,15,-1.24575990926125
90,8,15,-0.929250812462201,15,-1.27468322112515
0,8,20,-2.34647260623964,20,-2.69190501490259
5,8,20,-2.24184954196202,20,-2.58728195062497
10,8,20,-2.12567820614666,20,-2.47111061480961
15,8,20,-1.99876906736823,20,-2.34420147603118
20,8,20,-1.86105370236029,20,-2.20648611102324
25,8,20,-1.71238189049198,20,-2.05781429915493
30,8,20,-1.5533183061089,20,-1.89875071477185
35,8,20,-1.38576413529862,20,-1.73119654396157
40,8,20,-1.21326523086319,20,-1.55869763952614
45,8,20,-1.04094349228092,20,-1.38637590094387
50,8,20,-0.875083653463423,20,-1.22051606212637
55,8,20,-0.722487530148789,20,-1.06791993881174
60,8,20,-0.589742483517259,20,-0.935174892180209
65,8,20,-0.482536203335484,20,-0.827968611998434
70,8,20,-0.405105631172068,20,-0.750538039835018
75,8,20,-0.359861189473977,20,-0.705293598136927
80,8,20,-0.347197483854225,20,-0.692629892517175
85,8,20,-0.365493171247823,20,-0.710925579910773
90,8,20,-0.411308717101045,20,-0.756741125763995
