"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,1.87972584791515,0,1.11893880871845
5,8,0,1.87972584791514,0,1.11893880871844
10,8,0,1.87972584791514,0,1.11893880871844
15,8,0,1.87972584791515,0,1.11893880871845
20,8,0,1.87972584791515,0,1.11893880871845
25,8,0,1.87972584791515,0,1.11893880871845
30,8,0,1.87972584791515,0,1.11893880871845
35,8,0,1.87972584791514,0,1.11893880871844
40,8,0,1.87972584791515,0,1.11893880871845
45,8,0,1.87972584791515,0,1.11893880871845
50,8,0,1.87972584791515,0,1.11893880871845
55,8,0,1.87972584791514,0,1.11893880871844
60,8,0,1.87972584791515,0,1.11893880871845
65,8,0,1.87972584791515,0,1.11893880871845
70,8,0,1.87972584791515,0,1.11893880871845
75,8,0,1.87972584791515,0,1.11893880871845
80,8,0,1.87972584791515,0,1.11893880871845
85,8,0,1.87972584791515,0,1.11893880871845
90,8,0,1.87972584791514,0,1.11893880871844
0,8,5,1.52825431065496,5,0.767467271458258
5,8,5,1.53409364546045,5,0.773306606263752
10,8,5,1.54274014105762,5,0.781953101860924
15,8,5,1.55414847391562,5,0.793361434718918
20,8,5,1.56826614892006,5,0.807479109723357
25,8,5,1.58503289171876,5,0.824245852522055
30,8,5,1.60437917845701,5,0.843592139260307
35,8,5,1.62622401311577,5,0.865436973919072
40,8,5,1.65047212324052,5,0.889685084043818
45,8,5,1.67701079284408,5,0.91622375364738
50,8,5,1.70570658453898,5,0.944919545342274
55,8,5,1.73640222061752,5,0.975615181420817
60,8,5,1.7689138949606,5,1.0081268557639
65,8,5,1.80302927505154,5,1.04224223585484
70,8,5,1.83850642698836,5,1.07771938779166
75,8,5,1.87507385721597,5,1.11428681801927
80,8,5,1.91243181367413,5,1.15164477447743
85,8,5,1.95025492723768,5,1.18946788804098
90,8,5,1.98819620325352,5,1.22740916405682
0,8,10,1.35629381757459,10,0.595506778377887
5,8,10,1.3672093094286,10,0.606422270231898
10,8,10,1.38198235199112,10,0.621195312794423
15,8,10,1.40051904829803,10,0.639732009101327
20,8,10,1.42279951706377,10,0.662012477867065
25,8,10,1.44887290393235,10,0.68808586473565
30,8,10,1.47884537128191,10,0.71805833208521
35,8,10,1.51286218840356,10,0.752075149206855
40,8,10,1.55108539439984,10,0.790298355203141
45,8,10,1.59366868944646,10,0.832881650249761
50,8,10,1.64073121502593,10,0.879944175829225
55,8,10,1.69233173561481,10,0.931544696418108
60,8,10,1.74844449756233,10,0.987657458365627
65,8,10,1.80893780482547,10,1.04815076562877
70,8,10,1.87355620015838,10,1.11276916096168
75,8,10,1.94190711907212,10,1.18112007987542
80,8,10,2.01345297331653,10,1.25266593411983
85,8,10,2.08750973671139,10,1.32672269751469
90,8,10,2.16325312561021,10,1.40246608641351
0,8,15,1.37447806182162,15,0.613691022624921
5,8,15,1.39169222603341,15,0.630905186836713
10,8,15,1.411375118772,15,0.6505880795753
15,8,15,1.43333597773697,15,0.672548938540274
20,8,15,1.45765505405863,15,0.696868014861926
25,8,15,1.48466610696341,15,0.723879067766707
30,8,15,1.51491914535625,15,0.754132106159548
35,8,15,1.54912658513687,15,0.788339545940167
