"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-14.3555353729463,0,-17.745384485126
5,8,0,-14.3555353729463,0,-17.745384485126
10,8,0,-14.3555353729463,0,-17.745384485126
15,8,0,-14.3555353729463,0,-17.745384485126
20,8,0,-14.3555353729463,0,-17.745384485126
25,8,0,-14.3555353729463,0,-17.745384485126
30,8,0,-14.3555353729463,0,-17.745384485126
35,8,0,-14.3555353729463,0,-17.745384485126
40,8,0,-14.3555353729463,0,-17.745384485126
45,8,0,-14.3555353729463,0,-17.745384485126
50,8,0,-14.3555353729463,0,-17.745384485126
55,8,0,-14.3555353729463,0,-17.745384485126
60,8,0,-14.3555353729463,0,-17.745384485126
65,8,0,-14.3555353729463,0,-17.745384485126
70,8,0,-14.3555353729463,0,-17.745384485126
75,8,0,-14.3555353729463,0,-17.745384485126
80,8,0,-14.3555353729463,0,-17.745384485126
85,8,0,-14.3555353729463,0,-17.745384485126
90,8,0,-14.3555353729463,0,-17.745384485126
0,8,5,-10.4542390467829,5,-13.8440881589625
5,8,5,-10.4035970762173,5,-13.793446188397
10,8,5,-10.3857466018208,5,-13.7755957140004
15,8,5,-10.4000580991455,5,-13.7899072113252
20,8,5,-10.4458796403391,5,-13.8357287525187
25,8,5,-10.5225145582687,5,-13.9123636704484
30,8,5,-10.6291776124495,5,-14.0190267246292
35,8,5,-10.7649293818012,5,-14.1547784939808
40,8,5,-10.9285879346866,5,-14.3184370468663
45,8,5,-11.1186165683111,5,-14.5084656804908
50,8,5,-11.3329869162732,5,-14.7228360284529
55,8,5,-11.5690186060927,5,-14.9588677182724
60,8,5,-11.8232008260929,5,-15.2130499382725
65,8,5,-12.0910087962999,5,-15.4808579084796
70,8,5,-12.3667403001001,5,-15.7565894122797
75,8,5,-12.6434142152717,5,-16.0332633274514
80,8,5,-12.9127918393719,5,-16.3026409515516
85,8,5,-13.1655953303881,5,-16.5554444425677
90,8,5,-13.3919922338611,5,-16.7818413460407
0,8,10,-7.18404919089089,10,-10.5738983030705
5,8,10,-7.13765872841213,10,-10.5275078405918
10,8,10,-7.13194824139139,10,-10.521797353571
