source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,axial_ratio_min_db,axial_ratio_max_db,cp_coverage_percent,gain_min_theta_deg,gain_min_phi_deg,ar_max_theta_deg,ar_max_phi_deg,meets_gain,meets_cp
P1A_only,7.738000,-16.031869,5.715199,21.747068,1.151708,4644.485040,14.658,120.000000,50.000000,255.000000,85.000000,False,False
P1B_only,7.738000,-11.901835,5.233378,17.135213,1.118589,1587.183833,22.877,205.000000,45.000000,340.000000,55.000000,False,False
P2A_only,7.738000,-23.270037,6.214102,29.484139,1.242609,889.199518,8.630,190.000000,90.000000,170.000000,65.000000,False,False
P2B_only,7.738000,-13.237528,5.627207,18.864735,1.037605,782.844213,15.616,240.000000,60.000000,275.000000,90.000000,False,False
P3A_only,7.738000,-15.279020,5.814135,21.093155,1.088350,2380.522088,13.973,240.000000,50.000000,35.000000,85.000000,False,False
P3B_only,7.738000,-11.466048,5.322313,16.788361,1.083350,50681.481357,22.466,155.000000,45.000000,135.000000,85.000000,False,False
P4A_only,7.738000,-25.529934,6.104886,31.634820,1.526095,1267.412414,10.548,170.000000,90.000000,100.000000,45.000000,False,False
P4B_only,7.738000,-13.132941,5.538074,18.671015,1.042652,2283.299560,13.973,120.000000,60.000000,225.000000,60.000000,False,False
sequential_quadrature_all_ports,7.738000,-12.519605,6.515886,19.035491,1.052897,43306.393726,48.493,330.000000,45.000000,265.000000,50.000000,False,False
E1_dualfeed_quadrature,7.738000,-14.806584,5.350018,20.156601,1.040855,187.708255,78.630,195.000000,45.000000,255.000000,65.000000,False,False
E2_dualfeed_quadrature,7.738000,-11.080353,6.031279,17.111632,1.010250,689.653488,55.753,190.000000,90.000000,125.000000,75.000000,False,False
E3_dualfeed_quadrature,7.738000,-13.700471,5.419595,19.120065,1.010377,1440.519338,79.589,165.000000,45.000000,120.000000,75.000000,False,False
E4_dualfeed_quadrature,7.738000,-11.335625,5.887471,17.223096,1.040396,41614.181628,60.685,170.000000,90.000000,230.000000,45.000000,False,False
dualfeed_array_quadrature,7.738000,-17.428269,10.158115,27.586384,1.013792,2193.385908,71.918,120.000000,50.000000,65.000000,65.000000,False,False
