topology,amp_b,phase_b_deg,gain_min_dbi,axial_ratio_max_db,cp_coverage_min_percent,score
dualfeed,0.85,-105.0,-16.15644502417283,5315.47820737251,33.15068493150685,10631.229515969839
dualfeed,0.85,-90.0,-22.175594803268062,5567.103508844406,56.71232876712329,11137.410507230057
dualfeed,0.85,-75.0,-20.48955993174584,6952.300670073127,42.19178082191781,13907.617645625896
dualfeed,1.0,-105.0,-16.112407782841217,34609.52218400811,33.013698630136986,69219.29319835207
dualfeed,1.0,-90.0,-21.001055188836144,1273.4108083067,61.64383561643836,2548.6909539151534
dualfeed,1.0,-75.0,-20.683050797821142,912.1293458067812,43.42465753424658,1827.3311596490796
dualfeed,1.15,-105.0,-16.046969920561807,3473.907019299687,33.15068493150685,6947.9995597413035
dualfeed,1.15,-90.0,-19.89146659831329,43718.908445538655,64.24657534246575,87438.59033832856
dualfeed,1.15,-75.0,-21.420854722309045,1283.0506380881793,43.97260273972603,2569.7201517350277
dualfeed,0.85,-105.0,-15.152859905145476,2586.7762589815325,33.56164383561644,5172.989874380332
dualfeed,0.85,-90.0,-20.677255195998665,635.1123492498574,56.43835616438356,1272.251434163363
dualfeed,0.85,-75.0,-22.176714626603584,4432.198168178432,42.054794520547944,8868.773324496502
dualfeed,1.0,-105.0,-14.844971536408366,10312.247827144003,33.28767123287671,20623.7086178185
dualfeed,1.0,-90.0,-21.04228516295806,65944.9634016904,64.65753424657534,131891.58802877142
dualfeed,1.0,-75.0,-22.93160884054479,1371.7278344210629,42.054794520547944,2748.4365723529177
dualfeed,1.15,-105.0,-14.695555875719617,1482.9520813644456,32.87671232876713,2965.0304704431655
dualfeed,1.15,-90.0,-21.45066259440994,1901.475655215204,68.63013698630137,3804.6214295470313
dualfeed,1.15,-75.0,-23.415985744330055,1646.9139854415248,43.56164383561644,3299.0758279716642
dualfeed,0.85,-105.0,-14.7100712619587,3125.3799094376873,30.0,6250.127875884942
dualfeed,0.85,-90.0,-22.29633859611706,2034.9749720070365,52.19178082191781,4073.611672425213
dualfeed,0.85,-75.0,-21.295950817525355,3588.990763501207,42.32876712328767,7181.631986286571
dualfeed,1.0,-105.0,-14.716519497674712,1046.4016379894726,29.863013698630137,2092.187450481195
dualfeed,1.0,-90.0,-21.39285851466976,8733.552862560478,59.178082191780824,17469.48576535735
dualfeed,1.0,-75.0,-21.259346917523708,4980.088274194152,42.73972602739726,9963.764847840132
dualfeed,1.15,-105.0,-14.708249965960276,2124.337560397139,29.45205479452055,4248.085556383484
dualfeed,1.15,-90.0,-21.226463738064897,6507.405253749949,66.02739726027397,13016.509486709529
dualfeed,1.15,-75.0,-21.081813091904525,24211.735087199875,42.87671232876713,48426.90548788697
