theta_deg,phi_deg,element,source_a,source_b,a_h_mag,a_v_mag,b_h_mag,b_v_mag,a_h_phase_deg,a_v_phase_deg,b_h_phase_deg,b_v_phase_deg,xpd_a_as_h_db,xpd_a_as_v_db,xpd_b_as_h_db,xpd_b_as_v_db,ab_pol_corr_mag,ab_pol_orthogonality_db,response_condition_db
45.000000,0.000000,E1,P1A,P1B,1425.037166,3404.861770,1584.863376,3132.558052,167.490256,-123.468931,-17.628825,-127.107478,-7.565466,7.565466,-5.918146,5.918146,0.648896,3.756494,6.734362
45.000000,0.000000,E2,P2A,P2B,2311.719213,3431.708799,791.277552,3341.110769,164.718633,-127.779784,-23.121518,-125.070331,-3.431507,3.431507,-12.511241,12.511241,0.680879,3.338602,7.434376
45.000000,0.000000,E3,P3A,P3B,3263.072850,1887.790945,2169.114425,1583.596674,51.534687,9.154071,57.175928,147.075026,4.753457,-4.753457,2.732758,-2.732758,0.546057,5.255242,6.168612
45.000000,0.000000,E4,P4A,P4B,2240.193242,1790.926526,2865.878662,1596.740999,-119.431610,147.743841,-131.017239,11.399570,1.944154,-1.944154,5.080466,-5.080466,0.566989,4.928512,5.722346
45.000000,5.000000,E1,P1A,P1B,1404.497650,3446.428334,1630.627366,3188.283823,173.820191,-114.934237,-9.353497,-118.718470,-7.796965,7.796965,-5.824045,5.824045,0.652651,3.706386,6.783998
45.000000,5.000000,E2,P2A,P2B,2365.425047,3492.277772,775.136065,3376.106358,170.809122,-120.052520,-18.622530,-116.325837,-3.383992,3.383992,-12.780764,12.780764,0.685357,3.281668,7.530377
45.000000,5.000000,E3,P3A,P3B,3204.994581,1920.108999,2127.951440,1556.747388,44.707107,0.540713,51.752096,134.416342,4.450028,-4.450028,2.714871,-2.714871,0.565281,4.954709,6.429053
45.000000,5.000000,E4,P4A,P4B,2203.824470,1745.085509,2806.281042,1646.229639,-125.255521,136.596501,-137.864479,2.372501,2.027206,-2.027206,4.632815,-4.632815,0.577269,4.772431,5.876919
45.000000,10.000000,E1,P1A,P1B,1367.873769,3462.265465,1668.034730,3215.700994,179.390282,-106.986945,-1.641127,-110.703267,-8.066287,8.066287,-5.701411,5.701411,0.656629,3.653605,6.839522
45.000000,10.000000,E2,P2A,P2B,2383.004840,3521.434038,757.102780,3386.117106,176.521510,-112.407234,-15.106591,-108.127386,-3.391893,3.391893,-13.010943,13.010943,0.691438,3.204930,7.644201
45.000000,10.000000,E3,P3A,P3B,3123.105999,1935.533464,2082.610388,1563.439044,37.603091,-7.352166,45.559954,121.668804,4.155721,-4.155721,2.490542,-2.490542,0.583303,4.682115,6.620367
45.000000,10.000000,E4,P4A,P4B,2158.865323,1719.156240,2733.622007,1681.168374,-131.769780,125.218058,-144.955369,-5.840400,1.978204,-1.978204,4.222545,-4.222545,0.589224,4.594396,6.041234
45.000000,15.000000,E1,P1A,P1B,1315.913894,3449.700030,1690.479884,3218.354527,-175.724307,-99.684574,5.460635,-103.118545,-8.371077,8.371077,-5.592478,5.592478,0.662103,3.581491,6.920312
45.000000,15.000000,E2,P2A,P2B,2361.045950,3526.427718,736.982787,3370.322559,-178.040879,-104.968894,-12.326561,-100.519514,-3.484611,3.484611,-13.204282,13.204282,0.700261,3.094798,7.799047
45.000000,15.000000,E3,P3A,P3B,3023.073394,1922.181421,2042.321536,1595.428889,30.350327,-14.685004,38.666198,109.720422,3.933086,-3.933086,2.144933,-2.144933,0.598446,4.459508,6.716580
45.000000,15.000000,E4,P4A,P4B,2113.732443,1708.749590,2653.455779,1689.148955,-138.889370,114.242199,-152.131201,-13.483189,1.847432,-1.847432,3.922878,-3.922878,0.600642,4.427684,6.181615
45.000000,20.000000,E1,P1A,P1B,1251.259954,3408.007011,1692.019375,3199.680571,-171.439607,-93.010745,12.005550,-95.999686,-8.703059,8.703059,-5.534026,5.534026,0.669985,3.478702,7.041843
45.000000,20.000000,E2,P2A,P2B,2299.774064,3512.227438,714.277141,3328.153311,-172.752148,-97.872998,-10.027220,-93.493236,-3.677949,3.677949,-13.366731,13.366731,0.712408,2.945425,8.011755
45.000000,20.000000,E3,P3A,P3B,2907.792549,1873.849031,2013.376247,1637.376826,23.125369,-21.681819,31.298432,99.070435,3.816576,-3.816576,1.795526,-1.795526,0.609053,4.306905,6.707320
45.000000,20.000000,E4,P4A,P4B,2074.579577,1703.060253,2567.525253,1664.228785,-146.402122,104.099317,-159.184201,-20.847299,1.714002,-1.714002,3.766034,-3.766034,0.608997,4.307699,6.264881
45.000000,25.000000,E1,P1A,P1B,1177.642911,3338.496841,1668.754009,3161.832584,-167.689110,-86.916861,18.107581,-89.374384,-9.050747,9.050747,-5.550931,5.550931,0.680719,3.340646,7.213836
45.000000,25.000000,E2,P2A,P2B,2202.846446,3480.207552,688.650070,3259.583383,-167.483955,-91.245027,-8.007841,-87.024673,-3.972418,3.972418,-13.503270,13.503270,0.727782,2.759978,8.289684
45.000000,25.000000,E3,P3A,P3B,2777.050780,1789.868806,1996.966058,1673.058056,16.121326,-28.558680,23.811357,89.826519,3.815252,-3.815252,1.537193,-1.537193,0.614602,4.228123,6.608204
45.000000,25.000000,E4,P4A,P4B,2043.133152,1689.801561,2473.376645,1606.187058,-153.995678,94.961372,-165.885197,-28.194376,1.649219,-1.649219,3.749883,-3.749883,0.612724,4.254705,6.275160
45.000000,30.000000,E1,P1A,P1B,1098.994544,3243.691159,1619.584966,3105.189074,-164.448265,-81.367228,23.904672,-83.278362,-9.400879,9.400879,-5.653686,5.653686,0.694237,3.169843,7.439016
45.000000,30.000000,E2,P2A,P2B,2076.877957,3428.565816,660.314320,3165.122356,-162.120073,-85.183998,-6.168635,-81.109677,-4.354030,4.354030,-13.612796,13.612796,0.745637,2.549451,8.629667
45.000000,30.000000,E3,P3A,P3B,2628.716030,1674.087550,1988.707864,1689.161733,9.511926,-35.497425,16.590594,81.864477,3.919310,-3.919310,1.417995,-1.417995,0.615808,4.211094,6.457084
45.000000,30.000000,E4,P4A,P4B,2016.164382,1658.941789,2365.822065,1518.948818,-161.332114,86.818377,-172.023020,-35.738122,1.693896,-1.693896,3.848779,-3.848779,0.611497,4.272118,6.217109
45.000000,35.000000,E1,P1A,P1B,1018.680388,3126.441162,1546.288126,3028.790037,-161.747613,-76.364463,29.534483,-77.761008,-9.740246,9.740246,-5.839575,5.839575,0.710070,2.973977,7.714120
45.000000,35.000000,E2,P2A,P2B,1930.655367,3353.944669,629.969102,3045.912281,-156.569536,-79.754257,-4.521109,-75.774390,-4.797023,4.797023,-13.687963,13.687963,0.764821,2.328802,9.019789
45.000000,35.000000,E3,P3A,P3B,2460.775730,1533.841275,1980.367253,1676.834094,3.431511,-42.650001,9.953639,74.978633,4.105832,-4.105832,1.445113,-1.445113,0.613889,4.238208,6.298222
45.000000,35.000000,E4,P4A,P4B,1987.051566,1604.424472,2239.686801,1409.340514,-168.126613,79.581699,-177.430549,-43.654273,1.857797,-1.857797,4.023427,-4.023427,0.605665,4.355350,6.106925
45.000000,40.000000,E1,P1A,P1B,938.985369,2989.788002,1453.086784,2931.614022,-159.667146,-71.947683,35.122518,-72.877933,-10.059631,10.059631,-6.096305,6.096305,0.727613,2.761986,8.033717
45.000000,40.000000,E2,P2A,P2B,1773.943551,3253.458841,598.365547,2904.288503,-150.780744,-74.984820,-3.157376,-71.060793,-5.268110,5.268110,-13.721464,13.721464,0.784147,2.112047,9.443582
45.000000,40.000000,E3,P3A,P3B,2273.134405,1379.106875,1962.809124,1632.127287,-2.021700,-50.152882,4.104075,68.972681,4.340544,-4.340544,1.602481,-1.602481,0.609725,4.297318,6.165598
45.000000,40.000000,E4,P4A,P4B,1948.501237,1524.533193,2092.423397,1286.341903,-174.187384,73.155146,178.015814,-52.089189,2.131276,-2.131276,4.225863,-4.225863,0.595562,4.501454,5.961005
45.000000,45.000000,E1,P1A,P1B,860.920788,2837.610921,1345.966645,2814.140835,-158.313109,-68.172606,40.777999,-68.677149,-10.359793,10.359793,-6.406231,6.406231,0.746437,2.540134,8.395598
45.000000,45.000000,E2,P2A,P2B,1616.004026,3126.390364,565.874055,2744.587997,-144.753780,-70.873610,-2.195029,-67.002559,-5.732015,5.732015,-13.715148,13.715148,0.802736,1.908545,9.885349
45.000000,45.000000,E3,P3A,P3B,2068.411545,1221.507208,1928.668372,1555.830956,-6.764978,-58.128521,-0.856789,63.701606,4.574818,-4.574818,1.865903,-1.865903,0.603331,4.388893,6.072889
45.000000,45.000000,E4,P4A,P4B,1894.976781,1421.527671,1925.395930,1160.286649,-179.411142,67.468784,174.418071,-61.141280,2.496971,-2.496971,4.399095,-4.399095,0.581119,4.714695,5.789220
45.000000,50.000000,E1,P1A,P1B,784.347499,2675.384977,1231.874302,2679.411512,-157.789736,-65.089132,46.589985,-65.187687,-10.657555,10.657555,-6.749460,6.749460,0.766471,2.310085,8.805505
45.000000,50.000000,E2,P2A,P2B,1464.227197,2975.032182,532.337821,2573.513994,-138.543787,-67.394251,-1.731011,-63.608499,-6.157664,6.157664,-13.686784,13.686784,0.820194,1.721666,10.335008
45.000000,50.000000,E3,P3A,P3B,1851.626165,1072.808460,1873.858162,1452.664756,-10.703357,-66.651902,-4.891798,59.081881,4.740622,-4.740622,2.211426,-2.211426,0.593659,4.529256,6.011437
