assignment,scope,phi_start_deg,phi_width_deg,theta_deg,phi_deg,basis,feed,baseline,left_source,right_source,left_mag,right_mag,left_mag_rel_db,right_mag_rel_db,pdoa_deg,valid,pdoa_unwrapped_deg
A_H__B_V,full360,0.000000,360.000000,45.000000,0.000000,H,A,E1-E3,P1A,P3A,1425.037166,3263.072850,-8.119210,-0.923198,115.955569,True,115.955569
A_H__B_V,full360,0.000000,360.000000,45.000000,5.000000,H,A,E1-E3,P1A,P3A,1404.497650,3204.994581,-8.245313,-1.079188,129.113084,True,129.113084
A_H__B_V,full360,0.000000,360.000000,45.000000,10.000000,H,A,E1-E3,P1A,P3A,1367.873769,3123.105999,-8.474813,-1.303999,141.787191,True,141.787191
A_H__B_V,full360,0.000000,360.000000,45.000000,15.000000,H,A,E1-E3,P1A,P3A,1315.913894,3023.073394,-8.811184,-1.586760,153.925366,True,153.925366
A_H__B_V,full360,0.000000,360.000000,45.000000,20.000000,H,A,E1-E3,P1A,P3A,1251.259954,2907.792549,-9.248783,-1.924465,165.435024,True,165.435024
A_H__B_V,full360,0.000000,360.000000,45.000000,25.000000,H,A,E1-E3,P1A,P3A,1177.642911,2777.050780,-9.775461,-2.324057,176.189564,True,176.189564
A_H__B_V,full360,0.000000,360.000000,45.000000,30.000000,H,A,E1-E3,P1A,P3A,1098.994544,2628.716030,-10.375823,-2.800860,-173.960191,True,186.039809
A_H__B_V,full360,0.000000,360.000000,45.000000,35.000000,H,A,E1-E3,P1A,P3A,1018.680388,2460.775730,-11.034975,-3.374293,-165.179124,True,194.820876
A_H__B_V,full360,0.000000,360.000000,45.000000,40.000000,H,A,E1-E3,P1A,P3A,938.985369,2273.134405,-11.742557,-4.063231,-157.645446,True,202.354554
A_H__B_V,full360,0.000000,360.000000,45.000000,45.000000,H,A,E1-E3,P1A,P3A,860.920788,2068.411545,-12.496470,-4.882994,-151.548131,True,208.451869
A_H__B_V,full360,0.000000,360.000000,45.000000,50.000000,H,A,E1-E3,P1A,P3A,784.347499,1851.626165,-13.305563,-5.844667,-147.086380,True,212.913620
A_H__B_V,full360,0.000000,360.000000,45.000000,55.000000,H,A,E1-E3,P1A,P3A,708.324546,1629.152469,-14.191088,-6.956499,-144.483720,True,215.516280
A_H__B_V,full360,0.000000,360.000000,45.000000,60.000000,H,A,E1-E3,P1A,P3A,631.548907,1407.526817,-15.187594,-8.226600,-144.034247,True,215.965753
A_H__B_V,full360,0.000000,360.000000,45.000000,65.000000,H,A,E1-E3,P1A,P3A,552.787351,1192.639244,-16.344572,-9.665552,-146.201536,True,213.798464
A_H__B_V,full360,0.000000,360.000000,45.000000,70.000000,H,A,E1-E3,P1A,P3A,471.293873,989.689761,-17.729898,-11.285752,-151.808581,True,208.191419
A_H__B_V,full360,0.000000,360.000000,45.000000,75.000000,H,A,E1-E3,P1A,P3A,387.349180,804.203934,-19.433681,-13.088410,-162.411636,True,197.588364
A_H__B_V,full360,0.000000,360.000000,45.000000,80.000000,H,A,E1-E3,P1A,P3A,303.411536,644.529797,-21.555092,-15.010874,178.955587,True,178.955587
A_H__B_V,full360,0.000000,360.000000,45.000000,85.000000,H,A,E1-E3,P1A,P3A,227.568642,526.054675,-24.053485,-16.775116,146.668002,True,146.668002
A_H__B_V,full360,0.000000,360.000000,45.000000,90.000000,H,A,E1-E3,P1A,P3A,182.828092,472.652512,-25.954875,-17.704894,94.640597,True,94.640597
A_H__B_V,full360,0.000000,360.000000,45.000000,95.000000,H,A,E1-E3,P1A,P3A,203.727273,499.871218,-25.014750,-17.218571,35.057646,True,35.057646
A_H__B_V,full360,0.000000,360.000000,45.000000,100.000000,H,A,E1-E3,P1A,P3A,284.036474,593.068627,-22.128251,-15.733635,-7.756373,True,-7.756373
A_H__B_V,full360,0.000000,360.000000,45.000000,105.000000,H,A,E1-E3,P1A,P3A,394.255203,724.253658,-19.280185,-13.997920,-34.520252,True,-34.520252
A_H__B_V,full360,0.000000,360.000000,45.000000,110.000000,H,A,E1-E3,P1A,P3A,519.151204,873.117136,-16.889856,-12.374283,-52.572841,True,-52.572841
A_H__B_V,full360,0.000000,360.000000,45.000000,115.000000,H,A,E1-E3,P1A,P3A,651.684764,1027.531025,-14.914982,-10.959835,-66.187883,True,-66.187883
A_H__B_V,full360,0.000000,360.000000,45.000000,120.000000,H,A,E1-E3,P1A,P3A,786.749667,1179.272359,-13.279002,-9.763451,-77.550619,True,-77.550619
A_H__B_V,full360,0.000000,360.000000,45.000000,125.000000,H,A,E1-E3,P1A,P3A,919.080817,1321.516768,-11.928660,-8.774280,-87.846252,True,-87.846252
A_H__B_V,full360,0.000000,360.000000,45.000000,130.000000,H,A,E1-E3,P1A,P3A,1042.900731,1447.948624,-10.830874,-7.980670,-97.786997,True,-97.786997
