summary_type,assignment,scope,phi_start_deg,phi_width_deg,theta_deg,basis,feed,baseline,valid_count,slope_abs_p95_deg_per_deg,slope_abs_max_deg_per_deg,curvature_rms_deg_per_deg2,curvature_abs_max_deg_per_deg2,hv_pdoa_delta_bias_median_deg,hv_pdoa_delta_rms_deg,hv_pdoa_delta_p95_abs_deg,hv_pdoa_delta_max_abs_deg,hv_pdoa_residual_rms_after_bias_deg,hv_pdoa_residual_p95_abs_after_bias_deg,hv_pdoa_residual_max_abs_after_bias_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count,phase_residual_p95_target_deg,phase_residual_target_pass,curve_count,hv_residual_p95_abs_avg_deg,hv_residual_p95_abs_max_deg,azimuth_error_p95_abs_avg_equiv_deg,azimuth_error_p95_abs_max_equiv_deg
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,H,A,E1-E3,72,10.405481,14.679092,0.435095,2.381040,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,V,B,E1-E3,72,3.763403,4.209539,0.058420,0.145538,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,45.000000,H_vs_V,A/B,E1-E3,72,,,,,-118.314282,72.171612,151.970202,168.781514,134.008010,169.045490,176.120420,71.890703,135.181088,201.647403,69,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,H,A,E2-E4,72,6.294135,12.710359,0.225467,1.237082,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,V,B,E2-E4,72,3.554313,3.975276,0.053454,0.134465,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,45.000000,H_vs_V,A/B,E2-E4,72,,,,,24.718617,66.559584,134.346439,166.032009,53.008501,119.051997,169.249374,36.919100,71.483402,173.982474,66,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,H,A,E1-E2,72,6.713418,8.796299,0.153042,0.550341,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,V,B,E1-E2,72,0.538321,0.561490,0.013195,0.032286,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,45.000000,H_vs_V,A/B,E1-E2,72,,,,,-101.923476,64.806247,144.646266,178.570913,109.342599,165.471719,179.914553,104.287478,229.859542,250.116715,50,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,H,A,E2-E3,72,3.044099,10.512536,0.375633,2.243161,,,,,,,,,,,,,,,,,,
