freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,x_only_a_port,E1-E3,100.000000,461.234772,-0.239117,-0.239117,63.888889,-29.920798,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E3,98.630137,1354.318183,7.196377,-1072.803623,67.605634,-37.471609,76.334313,56.969971,178.676969
7.738000,45.000000,90.000000,x_only_a_port,E1-E3,100.000000,377.177374,6.447297,366.447297,70.833333,-34.127987,87.142691,62.124222,176.332500
7.738000,45.000000,135.000000,x_only_a_port,E1-E3,98.630137,360.000000,2.998976,362.998976,80.281690,-47.769634,30.588723,20.462426,139.252370
7.738000,45.000000,0.000000,x_only_a_port,E2-E4,97.260274,321.372709,2.371881,2.371881,54.285714,-39.056349,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E4,100.000000,273.120874,-40.525832,-40.525832,66.666667,-14.779868,123.704865,112.281038,179.778048
7.738000,45.000000,90.000000,x_only_a_port,E2-E4,100.000000,211.260663,-10.165196,-10.165196,50.000000,-20.452068,76.791833,62.763673,142.174836
7.738000,45.000000,135.000000,x_only_a_port,E2-E4,98.630137,620.458347,-3.967396,-363.967396,57.746479,-38.713688,55.167520,41.424187,161.311828
7.738000,45.000000,0.000000,x_only_a_port,E1-E2,98.630137,347.803339,15.416998,15.416998,53.521127,-40.282709,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E2,100.000000,608.765773,9.636834,-350.363166,63.888889,-19.402496,91.963584,76.603682,179.929660
7.738000,45.000000,90.000000,x_only_a_port,E1-E2,100.000000,227.407662,24.786138,24.786138,58.333333,-24.330350,49.661698,39.456255,126.748410
7.738000,45.000000,135.000000,x_only_a_port,E1-E2,100.000000,258.338372,20.253456,20.253456,70.833333,-31.727425,42.631174,25.256177,179.627098
7.738000,45.000000,0.000000,x_only_a_port,E2-E3,98.630137,505.844917,-15.656116,-15.656116,61.971831,-40.858722,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E3,98.630137,693.449363,-2.440457,-362.440457,54.929577,-37.471609,83.450841,67.540721,179.746943
7.738000,45.000000,90.000000,x_only_a_port,E2-E3,98.630137,360.000000,-18.338841,341.661159,63.380282,-35.184260,62.879891,42.023686,177.077602
7.738000,45.000000,135.000000,x_only_a_port,E2-E3,98.630137,323.386747,-17.254479,-17.254479,60.563380,-47.959053,42.274719,25.589208,166.657597
7.738000,45.000000,0.000000,x_only_a_port,E3-E4,98.630137,350.912342,18.027996,18.027996,54.929577,-39.855859,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E3-E4,98.630137,407.146310,-38.085375,-38.085375,60.563380,-37.471609,108.815203,94.088596,178.979025
7.738000,45.000000,90.000000,x_only_a_port,E3-E4,100.000000,360.422326,8.173645,-351.826355,81.944444,-34.972414,66.493465,51.255676,171.924805
7.738000,45.000000,135.000000,x_only_a_port,E3-E4,97.260274,393.072723,13.287083,-346.712917,77.142857,-47.769634,34.676051,23.865981,158.469813
7.738000,45.000000,0.000000,x_only_a_port,E4-E1,98.630137,495.343237,-17.788879,-17.788879,61.971831,-39.279846,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E4-E1,100.000000,519.465425,30.888998,390.888998,66.666667,-19.402496,100.124825,88.054003,176.736961
7.738000,45.000000,90.000000,x_only_a_port,E4-E1,100.000000,345.913484,-14.620942,-14.620942,54.166667,-24.118503,81.104823,57.393243,176.799352
7.738000,45.000000,135.000000,x_only_a_port,E4-E1,98.630137,441.699246,-16.286059,-16.286059,53.521127,-38.480756,40.090103,26.709887,157.840613
7.738000,60.000000,0.000000,x_only_a_port,E1-E3,98.630137,381.174756,-2.394068,-2.394068,66.197183,-36.678362,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E1-E3,100.000000,997.298888,15.512493,-704.487507,66.666667,-26.697927,64.692548,48.752367,165.456065
7.738000,60.000000,90.000000,x_only_a_port,E1-E3,100.000000,208.376344,4.975029,4.975029,52.777778,-24.523421,87.842651,61.098595,174.184142
7.738000,60.000000,135.000000,x_only_a_port,E1-E3,98.630137,360.000000,2.104065,362.104065,88.732394,-42.610612,27.324199,19.599267,81.882033
7.738000,60.000000,0.000000,x_only_a_port,E2-E4,100.000000,422.567780,6.895495,6.895495,52.777778,-31.262444,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E2-E4,98.630137,416.431387,-24.389709,335.610291,71.830986,-38.909568,77.542238,61.296896,179.764214
7.738000,60.000000,90.000000,x_only_a_port,E2-E4,98.630137,406.644664,-7.584165,352.415835,83.098592,-37.470726,60.227720,41.010082,173.737502
7.738000,60.000000,135.000000,x_only_a_port,E2-E4,98.630137,393.609158,-2.268333,-2.268333,50.704225,-36.305749,31.889991,22.587247,114.321054
