index,candidate,real_network,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,feed_offset_u_mm,feed_pad_radius_mm,port_width_mm,microstrip_feed_enabled,microstrip_feed_offset_mm,microstrip_feedline_length_mm,microstrip_feedline_width_mm,microstrip_match_length_mm,microstrip_match_width_mm,microstrip_stub_length_mm,microstrip_stub_width_mm,microstrip_stub_offset_mm,neutralization_branch_enabled,neutralization_branch_length_mm,neutralization_branch_width_mm,neutralization_branch_offset_mm,local_dgs_enabled,local_dgs_length_mm,local_dgs_width_mm,local_dgs_offset_mm,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score
1,probe_ref_pad0p28,False,74.431158,上一轮小焊盘探针/焊盘最优解，仅作为真实微带网络的对照基线。,-8.868228,12.760311,"dB(S(P1B:1,P1B:1))","dB(S(P1A:1,P1B:1))",-9.015843,-8.868228,0.147615,12.760311,16.324315,9.150000,3.400000,0.280000,0.500000,0.000000,0.000000,1.700000,0.580000,0.750000,0.400000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,20.252620
2,edge_eq_l1p60_w0p50_m0p62_w0p34,True,71.250918,两路等长短微带过渡，窄匹配段降低边缘过耦合。,-5.858100,9.962351,"dB(S(P4A:1,P4A:1))","dB(S(P2A:1,P2B:1))",-5.858100,-6.467565,0.609465,9.962351,17.500246,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.600000,0.500000,0.620000,0.340000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,56.761306
3,edge_eq_l1p70_w0p58_m0p75_w0p40,True,70.559235,等长微带过渡参考解，匹配段宽度接近上一轮混合器输出段中值。,-6.363328,10.427785,"dB(S(P4A:1,P4A:1))","dB(S(P2B:1,P2A:1))",-6.363328,-6.664161,0.300832,10.427785,17.658351,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.700000,0.580000,0.750000,0.400000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,49.954449
4,edge_eq_l1p78_w0p62_m0p82_w0p44,True,72.480886,加宽并拉长等长微带过渡，测试回波改善与同阵元串扰变化。,-6.628866,9.787714,"dB(S(P1B:1,P1B:1))","dB(S(P2A:1,P2B:1))",-6.781781,-6.628866,0.152916,9.787714,17.781368,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.780000,0.620000,0.820000,0.440000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,51.030506
5,edge_offset0p20_l1p70_m0p75,True,73.251260,两路保持等长，加入 0.20 mm 横向偏移用于补偿 X/Y 边馈不对称。,-6.982201,7.110334,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-6.982201,-7.061076,0.078874,7.110334,17.911993,9.150000,3.400000,0.280000,0.500000,1.000000,0.200000,1.700000,0.580000,0.750000,0.400000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,61.590718
6,edge_stub0p85_branch0p65,True,77.262579,加入开路匹配支节和短同阵元隔离枝节，优先改善同阵元 X/Y 隔离。,-4.487913,8.461842,"dB(S(P2B:1,P2B:1))","dB(S(P2A:1,P2B:1))",-5.215519,-4.487913,0.727606,8.461842,17.702814,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.700000,0.580000,0.750000,0.400000,0.850000,0.240000,0.600000,1.000000,0.650000,0.120000,0.580000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,75.697907
7,edge_stub1p05_branch0p85,True,82.450205,加长开路匹配支节并提高隔离枝节耦合长度，观察隔离收益上限。,-4.197695,7.337482,"dB(S(P2B:1,P2B:1))","dB(S(P2A:1,P2B:1))",-4.461209,-4.197695,0.263514,7.337482,17.929366,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.750000,0.580000,0.780000,0.400000,1.050000,0.240000,0.600000,1.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,82.731028
8,edge_branch1p05_dgs0p65,True,78.512279,隔离枝节叠加局部 DGS，尝试压低同阵元耦合并保持可制造尺寸。,-3.602329,7.013876,"dB(S(P2B:1,P2B:1))","dB(S(P1B:1,P1A:1))",-4.287519,-3.602329,0.685191,7.013876,18.452524,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.720000,0.580000,0.780000,0.400000,0.950000,0.240000,0.600000,1.000000,1.050000,0.120000,0.720000,1.000000,3.400000,0.180000,0.650000,1.000000,10.000000,0.420000,3.200000,89.852752
9,edge_branch1p20_dgs0p85,True,75.326572,更强隔离枝节与外移 DGS 组合，验证隔离提升是否牺牲匹配。,-3.160157,6.136618,"dB(S(P2B:1,P2B:1))","dB(S(P1B:1,P1A:1))",-3.635991,-3.160157,0.475834,6.136618,18.752531,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.780000,0.580000,0.800000,0.400000,1.100000,0.240000,0.600000,1.000000,1.200000,0.120000,0.780000,1.000000,3.600000,0.180000,0.850000,1.000000,10.000000,0.420000,3.200000,97.035657
10,edge_patch9p05_branch_dgs,True,82.503598,略缩小贴片边长补偿边馈电容性加载，并保留隔离枝节/DGS。,-4.658322,6.365577,"dB(S(P2B:1,P2B:1))","dB(S(P1B:1,P1A:1))",-5.265952,-4.658322,0.607631,6.365577,18.324240,9.050000,3.400000,0.280000,0.500000,1.000000,0.000000,1.700000,0.580000,0.750000,0.380000,0.950000,0.240000,0.600000,1.000000,0.950000,0.120000,0.700000,1.000000,3.400000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,84.336067
