freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-63.717966,296.282034,70.833333,-3.615240,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,294.366513,-46.736328,-46.736328,56.944444,-3.288483,67.854698,51.330865,174.753101
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,270.490921,-39.931849,-39.931849,58.333333,-3.734775,95.309219,74.590390,178.099996
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,720.000000,-56.656524,663.343476,80.555556,-3.110677,40.496246,27.405910,176.850492
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,365.453313,-131.739274,-131.739274,72.222222,-2.593429,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-144.509476,215.490524,73.611111,-2.576231,42.266783,30.783927,133.518678
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,280.230863,-143.527573,-143.527573,56.944444,-3.345388,94.982048,68.714912,178.492188
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,612.531686,-130.533786,-490.533786,55.555556,-3.180120,68.309386,48.449292,175.266054
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,167.639845,35.114532,35.114532,59.722222,-2.315464,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,424.812693,32.160345,-327.839655,73.611111,-2.396251,48.776212,32.284023,178.056551
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,169.865045,47.334671,47.334671,59.722222,-2.114171,83.428080,54.608184,179.557492
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,294.309981,49.148769,49.148769,63.888889,-2.661558,52.256325,34.326038,172.926190
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-95.011127,264.988873,86.111111,-3.615240,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,310.624250,-77.661906,-77.661906,61.111111,-3.288483,55.514048,36.502290,167.057285
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-83.602215,276.397785,73.611111,-3.734775,41.274931,29.078445,106.003240
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,335.150111,-101.314183,-101.314183,58.333333,-3.050973,49.874056,32.014022,172.778286
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,160.315306,-35.562390,-35.562390,55.555556,-3.729055,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,371.586402,-65.972716,294.027284,77.777778,-3.386205,57.193857,45.028932,172.109176
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,157.537819,-59.449847,-59.449847,65.277778,-3.899725,87.290007,66.438185,178.595155
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,371.496297,-26.617395,-386.617395,77.777778,-4.009647,41.894534,25.658563,177.609877
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,95.508605,-264.491395,83.333333,-3.240156,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,333.475577,111.579459,111.579459,61.111111,-3.235115,53.729878,32.241361,178.707748
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,92.434258,-267.565742,70.833333,-3.862866,39.154577,24.139157,106.241930
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,320.398211,79.702692,79.702692,63.888889,-3.560528,53.872875,33.700194,178.244816
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-59.288599,300.711401,84.722222,-3.168489,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,873.002906,-41.880818,-761.880818,63.888889,-3.371592,58.608451,43.888657,174.498966
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,179.439835,-43.471334,-43.471334,51.388889,-3.809147,90.145656,70.408040,173.199128
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,720.000000,-62.401238,657.598762,86.111111,-3.031289,47.396151,31.608030,136.205030
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-135.772535,224.227465,73.611111,-2.836504,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-146.752039,213.247961,77.777778,-2.377393,34.963200,22.342136,179.819674
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,720.000000,-138.974510,581.025490,87.500000,-3.032747,73.960546,45.862248,175.285883
