freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,1.439916,1.439916,-2.280671,-1.654840,True
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,22.817018,22.817018,-2.230429,-1.453849,True
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,42.419694,42.419694,-2.038731,-1.136616,True
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,59.305494,59.305494,-1.820568,-0.763996,True
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,73.290430,73.290430,-1.679555,-0.411068,True
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,84.659528,84.659528,-1.682242,-0.141782,True
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,93.871521,93.871521,-1.860420,0.000000,True
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,101.392511,101.392511,-2.221866,-0.011249,True
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,107.636580,107.636580,-2.759633,-0.187606,True
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,112.961772,112.961772,-3.457985,-0.532088,True
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,117.685891,117.685891,-4.295740,-1.041860,True
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,122.104193,122.104193,-5.248078,-1.710659,True
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,126.502014,126.502014,-6.287675,-2.530830,True
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,131.162041,131.162041,-7.385847,-3.495125,True
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,136.370736,136.370736,-8.514267,-4.597952,True
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,142.432272,142.432272,-9.647648,-5.835229,True
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,149.699820,149.699820,-10.767421,-7.200791,True
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,158.626178,158.626178,-11.866008,-8.674670,True
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,169.793337,169.793337,-12.950946,-10.193737,True
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,-176.264509,183.735491,-14.048008,-11.595262,True
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,-159.867524,200.132476,-15.202419,-12.571519,True
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,-143.515469,216.484531,-16.475492,-12.803001,True
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,-131.601667,228.398333,-17.924543,-12.290708,True
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,-128.235011,231.764989,-19.514711,-11.371989,True
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,-136.372756,223.627244,-20.819025,-10.389062,True
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,-154.229801,205.770199,-20.727448,-9.538220,True
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,-171.218331,188.781669,-18.844863,-8.911277,True
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,178.676143,178.676143,-16.322030,-8.556214,True
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,173.611578,173.611578,-13.997855,-8.513224,True
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,171.147559,171.147559,-12.112902,-8.836046,True
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,169.889192,169.889192,-10.716863,-9.611761,True
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,169.079109,169.079109,-9.831430,-10.993976,True
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,168.170975,168.170975,-9.492662,-13.286535,True
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,166.272459,166.272459,-9.768424,-17.243017,True
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,157.765051,157.765051,-10.785460,-26.063508,True
7.738000,45.000000,175.000000,0.000000,x_only_a_port,E1-E3,3.205590,3.205590,-12.802563,-27.264794,True
7.738000,45.000000,180.000000,0.000000,x_only_a_port,E1-E3,-9.996472,-9.996472,-16.461811,-17.887577,True
7.738000,45.000000,185.000000,0.000000,x_only_a_port,E1-E3,-28.246632,-28.246632,-24.053417,-13.995765,True
7.738000,45.000000,190.000000,0.000000,x_only_a_port,E1-E3,-145.087077,-145.087077,-26.042466,-11.931333,True
7.738000,45.000000,195.000000,0.000000,x_only_a_port,E1-E3,-169.072240,-169.072240,-17.382729,-10.904446,True
7.738000,45.000000,200.000000,0.000000,x_only_a_port,E1-E3,-174.320567,-174.320567,-13.358716,-10.610991,True
7.738000,45.000000,205.000000,0.000000,x_only_a_port,E1-E3,-176.885507,-176.885507,-11.057061,-10.899803,True
7.738000,45.000000,210.000000,0.000000,x_only_a_port,E1-E3,-178.801781,-178.801781,-9.686722,-11.682360,True
7.738000,45.000000,215.000000,0.000000,x_only_a_port,E1-E3,179.159042,-180.840958,-8.930448,-12.897096,True
7.738000,45.000000,220.000000,0.000000,x_only_a_port,E1-E3,176.293927,-183.706073,-8.630116,-14.483322,True
7.738000,45.000000,225.000000,0.000000,x_only_a_port,E1-E3,171.636353,-188.363647,-8.696164,-16.337181,True
7.738000,45.000000,230.000000,0.000000,x_only_a_port,E1-E3,164.018046,-195.981954,-9.071454,-18.216538,True
7.738000,45.000000,235.000000,0.000000,x_only_a_port,E1-E3,153.243988,-206.756012,-9.711107,-19.628080,True
7.738000,45.000000,240.000000,0.000000,x_only_a_port,E1-E3,142.463107,-217.536893,-10.564200,-20.036421,True
7.738000,45.000000,245.000000,0.000000,x_only_a_port,E1-E3,136.990336,-223.009664,-11.547206,-19.478068,True
7.738000,45.000000,250.000000,0.000000,x_only_a_port,E1-E3,139.408397,-220.591603,-12.502081,-18.452404,True
7.738000,45.000000,255.000000,0.000000,x_only_a_port,E1-E3,149.036410,-210.963590,-13.161152,-17.322236,True
7.738000,45.000000,260.000000,0.000000,x_only_a_port,E1-E3,163.331477,-196.668523,-13.220567,-16.211052,True
7.738000,45.000000,265.000000,0.000000,x_only_a_port,E1-E3,178.763454,-181.236546,-12.575008,-15.127155,True
7.738000,45.000000,270.000000,0.000000,x_only_a_port,E1-E3,-167.396656,-167.396656,-11.415348,-14.045612,True
7.738000,45.000000,275.000000,0.000000,x_only_a_port,E1-E3,-156.064550,-156.064550,-10.020437,-12.941583,True
7.738000,45.000000,280.000000,0.000000,x_only_a_port,E1-E3,-147.029164,-147.029164,-8.581088,-11.801718,True
7.738000,45.000000,285.000000,0.000000,x_only_a_port,E1-E3,-139.784469,-139.784469,-7.191545,-10.626525,True
7.738000,45.000000,290.000000,0.000000,x_only_a_port,E1-E3,-133.856616,-133.856616,-5.893104,-9.428766,True
7.738000,45.000000,295.000000,0.000000,x_only_a_port,E1-E3,-128.852253,-128.852253,-4.705594,-8.230187,True
7.738000,45.000000,300.000000,0.000000,x_only_a_port,E1-E3,-124.433433,-124.433433,-3.642357,-7.057975,True
7.738000,45.000000,305.000000,0.000000,x_only_a_port,E1-E3,-120.289202,-120.289202,-2.715950,-5.941650,True
7.738000,45.000000,310.000000,0.000000,x_only_a_port,E1-E3,-116.116616,-116.116616,-1.939526,-4.910649,True
7.738000,45.000000,315.000000,0.000000,x_only_a_port,E1-E3,-111.608676,-111.608676,-1.326351,-3.992422,True
7.738000,45.000000,320.000000,0.000000,x_only_a_port,E1-E3,-106.444607,-106.444607,-0.888513,-3.210794,True
