freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-64.136447,-64.136447,-1.273234,-2.459141,True
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-44.658453,-44.658453,-1.218303,-2.419828,True
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-26.302862,-26.302862,-1.173987,-2.393930,True
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-9.661557,-9.661557,-1.157956,-2.392277,True
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,4.962215,4.962215,-1.177106,-2.413705,True
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,17.541925,17.541925,-1.229321,-2.450911,True
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,28.260503,28.260503,-1.307811,-2.496006,True
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,37.414004,37.414004,-1.404355,-2.543098,True
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,45.330054,45.330054,-1.510746,-2.588425,True
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,52.319660,52.319660,-1.619099,-2.629282,True
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,58.656596,58.656596,-1.721807,-2.662666,True
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,64.570463,64.570463,-1.811574,-2.684027,True
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,70.240593,70.240593,-1.881682,-2.686167,True
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,75.782341,75.782341,-1.926429,-2.658128,True
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,81.225135,81.225135,-1.941610,-2.584010,True
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.492658,86.492658,-1.924987,-2.442361,True
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,91.402818,91.402818,-1.876812,-2.208335,True
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,95.696646,95.696646,-1.800537,-1.862745,True
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,99.080227,99.080227,-1.703804,-1.411168,True
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,101.245481,101.245481,-1.599652,-0.905528,True
7.738000,45.000000,100.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,101.849530,101.849530,-1.507871,-0.443158,True
7.738000,45.000000,105.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.488779,100.488779,-1.456675,-0.124647,True
7.738000,45.000000,110.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.835483,96.835483,-1.484734,0.000000,True
7.738000,45.000000,115.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,91.291965,91.291965,-1.638950,-0.056212,True
7.738000,45.000000,120.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,85.992195,85.992195,-1.944381,-0.247962,True
7.738000,45.000000,125.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,84.029098,84.029098,-2.307446,-0.530805,True
7.738000,45.000000,130.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.502153,86.502153,-2.474276,-0.875457,True
7.738000,45.000000,135.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,91.787620,91.787620,-2.321328,-1.268475,True
7.738000,45.000000,140.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,97.577623,97.577623,-2.003308,-1.708540,True
7.738000,45.000000,145.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,102.374674,102.374674,-1.678982,-2.201420,True
7.738000,45.000000,150.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,105.498606,105.498606,-1.403068,-2.749113,True
7.738000,45.000000,155.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,106.537992,106.537992,-1.179776,-3.313095,True
7.738000,45.000000,160.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,104.658053,104.658053,-1.002958,-3.691256,True
7.738000,45.000000,165.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.619336,96.619336,-0.869543,-3.314488,True
7.738000,45.000000,170.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,62.827188,62.827188,-0.784825,-1.902213,True
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-16.550326,-16.550326,-0.772432,-0.812814,True
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-40.690185,-40.690185,-0.907023,-0.804059,True
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-49.351850,-49.351850,-1.313331,-1.256176,True
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-71.407934,-71.407934,-1.262901,-1.712060,True
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,125.088247,-234.911753,-0.746707,-2.029790,True
7.738000,45.000000,200.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,121.848960,-238.151040,-0.553734,-2.188560,True
7.738000,45.000000,205.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,119.381619,-240.618381,-0.522568,-2.205862,True
7.738000,45.000000,210.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,117.273914,-242.726086,-0.566952,-2.107644,True
7.738000,45.000000,215.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,115.416267,-244.583733,-0.662637,-1.920535,True
7.738000,45.000000,220.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,113.796646,-246.203354,-0.805593,-1.681953,True
7.738000,45.000000,225.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,112.707829,-247.292171,-1.000752,-1.462442,True
7.738000,45.000000,230.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,114.102440,-245.897560,-1.257987,-1.368664,True
7.738000,45.000000,235.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,128.405209,-231.594791,-1.586955,-1.475576,True
7.738000,45.000000,240.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,157.089639,-202.910361,-1.984202,-1.729491,True
7.738000,45.000000,245.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,155.936260,-204.063740,-2.406099,-1.976013,True
7.738000,45.000000,250.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,147.564465,-212.435535,-2.739346,-2.096239,True
7.738000,45.000000,255.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,142.122489,-217.877511,-2.834854,-2.073629,True
7.738000,45.000000,260.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,139.252580,-220.747420,-2.644764,-1.956766,True
7.738000,45.000000,265.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,138.076304,-221.923696,-2.283721,-1.803104,True
7.738000,45.000000,270.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,138.109500,-221.890500,-1.902887,-1.652665,True
7.738000,45.000000,275.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,139.112700,-220.887300,-1.584515,-1.526340,True
7.738000,45.000000,280.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,140.963721,-219.036279,-1.347151,-1.432350,True
7.738000,45.000000,285.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,143.591585,-216.408415,-1.181526,-1.372351,True
7.738000,45.000000,290.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,146.945265,-213.054735,-1.072285,-1.345248,True
7.738000,45.000000,295.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,150.982108,-209.017892,-1.005873,-1.349138,True
7.738000,45.000000,300.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,155.668593,-204.331407,-0.972119,-1.382100,True
7.738000,45.000000,305.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,160.989132,-199.010868,-0.963771,-1.442376,True
7.738000,45.000000,310.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,166.959306,-193.040694,-0.975626,-1.528190,True
7.738000,45.000000,315.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,173.640295,-186.359705,-1.003748,-1.637336,True
7.738000,45.000000,320.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-178.848187,-178.848187,-1.044884,-1.766559,True
7.738000,45.000000,325.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-170.318774,-170.318774,-1.095998,-1.910784,True
7.738000,45.000000,330.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-160.514627,-160.514627,-1.153758,-2.062272,True
7.738000,45.000000,335.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-149.123557,-149.123557,-1.213780,-2.209968,True
7.738000,45.000000,340.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-135.826958,-135.826958,-1.269602,-2.339615,True
7.738000,45.000000,345.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-120.410187,-120.410187,-1.311947,-2.435662,True
7.738000,45.000000,350.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-102.935897,-102.935897,-1.329918,-2.486057,True
7.738000,45.000000,355.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-83.890119,-83.890119,-1.315966,-2.489328,True
7.738000,45.000000,360.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-64.136447,-64.136447,-1.273234,-2.459141,True
7.738000,45.000000,0.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-47.223881,-47.223881,-2.058993,-0.985105,True
7.738000,45.000000,5.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-30.852169,-30.852169,-1.990494,-0.998645,True
7.738000,45.000000,10.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-15.240921,-15.240921,-1.920789,-1.043674,True
7.738000,45.000000,15.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-0.735411,-0.735411,-1.870040,-1.123525,True
7.738000,45.000000,20.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,12.362524,12.362524,-1.850609,-1.235982,True
7.738000,45.000000,25.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,23.876797,23.876797,-1.863298,-1.375716,True
7.738000,45.000000,30.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,33.797191,33.797191,-1.899880,-1.536098,True
7.738000,45.000000,35.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,42.250049,42.250049,-1.948423,-1.710295,True
7.738000,45.000000,40.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,49.430707,49.430707,-1.997613,-1.891822,True
7.738000,45.000000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,55.534320,55.534320,-2.038759,-2.074659,True
7.738000,45.000000,50.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,60.702697,60.702697,-2.066028,-2.252933,True
7.738000,45.000000,55.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,64.991500,64.991500,-2.075936,-2.420361,True
7.738000,45.000000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,68.358288,68.358288,-2.066694,-2.569807,True
7.738000,45.000000,65.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,70.671483,70.671483,-2.037687,-2.693242,True
7.738000,45.000000,70.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,71.738843,71.738843,-1.989133,-2.782011,True
7.738000,45.000000,75.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,71.348628,71.348628,-1.922008,-2.826943,True
7.738000,45.000000,80.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,69.307919,69.307919,-1.838346,-2.817815,True
7.738000,45.000000,85.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,65.457614,65.457614,-1.741939,-2.742365,True
7.738000,45.000000,90.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,59.653965,59.653965,-1.639231,-2.586453,True
7.738000,45.000000,95.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,51.736187,51.736187,-1.539878,-2.339568,True
7.738000,45.000000,100.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,41.534260,41.534260,-1.456197,-2.012612,True
7.738000,45.000000,105.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,28.975625,28.975625,-1.401032,-1.669104,True
7.738000,45.000000,110.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,14.261814,14.261814,-1.384311,-1.437594,True
7.738000,45.000000,115.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-2.117371,-2.117371,-1.409000,-1.441833,True
7.738000,45.000000,120.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-19.821544,-19.821544,-1.466565,-1.688175,True
7.738000,45.000000,125.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-39.456930,-39.456930,-1.531332,-2.070099,True
7.738000,45.000000,130.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-63.336442,-63.336442,-1.557362,-2.471045,True
7.738000,45.000000,135.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-94.953914,-94.953914,-1.493961,-2.821136,True
7.738000,45.000000,140.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-131.925638,-131.925638,-1.329723,-3.091299,True
7.738000,45.000000,145.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,-162.588202,-162.588202,-1.114356,-3.269731,True
7.738000,45.000000,150.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,176.671785,-183.328215,-0.911942,-3.337203,True
7.738000,45.000000,155.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,162.653668,-197.346332,-0.753970,-3.233808,True
