freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,x_only_a_port,E1-E3,100.000000,468.652663,0.177286,0.177286,63.888889,-26.119657,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E3,100.000000,799.717079,17.096589,-342.903411,59.722222,-33.104325,74.735789,55.763747,175.546636
7.738000,45.000000,90.000000,x_only_a_port,E1-E3,98.630137,379.932566,6.565251,366.565251,66.197183,-39.901516,87.916833,62.830094,175.882674
7.738000,45.000000,135.000000,x_only_a_port,E1-E3,100.000000,416.485996,3.095806,3.095806,75.000000,-34.256580,26.646158,19.826551,90.618098
7.738000,45.000000,0.000000,x_only_a_port,E2-E4,98.630137,321.063395,1.704645,1.704645,52.112676,-35.290885,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E4,100.000000,279.061660,-20.287225,-20.287225,56.944444,-13.072295,120.230960,106.850150,179.707891
7.738000,45.000000,90.000000,x_only_a_port,E2-E4,100.000000,210.655760,-8.960910,-8.960910,52.777778,-20.125319,76.007776,61.933679,141.662738
7.738000,45.000000,135.000000,x_only_a_port,E2-E4,98.630137,619.791563,-3.793078,-363.793078,57.746479,-35.146623,51.331879,40.649469,132.535214
7.738000,45.000000,0.000000,x_only_a_port,E1-E2,100.000000,345.563439,17.380160,17.380160,51.388889,-27.293238,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E2,100.000000,252.470923,9.117336,9.117336,62.500000,-20.493895,86.752723,70.128698,175.437833
7.738000,45.000000,90.000000,x_only_a_port,E1-E2,100.000000,214.135711,25.032766,25.032766,51.388889,-24.238398,47.759431,37.419391,133.081569
7.738000,45.000000,135.000000,x_only_a_port,E1-E2,100.000000,261.636921,21.468753,21.468753,69.444444,-29.326825,36.093586,23.931404,130.701937
7.738000,45.000000,0.000000,x_only_a_port,E2-E3,100.000000,446.910807,-17.202874,-17.202874,66.666667,-27.793276,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E3,100.000000,381.109623,7.979253,7.979253,51.388889,-33.104325,79.559664,66.084948,167.170968
7.738000,45.000000,90.000000,x_only_a_port,E2-E3,98.630137,363.002356,-18.467515,341.532485,61.971831,-41.075832,66.513488,45.081064,166.700749
7.738000,45.000000,135.000000,x_only_a_port,E2-E3,100.000000,321.463880,-18.372947,-18.372947,54.166667,-34.600327,42.260921,27.111404,139.569893
7.738000,45.000000,0.000000,x_only_a_port,E3-E4,98.630137,336.979494,18.907518,18.907518,54.929577,-36.994167,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E3-E4,100.000000,380.821569,-28.266478,-28.266478,59.722222,-33.104325,104.437780,89.047456,177.960012
7.738000,45.000000,90.000000,x_only_a_port,E3-E4,98.630137,361.751984,9.506605,-350.493395,77.464789,-40.620078,61.916782,47.825048,124.720817
7.738000,45.000000,135.000000,x_only_a_port,E3-E4,100.000000,389.848397,14.579869,-345.420131,75.000000,-34.802876,34.921855,23.408093,154.742631
7.738000,45.000000,0.000000,x_only_a_port,E4-E1,98.630137,503.589378,-19.084804,-19.084804,61.971831,-36.494129,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E4-E1,100.000000,537.287395,11.169889,371.169889,59.722222,-20.493895,102.388619,87.707595,179.760110
7.738000,45.000000,90.000000,x_only_a_port,E4-E1,100.000000,333.746295,-16.071857,-16.071857,55.555556,-23.782644,80.750657,56.715497,175.936054
7.738000,45.000000,135.000000,x_only_a_port,E4-E1,100.000000,667.481063,-17.675675,342.324325,51.388889,-34.766710,41.134363,27.330118,142.817818
7.738000,60.000000,0.000000,x_only_a_port,E1-E3,100.000000,389.153349,-1.538693,-1.538693,62.500000,-26.546722,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E1-E3,100.000000,998.835639,16.834951,-703.165049,65.277778,-23.026505,64.905100,49.088623,179.603549
7.738000,60.000000,90.000000,x_only_a_port,E1-E3,100.000000,207.917584,5.043981,5.043981,52.777778,-23.627852,87.905278,60.958642,175.261886
7.738000,60.000000,135.000000,x_only_a_port,E1-E3,98.630137,360.000000,2.252828,362.252828,83.098592,-39.206367,29.086452,20.591889,91.866691
7.738000,60.000000,0.000000,x_only_a_port,E2-E4,100.000000,417.337240,5.725674,5.725674,52.777778,-31.408552,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E2-E4,100.000000,495.010796,-19.823298,-19.823298,68.055556,-28.563362,76.363270,60.067055,178.012758
7.738000,60.000000,90.000000,x_only_a_port,E2-E4,98.630137,404.031428,-6.836625,353.163375,83.098592,-44.517048,58.907742,40.034690,177.616517
7.738000,60.000000,135.000000,x_only_a_port,E2-E4,98.630137,390.093282,-2.338486,-2.338486,53.521127,-36.704714,29.749399,22.147408,81.231779
7.738000,60.000000,0.000000,x_only_a_port,E1-E2,100.000000,377.221437,14.234992,14.234992,61.111111,-23.087545,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E1-E2,100.000000,403.342635,31.006078,-328.993922,77.777778,-26.037819,50.836414,37.987626,158.414161
7.738000,60.000000,90.000000,x_only_a_port,E1-E2,98.630137,222.846238,23.606250,23.606250,73.239437,-44.517048,53.228472,34.332079,174.742318
7.738000,60.000000,135.000000,x_only_a_port,E1-E2,100.000000,258.710108,20.413267,20.413267,65.277778,-27.302569,33.552524,22.458138,111.450338
7.738000,60.000000,0.000000,x_only_a_port,E2-E3,100.000000,412.191143,-15.773685,-15.773685,58.333333,-26.546722,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E2-E3,100.000000,727.200446,-14.171127,-374.171127,51.388889,-26.037819,66.211385,48.518193,172.342122
7.738000,60.000000,90.000000,x_only_a_port,E2-E3,98.630137,333.565508,-18.562269,-18.562269,63.380282,-44.517048,62.569837,43.115008,127.359116
7.738000,60.000000,135.000000,x_only_a_port,E2-E3,98.630137,332.497843,-18.160439,-18.160439,66.197183,-39.278650,36.555612,24.084164,116.163686
7.738000,60.000000,0.000000,x_only_a_port,E3-E4,100.000000,369.078472,21.499359,21.499359,55.555556,-34.022962,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E3-E4,100.000000,416.786406,-5.652171,354.347829,68.055556,-26.822810,69.715293,52.669623,152.903562
7.738000,60.000000,90.000000,x_only_a_port,E3-E4,100.000000,360.000000,11.725644,371.725644,95.833333,-24.661335,53.938519,36.904361,156.232758
7.738000,60.000000,135.000000,x_only_a_port,E3-E4,98.630137,465.206892,15.821952,-344.178048,53.521127,-39.206367,41.384260,22.897126,178.086320
7.738000,60.000000,0.000000,x_only_a_port,E4-E1,100.000000,500.549487,-19.960666,-19.960666,56.944444,-32.592150,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E4-E1,100.000000,711.828215,-11.182780,348.817220,54.166667,-26.822810,66.227531,50.873902,172.207454
7.738000,60.000000,90.000000,x_only_a_port,E4-E1,100.000000,360.000000,-16.769624,-376.769624,83.333333,-24.661335,66.573934,44.078228,179.456096
7.738000,60.000000,135.000000,x_only_a_port,E4-E1,98.630137,365.944795,-18.074780,-18.074780,59.154930,-36.345492,38.876969,20.896081,173.232324
7.738000,75.000000,0.000000,x_only_a_port,E1-E3,100.000000,615.596808,-4.416535,-364.416535,62.500000,-29.255907,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,x_only_a_port,E1-E3,100.000000,804.034461,9.326631,-710.673369,63.888889,-29.830814,58.926954,45.244825,142.767542
7.738000,75.000000,90.000000,x_only_a_port,E1-E3,100.000000,126.553299,3.978995,3.978995,54.166667,-32.110348,92.218413,72.107523,169.914841
7.738000,75.000000,135.000000,x_only_a_port,E1-E3,98.630137,308.050671,1.333452,1.333452,54.929577,-43.475723,51.043758,34.129331,169.845842
7.738000,75.000000,0.000000,x_only_a_port,E2-E4,100.000000,475.572025,15.361234,15.361234,52.777778,-31.240118,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,x_only_a_port,E2-E4,100.000000,491.755172,-12.381937,-12.381937,61.111111,-21.113755,64.267521,48.475705,170.652753
7.738000,75.000000,90.000000,x_only_a_port,E2-E4,100.000000,481.102384,-5.223280,-5.223280,59.722222,-25.397442,67.785789,49.287868,173.336714
7.738000,75.000000,135.000000,x_only_a_port,E2-E4,100.000000,473.273019,-0.637231,-0.637231,56.944444,-32.092117,64.747306,43.631417,175.588649
7.738000,75.000000,0.000000,x_only_a_port,E1-E2,100.000000,361.979129,6.177271,-353.822729,62.500000,-28.349561,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,x_only_a_port,E1-E2,100.000000,361.157769,27.191314,-332.808686,81.944444,-26.509889,42.184288,32.203868,130.209648
7.738000,75.000000,90.000000,x_only_a_port,E1-E2,100.000000,292.414325,22.485841,22.485841,69.444444,-26.665172,56.567887,38.158373,171.307464
7.738000,75.000000,135.000000,x_only_a_port,E1-E2,100.000000,284.880106,19.153958,19.153958,62.500000,-26.524244,59.333859,39.031716,171.436603
7.738000,75.000000,0.000000,x_only_a_port,E2-E3,100.000000,657.167748,-10.593806,-370.593806,52.777778,-30.702005,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,x_only_a_port,E2-E3,100.000000,643.275031,-17.864683,-377.864683,51.388889,-31.591245,67.399006,47.211491,178.290480
7.738000,75.000000,90.000000,x_only_a_port,E2-E3,100.000000,326.932958,-18.506847,-18.506847,58.333333,-33.009647,81.075645,58.576336,178.415484
7.738000,75.000000,135.000000,x_only_a_port,E2-E3,98.630137,359.577238,-17.820505,-17.820505,53.521127,-43.475723,66.849651,48.505826,160.204952
7.738000,75.000000,0.000000,x_only_a_port,E3-E4,100.000000,360.000000,25.955040,385.955040,68.055556,-34.518340,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,x_only_a_port,E3-E4,100.000000,360.000000,5.482746,365.482746,75.000000,-30.164720,49.116237,30.729883,173.581154
7.738000,75.000000,90.000000,x_only_a_port,E3-E4,100.000000,310.993166,13.283566,13.283566,72.222222,-32.478318,52.774848,34.772277,168.080365
7.738000,75.000000,135.000000,x_only_a_port,E3-E4,98.630137,326.088255,17.183275,17.183275,61.971831,-43.475723,58.873431,37.204324,156.909284
