freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-66.696063,293.303937,72.222222,-3.485692,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,611.959902,-48.324381,-408.324381,55.555556,-3.676183,66.367655,50.227972,177.821435
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,280.656360,-42.663145,-42.663145,61.111111,-3.769932,91.611325,68.889410,179.435280
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-60.041584,299.958416,75.000000,-3.253766,58.002829,37.790994,178.474352
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-135.762129,224.237871,73.611111,-2.368802,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-148.375309,211.624691,73.611111,-2.291464,56.103341,38.534998,165.514365
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,414.567889,-143.332522,216.667478,62.500000,-3.183132,95.130994,69.413321,177.047407
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,261.937362,-130.987426,-130.987426,50.000000,-3.103814,64.620580,46.350743,175.527488
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,530.954142,34.652198,-325.347802,54.166667,-2.350285,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,388.789002,32.214650,-327.785350,76.388889,-2.354122,47.695802,31.033903,146.203687
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,176.894539,44.723853,44.723853,68.055556,-1.998845,82.156751,49.458039,179.281512
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,305.034945,46.185592,46.185592,66.666667,-2.625243,49.741093,32.246424,178.622296
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-98.657623,261.342377,84.722222,-3.485692,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,338.614430,-79.235785,-79.235785,65.277778,-3.676183,56.409220,36.892195,166.656528
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-83.371756,276.628244,70.833333,-3.769932,49.151838,32.685350,133.936561
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,334.361015,-101.657667,-101.657667,61.111111,-3.123939,52.698782,31.872665,177.250298
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,157.701790,-37.015970,-37.015970,51.388889,-3.485692,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,403.691759,-67.775963,292.224037,75.000000,-3.676183,58.125576,45.896972,165.235388
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,164.437006,-58.376185,-58.376185,52.777778,-3.772449,88.507182,65.007886,179.731486
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,374.142922,-27.151701,-387.151701,73.611111,-3.966860,53.677869,34.610693,152.707017
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,101.114280,-258.885720,83.333333,-2.918425,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,336.855051,115.300285,115.300285,59.722222,-3.011669,53.477730,31.635733,174.042711
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,94.609118,-265.390882,69.444444,-3.632608,42.402749,25.787616,115.787821
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,347.535870,83.555584,83.555584,65.277778,-3.338337,52.403235,33.565664,175.064943
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-61.772145,298.227855,81.944444,-3.128190,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,515.564260,-43.583681,-403.583681,59.722222,-3.972206,63.105148,47.384734,175.324846
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,184.073511,-46.665976,-46.665976,52.777778,-3.538485,88.298844,67.599825,177.540403
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,720.000000,-65.711638,654.288362,87.500000,-2.849907,48.830862,32.261853,167.869548
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-140.521962,219.478038,75.000000,-2.875840,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-149.204459,210.795541,72.222222,-2.274663,39.480177,26.430921,165.592929
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,391.053466,-138.327772,221.672228,83.333333,-2.901745,73.905834,45.497202,170.973792
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,369.751426,-130.396209,-130.396209,58.333333,-3.171102,59.158815,40.364451,178.606836
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,311.855178,31.729070,31.729070,76.388889,-2.258909,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,35.783770,-324.216230,91.666667,-2.335979,40.634579,25.560681,159.832085
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,47.372053,-312.627947,77.777778,-2.612250,72.905930,49.038375,179.579923
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,285.291014,42.884685,42.884685,58.333333,-2.297840,51.218099,31.004602,172.268903
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-91.152371,268.847629,84.722222,-3.095278,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,345.029069,-77.729394,-77.729394,69.444444,-3.972206,56.940967,35.534856,176.286941
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-89.336197,270.663803,66.666667,-3.112509,51.221331,30.779431,156.631858
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,396.214190,-104.633275,255.366725,69.444444,-2.849907,52.790312,31.448313,168.358752
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,234.184509,-49.529681,-49.529681,73.611111,-3.956011,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-69.538385,290.461615,88.888889,-3.972206,55.151673,40.554079,170.235660
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-47.019026,312.980974,81.944444,-3.112509,77.434867,52.757923,177.104741
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,458.739452,-24.413048,-384.413048,52.777778,-3.794586,44.758700,29.453633,175.818057
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,108.987514,-251.012486,80.555556,-3.086729,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,322.864829,111.402411,111.402411,61.111111,-2.972423,45.500549,25.287202,177.927620
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,87.449198,-272.550802,72.222222,-3.511492,42.669564,29.029807,97.775757
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,407.997364,86.842113,-273.157887,73.611111,-3.245175,56.994749,35.646968,173.933666
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-54.952651,305.047349,90.277778,-2.731377,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,577.089771,-41.604104,-401.604104,54.166667,-3.727142,44.294795,30.807795,167.357089
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,434.982352,-52.969558,-412.969558,61.111111,-3.834888,74.182678,51.917327,179.336574
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,720.000000,-68.169223,651.830777,95.833333,-3.042119,45.752120,29.763910,162.356575
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-145.163600,214.836400,72.222222,-2.904412,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-147.358988,212.641012,76.388889,-2.994989,34.773384,21.586621,144.348246
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,481.530500,-133.824184,-133.824184,58.333333,-3.132992,76.082170,51.388832,174.535023
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,720.000000,-132.111562,587.888438,79.166667,-2.808694,38.766656,27.550766,146.433823
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,304.380672,30.778912,30.778912,77.777778,-1.687268,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,387.498914,40.449488,-319.550512,90.277778,-2.169531,29.191925,15.492749,157.197842
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,47.839444,-312.160556,76.388889,-2.775113,69.068254,42.290264,173.971771
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,38.712131,-321.287869,73.611111,-1.911506,43.432839,26.185106,146.947491
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-83.948455,276.051545,88.888889,-2.731377,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,363.933848,-79.263261,-79.263261,70.833333,-3.727142,48.796101,29.676410,163.496629
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-95.981431,264.018569,68.055556,-3.834888,53.201865,32.971030,166.165062
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,381.859563,-103.674800,256.325200,76.388889,-2.783307,46.371507,25.675561,175.804098
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,264.804691,-60.858088,-60.858088,72.222222,-3.979846,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,311.515645,-66.302337,-66.302337,81.944444,-3.848369,37.776342,24.452282,122.613766
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-35.383458,324.616542,80.555556,-3.853580,66.178506,44.144897,168.579295
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,264.765890,-27.818956,-27.818956,55.555556,-3.939306,30.222077,23.503557,81.183890
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,114.300150,-245.699850,73.611111,-3.265693,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,315.303089,103.597355,103.597355,62.500000,-3.474570,35.414322,18.435738,153.428041
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,83.681734,-276.318266,65.277778,-3.597713,35.589679,26.625398,84.609266
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,93.061374,-266.938626,72.222222,-2.752963,53.589356,33.147068,166.008845
7.738000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,162.530373,-48.324381,-48.324381,63.888889,-3.443660,0.000000,0.000000,0.000000
7.738000,90.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,512.626976,-42.663145,-402.663145,59.722222,-3.837974,29.268403,15.786729,135.096613
