freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,-2.782220,-2.782220,-2.029633,-1.659318,True
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,18.087925,18.087925,-1.942783,-1.526835,True
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,37.628630,37.628630,-1.734022,-1.250815,True
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,54.816765,54.816765,-1.509580,-0.888887,True
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,69.349039,69.349039,-1.365527,-0.522197,True
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,81.414358,81.414358,-1.363768,-0.222675,True
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,91.411800,91.411800,-1.532774,-0.039447,True
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,99.775497,99.775497,-1.876821,0.000000,True
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,106.904232,106.904232,-2.384661,-0.116458,True
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,113.147903,113.147903,-3.035363,-0.391605,True
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,118.814423,118.814423,-3.801734,-0.823176,True
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,124.178983,124.178983,-4.652329,-1.406554,True
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,129.489647,129.489647,-5.553086,-2.136379,True
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,134.970412,134.970412,-6.469474,-3.007518,True
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,140.827689,140.827689,-7.369741,-4.015515,True
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,147.269309,147.269309,-8.229209,-5.156084,True
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,154.544499,154.544499,-9.034782,-6.422212,True
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,163.003393,163.003393,-9.788311,-7.795319,True
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,173.141581,173.141581,-10.507754,-9.223528,True
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,-174.500367,185.499633,-11.226050,-10.579369,True
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,-159.880853,200.119147,-11.988508,-11.616822,True
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,-144.513382,215.486618,-12.848901,-12.038612,True
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,-131.666891,228.333109,-13.860936,-11.753013,True
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,-124.637782,235.362218,-15.050198,-10.993997,True
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,-125.680352,234.319648,-16.319965,-10.089536,True
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,-135.986824,224.013176,-17.226833,-9.264439,True
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,-152.751492,207.248508,-16.969577,-8.634925,True
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,-168.124221,191.875779,-15.420001,-8.260499,True
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,-177.891889,182.108111,-13.407098,-8.182605,True
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,176.983743,176.983743,-11.577790,-8.447951,True
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,174.796334,174.796334,-10.172112,-9.126859,True
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,174.545909,174.545909,-9.265960,-10.337385,True
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,176.008454,176.008454,-8.902075,-12.294045,True
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,-179.773213,180.226787,-9.139364,-15.438648,True
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,-166.187566,193.812434,-10.085850,-20.835782,True
7.738000,45.000000,175.000000,0.000000,x_only_a_port,E1-E3,-98.995399,261.004601,-11.956183,-26.613934,True
7.738000,45.000000,180.000000,0.000000,x_only_a_port,E1-E3,-52.288516,307.711484,-15.222972,-19.998395,True
7.738000,45.000000,185.000000,0.000000,x_only_a_port,E1-E3,-62.543818,297.456182,-20.882329,-15.741376,True
7.738000,45.000000,190.000000,0.000000,x_only_a_port,E1-E3,-133.449264,226.550736,-22.997020,-13.510362,True
7.738000,45.000000,195.000000,0.000000,x_only_a_port,E1-E3,-165.740705,194.259295,-16.797753,-12.450613,True
7.738000,45.000000,200.000000,0.000000,x_only_a_port,E1-E3,-172.498762,187.501238,-12.989746,-12.212290,True
7.738000,45.000000,205.000000,0.000000,x_only_a_port,E1-E3,-173.896425,186.103575,-10.734775,-12.630609,True
7.738000,45.000000,210.000000,0.000000,x_only_a_port,E1-E3,-173.446904,186.553096,-9.385200,-13.625822,True
7.738000,45.000000,215.000000,0.000000,x_only_a_port,E1-E3,-172.261471,187.738529,-8.640069,-15.170571,True
7.738000,45.000000,220.000000,0.000000,x_only_a_port,E1-E3,-171.101038,188.898962,-8.339923,-17.281287,True
7.738000,45.000000,225.000000,0.000000,x_only_a_port,E1-E3,-171.118192,188.881808,-8.392482,-20.016790,True
7.738000,45.000000,230.000000,0.000000,x_only_a_port,E1-E3,-174.973372,185.026628,-8.742076,-23.435269,True
7.738000,45.000000,235.000000,0.000000,x_only_a_port,E1-E3,170.908423,170.908423,-9.353287,-27.151871,True
7.738000,45.000000,240.000000,0.000000,x_only_a_port,E1-E3,143.299238,143.299238,-10.196816,-28.675502,True
7.738000,45.000000,245.000000,0.000000,x_only_a_port,E1-E3,126.262318,126.262318,-11.228228,-26.672851,True
7.738000,45.000000,250.000000,0.000000,x_only_a_port,E1-E3,128.060216,128.060216,-12.346124,-24.036493,True
7.738000,45.000000,255.000000,0.000000,x_only_a_port,E1-E3,141.096533,141.096533,-13.320785,-21.719720,True
7.738000,45.000000,260.000000,0.000000,x_only_a_port,E1-E3,160.482112,160.482112,-13.762916,-19.669974,True
7.738000,45.000000,265.000000,0.000000,x_only_a_port,E1-E3,-178.365826,181.634174,-13.350190,-17.781012,True
7.738000,45.000000,270.000000,0.000000,x_only_a_port,E1-E3,-159.751039,200.248961,-12.182855,-15.997966,True
7.738000,45.000000,275.000000,0.000000,x_only_a_port,E1-E3,-145.439005,214.560995,-10.643571,-14.299622,True
7.738000,45.000000,280.000000,0.000000,x_only_a_port,E1-E3,-135.038601,224.961399,-9.033991,-12.679492,True
7.738000,45.000000,285.000000,0.000000,x_only_a_port,E1-E3,-127.549094,232.450906,-7.497767,-11.136786,True
7.738000,45.000000,290.000000,0.000000,x_only_a_port,E1-E3,-122.066903,237.933097,-6.088879,-9.673477,True
7.738000,45.000000,295.000000,0.000000,x_only_a_port,E1-E3,-117.898126,242.101874,-4.826292,-8.293810,True
7.738000,45.000000,300.000000,0.000000,x_only_a_port,E1-E3,-114.512455,245.487545,-3.718385,-7.004506,True
7.738000,45.000000,305.000000,0.000000,x_only_a_port,E1-E3,-111.485324,248.514676,-2.771447,-5.815079,True
7.738000,45.000000,310.000000,0.000000,x_only_a_port,E1-E3,-108.454766,251.545234,-1.991705,-4.738002,True
7.738000,45.000000,315.000000,0.000000,x_only_a_port,E1-E3,-105.091056,254.908944,-1.385102,-3.788425,True
7.738000,45.000000,320.000000,0.000000,x_only_a_port,E1-E3,-101.073286,258.926714,-0.956387,-2.983110,True
7.738000,45.000000,325.000000,0.000000,x_only_a_port,E1-E3,-96.068215,263.931785,-0.707844,-2.338323,True
7.738000,45.000000,330.000000,0.000000,x_only_a_port,E1-E3,-89.709487,270.290513,-0.637291,-1.866569,True
7.738000,45.000000,335.000000,0.000000,x_only_a_port,E1-E3,-81.580884,278.419116,-0.734436,-1.572167,True
7.738000,45.000000,340.000000,0.000000,x_only_a_port,E1-E3,-71.218904,288.781096,-0.974577,-1.445635,True
7.738000,45.000000,345.000000,0.000000,x_only_a_port,E1-E3,-58.170497,301.829503,-1.309717,-1.457194,True
7.738000,45.000000,350.000000,0.000000,x_only_a_port,E1-E3,-42.160428,317.839572,-1.661636,-1.551269,True
7.738000,45.000000,355.000000,0.000000,x_only_a_port,E1-E3,-23.385906,336.614094,-1.929969,-1.647744,True
7.738000,45.000000,360.000000,0.000000,x_only_a_port,E1-E3,-2.782220,357.217780,-2.029633,-1.659318,True
7.738000,45.000000,0.000000,45.000000,x_only_a_port,E1-E3,16.354431,16.354431,-17.354638,-9.393784,True
7.738000,45.000000,5.000000,45.000000,x_only_a_port,E1-E3,42.896156,42.896156,-14.749288,-8.844953,True
7.738000,45.000000,10.000000,45.000000,x_only_a_port,E1-E3,63.178369,63.178369,-13.080628,-7.816859,True
7.738000,45.000000,15.000000,45.000000,x_only_a_port,E1-E3,77.983998,77.983998,-12.145648,-6.354777,True
7.738000,45.000000,20.000000,45.000000,x_only_a_port,E1-E3,87.475947,87.475947,-11.745905,-4.778669,True
7.738000,45.000000,25.000000,45.000000,x_only_a_port,E1-E3,92.865941,92.865941,-11.735900,-3.342183,True
7.738000,45.000000,30.000000,45.000000,x_only_a_port,E1-E3,95.624623,95.624623,-12.008495,-2.153333,True
7.738000,45.000000,35.000000,45.000000,x_only_a_port,E1-E3,97.023940,97.023940,-12.481994,-1.236201,True
7.738000,45.000000,40.000000,45.000000,x_only_a_port,E1-E3,98.100651,98.100651,-13.086784,-0.582830,True
7.738000,45.000000,45.000000,45.000000,x_only_a_port,E1-E3,99.716142,99.716142,-13.749034,-0.176557,True
7.738000,45.000000,50.000000,45.000000,x_only_a_port,E1-E3,102.556933,102.556933,-14.373593,0.000000,True
7.738000,45.000000,55.000000,45.000000,x_only_a_port,E1-E3,106.994883,106.994883,-14.835781,-0.037267,True
7.738000,45.000000,60.000000,45.000000,x_only_a_port,E1-E3,112.837160,112.837160,-15.003576,-0.274691,True
7.738000,45.000000,65.000000,45.000000,x_only_a_port,E1-E3,119.243060,119.243060,-14.801703,-0.701709,True
7.738000,45.000000,70.000000,45.000000,x_only_a_port,E1-E3,125.108453,125.108453,-14.268246,-1.312374,True
7.738000,45.000000,75.000000,45.000000,x_only_a_port,E1-E3,129.637029,129.637029,-13.532343,-2.107686,True
7.738000,45.000000,80.000000,45.000000,x_only_a_port,E1-E3,132.524636,132.524636,-12.738739,-3.099067,True
7.738000,45.000000,85.000000,45.000000,x_only_a_port,E1-E3,133.746679,133.746679,-11.997299,-4.313717,True
7.738000,45.000000,90.000000,45.000000,x_only_a_port,E1-E3,133.276796,133.276796,-11.375735,-5.803636,True
