freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,453.817845,-57.260715,-57.260715,68.055556,-3.120432,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,260.308013,-47.859806,-47.859806,50.000000,-3.090665,71.344607,53.374886,178.434997
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,385.197724,-42.961730,317.038270,66.666667,-3.379469,95.458227,72.776059,179.976677
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,467.096111,-52.706464,-52.706464,73.611111,-2.596471,46.123030,32.207622,174.225401
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,361.005564,-133.468957,-133.468957,68.055556,-2.520535,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,467.205606,-139.615016,-139.615016,69.444444,-2.517678,54.133518,36.008960,171.500328
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,265.830940,-140.153888,-140.153888,56.944444,-2.975936,90.029235,65.821530,174.589000
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,261.249363,-133.799994,-133.799994,50.000000,-2.781812,67.434399,49.087814,178.101149
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,523.798584,35.833407,-324.166593,58.333333,-2.316304,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,289.018605,25.759499,25.759499,68.055556,-2.480253,54.493655,35.782289,173.124739
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,361.160921,44.725586,-315.274414,79.166667,-2.096813,80.732925,49.133257,178.656401
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,299.192369,54.393026,54.393026,56.944444,-2.596471,51.748025,33.718536,177.492465
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-91.959843,268.040157,80.555556,-2.985240,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,313.448542,-73.327861,-73.327861,58.333333,-2.789381,45.435605,28.030427,167.213621
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-83.931431,276.068569,75.000000,-2.934447,45.160477,31.563451,128.231467
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,329.502742,-104.901733,-104.901733,62.500000,-2.284701,54.584788,36.373325,161.080998
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,174.476716,-39.771187,-39.771187,56.944444,-2.985240,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,307.417809,-65.820607,-65.820607,63.888889,-2.820813,51.135119,38.082537,144.668420
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,178.433812,-56.067824,-56.067824,77.777778,-2.553710,80.959490,52.480850,179.590701
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,437.266426,-27.789466,-387.789466,76.388889,-2.613928,44.008274,29.232372,149.029164
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,94.598793,-265.401207,79.166667,-3.019134,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,327.427023,112.259496,112.259496,59.722222,-3.122097,56.101099,37.169455,173.108263
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,92.150230,-267.849770,80.555556,-3.420958,40.162667,29.135504,98.276488
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,313.214422,78.167271,78.167271,58.333333,-3.040169,46.131409,28.703975,175.678810
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,336.465748,-55.009282,-55.009282,73.611111,-2.204594,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,292.191735,-44.711542,-44.711542,56.944444,-3.076138,69.295556,50.785630,178.767038
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,178.151248,-44.996041,-44.996041,50.000000,-3.543069,92.968549,71.934216,175.008095
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,362.928521,-56.068444,303.931556,75.000000,-2.354047,47.020097,29.793692,168.033285
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,360.000000,-135.287559,224.712441,79.166667,-2.767231,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,506.543029,-140.977333,-140.977333,70.833333,-2.304520,41.105256,24.277986,139.067144
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,385.470313,-138.167209,221.832791,79.166667,-2.316603,73.531559,48.137355,174.164990
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,387.411129,-132.605385,-132.605385,58.333333,-2.959149,59.580757,40.402866,157.836077
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,306.195158,29.173563,29.173563,79.166667,-2.185546,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,394.671692,29.824362,-330.175638,91.666667,-2.517932,47.052640,28.373210,178.679796
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,51.233716,-308.766284,81.944444,-2.616406,68.410702,48.284730,162.558157
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,293.551485,50.468049,50.468049,68.055556,-2.311368,48.337467,32.356021,161.494850
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-83.322300,276.677700,88.888889,-2.201161,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,322.535406,-73.518098,-73.518098,66.666667,-2.625932,52.577375,33.095157,171.608907
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-92.434338,267.565662,75.000000,-3.082152,39.909755,29.098318,98.578072
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,349.717950,-104.843039,-104.843039,66.666667,-2.255676,49.749386,33.026140,171.894086
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,249.005516,-50.376354,-50.376354,73.611111,-2.934175,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-67.370157,292.629843,88.888889,-2.625932,57.419519,37.971475,174.212172
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-44.877204,315.122796,81.944444,-3.082152,66.134917,41.358567,178.325671
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,234.665237,-26.794237,-26.794237,58.333333,-2.910324,33.897073,23.410330,122.117772
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,103.418377,-256.581623,76.388889,-2.915127,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,317.250335,109.172815,109.172815,62.500000,-3.057088,49.846822,32.160660,174.591392
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,84.094164,-275.905836,80.555556,-3.045910,43.607441,31.596584,124.144275
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,343.850542,80.606444,80.606444,62.500000,-3.057520,46.198147,28.125440,178.101130
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,335.154813,-51.589670,-51.589670,86.111111,-2.388741,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,785.030581,-42.908815,-762.908815,62.500000,-3.513443,53.914115,37.260635,171.625692
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,233.317726,-48.585898,-48.585898,52.777778,-3.324062,80.350489,58.574833,177.409013
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,363.809023,-57.697656,302.302344,94.444444,-2.353534,43.089320,28.661068,171.136061
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,720.000000,-137.524623,582.475377,75.000000,-2.623261,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,507.669683,-141.189354,-141.189354,69.444444,-2.781529,31.412849,20.393527,94.049667
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,476.172066,-135.826016,-135.826016,61.111111,-2.797742,72.284725,47.134177,174.151264
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,720.000000,-132.497071,587.502929,72.222222,-2.593166,28.299260,20.244463,85.465870
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,25.536176,-334.463824,79.166667,-1.624776,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,36.802539,-323.197461,91.666667,-2.419988,38.056602,19.617024,168.668421
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,54.672523,-305.327477,77.777778,-2.759776,65.560830,43.670309,154.696594
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,43.697710,-316.302290,77.777778,-2.225507,39.736541,25.881206,138.133197
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-76.690602,283.309398,90.277778,-2.125073,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,331.673938,-77.190867,-77.190867,66.666667,-3.007131,44.829636,27.972038,173.151190
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-100.275560,259.724440,70.833333,-2.976299,45.768384,31.193892,139.117619
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,397.547946,-100.041671,259.958329,76.388889,-2.353534,46.198043,28.713901,151.296162
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,281.231730,-59.827293,-59.827293,72.222222,-2.634396,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,720.000000,-64.097358,655.902642,94.444444,-2.828083,49.290885,27.968771,179.285134
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,360.000000,-34.266642,325.733358,81.944444,-2.976299,62.787006,38.946335,170.563506
7.738000,75.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,269.019911,-31.136816,-31.136816,63.888889,-3.007603,29.162188,19.243615,152.549260
7.738000,75.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,110.051124,-249.948876,80.555556,-2.898064,0.000000,0.000000,0.000000
7.738000,75.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,310.908737,101.587633,101.587633,73.611111,-3.287841,38.348476,23.832883,154.379529
7.738000,75.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,79.293542,-280.706458,70.833333,-3.270740,39.784142,28.213320,129.595285
