freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,-155.402065,-155.402065,-0.706686,-2.105991,True
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,-136.621470,-136.621470,-0.389046,-1.994830,True
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,-119.854066,-119.854066,-0.131989,-1.765580,True
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,-105.491806,-105.491806,0.000000,-1.493863,True
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,-93.464698,-93.464698,-0.034320,-1.257235,True
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,-83.470368,-83.470368,-0.254867,-1.114035,True
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,-75.148783,-75.148783,-0.666205,-1.101762,True
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,-68.158187,-68.158187,-1.263027,-1.242272,True
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,-62.186412,-62.186412,-2.033798,-1.546198,True
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,-56.936483,-56.936483,-2.962630,-2.015246,True
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,-52.108945,-52.108945,-4.029989,-2.643398,True
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,-47.390099,-47.390099,-5.212860,-3.417946,True
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,-42.448645,-42.448645,-6.484899,-4.320548,True
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,-36.940529,-36.940529,-7.816996,-5.327936,True
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,-30.521642,-30.521642,-9.178564,-6.411543,True
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,-22.870197,-22.870197,-10.539901,-7.535300,True
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,-13.726064,-13.726064,-11.875887,-8.651212,True
