index,candidate,real_network,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,feed_offset_u_mm,feed_pad_radius_mm,port_width_mm,microstrip_feed_enabled,microstrip_feed_offset_mm,microstrip_feedline_length_mm,microstrip_feedline_width_mm,microstrip_match_length_mm,microstrip_match_width_mm,microstrip_transform2_length_mm,microstrip_transform2_width_mm,microstrip_feed_mirror_enabled,microstrip_stub_length_mm,microstrip_stub_width_mm,microstrip_stub_offset_mm,neutralization_branch_enabled,neutralization_branch_length_mm,neutralization_branch_width_mm,neutralization_branch_offset_mm,local_dgs_enabled,local_dgs_length_mm,local_dgs_width_mm,local_dgs_offset_mm,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score
1,probe_ref_pad0p28,False,96.575270,上一轮小焊盘探针/焊盘最优解，仅作为真实微带网络的对照基线。,-8.868228,12.760311,"dB(S(P1B:1,P1B:1))","dB(S(P1B:1,P1A:1))",-9.015843,-8.868228,0.147615,12.760311,16.324315,9.150000,3.400000,0.280000,0.500000,0.000000,0.000000,1.700000,0.580000,0.750000,0.400000,0.450000,0.500000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,20.252620
2,edge_unmirror_prev_l1p70,True,72.372852,上一轮真实边馈网络最优解，不启用镜像馈线，作为本轮真实网络基线。,-6.363328,10.427785,"dB(S(P4A:1,P4A:1))","dB(S(P2B:1,P2A:1))",-6.363328,-6.664161,0.300832,10.427785,17.658351,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.700000,0.580000,0.750000,0.400000,0.000000,0.500000,0.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,49.954449
3,mirror_eq_l1p70_m0p75,True,71.271509,保持上一轮阻抗尺寸，仅将每个阵元的边馈线镜像到外侧象限，观察方向图对称性收益。,-6.294115,10.866211,"dB(S(P1B:1,P1B:1))","dB(S(P1B:1,P1A:1))",-6.379857,-6.294115,0.085742,10.866211,15.453401,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.700000,0.580000,0.750000,0.400000,0.000000,0.500000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,49.409222
4,mirror_xform_short_0p30_0p46,True,73.339124,边馈使用窄高阻入口加二级阻抗变换，减少贴片边缘过强加载。,-6.412202,10.601815,"dB(S(P3B:1,P3B:1))","dB(S(P3B:1,P3A:1))",-6.537903,-6.412202,0.125701,10.601815,15.555733,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.700000,0.580000,0.420000,0.300000,0.450000,0.460000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,49.581848
5,mirror_xform_mid_0p34_0p50,True,75.419059,中等高阻入口加 0.50 mm 二级变换段，兼顾匹配和线宽可制造性。,-6.389385,10.636821,"dB(S(P4B:1,P4B:1))","dB(S(P2A:1,P2B:1))",-6.588089,-6.389385,0.198704,10.636821,15.312011,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,50.076793
6,mirror_xform_wide_0p38_0p54,True,75.259372,较宽入口和二级变换段，测试阻抗变换对回波损耗的上限改善。,-6.644150,10.689027,"dB(S(P4B:1,P4B:1))","dB(S(P1B:1,P1A:1))",-6.707352,-6.644150,0.063202,10.689027,15.405645,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.850000,0.620000,0.540000,0.380000,0.580000,0.540000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,47.590370
7,mirror_offset0p15_xform_mid,True,89.327230,镜像馈线基础上加入 0.15 mm 共同横向偏移，补偿端口片和馈线不对称。,-6.377948,8.410641,"dB(S(P3B:1,P3B:1))","dB(S(P2A:1,P2B:1))",-6.711040,-6.377948,0.333092,8.410641,15.620814,9.150000,3.400000,0.280000,0.500000,1.000000,0.150000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,60.681582
8,mirror_patch9p05_xform_mid,True,73.409563,略缩小贴片边长，补偿镜像边馈和阻抗变换引入的边缘电容加载。,-5.623255,11.849275,"dB(S(P4A:1,P4A:1))","dB(S(P1B:1,P1A:1))",-5.623255,-5.669404,0.046149,11.849275,15.516703,9.050000,3.400000,0.280000,0.500000,1.000000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,49.734180
9,mirror_patch9p25_xform_mid,True,73.389131,略放大贴片边长，验证镜像边馈后谐振点是否需要下移。,-7.816776,9.576869,"dB(S(P3A:1,P3A:1))","dB(S(P1A:1,P1B:1))",-7.816776,-8.100212,0.283437,9.576869,15.281649,9.250000,3.400000,0.280000,0.500000,1.000000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.240000,0.600000,0.000000,0.850000,0.120000,0.650000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,44.018151
10,mirror_branch0p55_xform_mid,True,75.436437,轻微同阵元隔离枝节随镜像象限布置，优先不破坏匹配。,-4.568455,8.354606,"dB(S(P4B:1,P4B:1))","dB(S(P4A:1,P4B:1))",-4.912791,-4.568455,0.344336,8.354606,16.925375,9.150000,3.400000,0.280000,0.500000,1.000000,0.000000,1.780000,0.580000,0.480000,0.340000,0.550000,0.500000,1.000000,0.000000,0.240000,0.600000,1.000000,0.550000,0.100000,0.520000,0.000000,3.600000,0.180000,0.750000,1.000000,10.000000,0.420000,3.200000,74.679330
