freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-58.145165,-58.145165,-0.400559,-2.055162,True
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-39.169618,-39.169618,-0.379845,-1.992330,True
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-21.504455,-21.504455,-0.397356,-1.937919,True
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-5.613467,-5.613467,-0.452464,-1.902844,True
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,8.290658,8.290658,-0.538528,-1.888711,True
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,20.242681,20.242681,-0.647006,-1.891442,True
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,30.449112,30.449112,-0.769765,-1.905353,True
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,39.194934,39.194934,-0.899770,-1.925296,True
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,46.778347,46.778347,-1.030978,-1.946974,True
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,53.480597,53.480597,-1.157989,-1.966341,True
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,59.556784,59.556784,-1.275728,-1.978822,True
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,65.230636,65.230636,-1.379268,-1.978647,True
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,70.680572,70.680572,-1.463863,-1.958361,True
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,76.011540,76.011540,-1.525201,-1.908556,True
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,81.218474,81.218474,-1.559795,-1.818139,True
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,86.161389,86.161389,-1.565423,-1.675783,True
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,90.576573,90.576573,-1.541595,-1.473493,True
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,94.127477,94.127477,-1.490147,-1.212494,True
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.463968,96.463968,-1.416162,-0.909581,True
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,97.249689,97.249689,-1.329354,-0.599345,True
7.738000,45.000000,100.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,96.154072,96.154072,-1.245759,-0.327920,True
7.738000,45.000000,105.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,92.871257,92.871257,-1.189246,-0.139385,True
