freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-58.145165,301.854835,73.611111,-2.802855,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,260.243424,-45.545732,-45.545732,51.388889,-3.226759,70.360195,53.235183,178.314330
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,263.147134,-39.076192,-39.076192,58.333333,-3.279606,97.302278,76.696350,173.619879
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,453.338324,-52.202567,-52.202567,70.833333,-2.488877,44.735378,31.140385,165.129436
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,368.091853,-132.512124,-132.512124,72.222222,-2.358980,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,453.736954,-140.046268,-140.046268,69.444444,-2.332082,46.377736,31.227358,176.248108
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,262.516625,-137.208150,-137.208150,56.944444,-2.867389,92.636529,68.335687,178.622868
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,259.273276,-129.974806,-129.974806,50.000000,-2.801239,68.640974,50.757349,168.099605
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,178.544018,35.222012,35.222012,65.277778,-2.214871,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,435.395020,26.349732,-333.650268,69.444444,-2.407680,49.246066,31.808148,178.402304
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,169.127792,45.481413,45.481413,54.166667,-2.050170,86.250209,56.898199,179.511988
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,300.252448,53.998481,53.998481,59.722222,-2.488877,52.724684,34.220946,162.554217
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-92.335537,267.664463,81.944444,-2.740103,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,308.833964,-71.871646,-71.871646,58.333333,-2.823213,48.707327,31.751745,167.693806
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-81.416734,278.583266,76.388889,-2.869256,44.940386,33.479333,112.642860
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,323.993438,-103.307075,-103.307075,59.722222,-2.179863,53.390405,35.968021,177.783244
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,167.056112,-38.813927,-38.813927,51.388889,-2.812746,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,318.936397,-67.595190,-67.595190,62.500000,-2.823213,48.535767,37.411640,148.750377
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,165.746785,-56.281390,-56.281390,54.166667,-2.389100,81.326952,55.930668,177.265731
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,432.733872,-25.299032,-385.299032,76.388889,-2.685588,42.578067,28.266085,147.353296
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,94.957361,-265.042639,80.555556,-2.875498,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,325.891256,111.971985,111.971985,63.888889,-2.943103,53.229897,34.749334,178.241037
