freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,x_only_a_port,E1-E3,100.000000,360.000000,-155.402065,204.597935,79.166667,-29.048302,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E3,100.000000,319.265643,5.663464,5.663464,55.555556,-29.317928,108.254188,95.044172,174.215444
7.738000,45.000000,90.000000,x_only_a_port,E1-E3,98.630137,360.000000,167.761580,527.761580,63.380282,-43.770239,94.522251,72.007398,179.572962
7.738000,45.000000,135.000000,x_only_a_port,E1-E3,100.000000,360.000000,-173.678638,186.321362,84.722222,-32.760700,44.939762,31.850998,156.961737
7.738000,45.000000,0.000000,x_only_a_port,E2-E4,100.000000,688.512497,15.974864,-344.025136,55.555556,-27.536086,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E4,100.000000,294.519528,-171.125322,-171.125322,55.555556,-17.188183,133.314256,121.351547,179.076009
7.738000,45.000000,90.000000,x_only_a_port,E2-E4,100.000000,206.916734,-13.572891,-13.572891,51.388889,-18.553250,79.032148,67.258859,175.772136
7.738000,45.000000,135.000000,x_only_a_port,E2-E4,100.000000,623.808682,1.012329,-358.987671,61.111111,-33.605688,62.455968,48.025314,175.755206
7.738000,45.000000,0.000000,x_only_a_port,E1-E2,100.000000,359.051083,22.298788,22.298788,56.944444,-28.884480,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E1-E2,100.000000,207.297349,-25.071428,-25.071428,66.666667,-28.981652,89.673556,73.643652,175.526174
7.738000,45.000000,90.000000,x_only_a_port,E1-E2,100.000000,224.009328,17.296390,17.296390,56.944444,-22.766213,50.368334,41.300305,132.453200
7.738000,45.000000,135.000000,x_only_a_port,E1-E2,100.000000,272.433318,20.832097,20.832097,66.666667,-29.066744,37.365628,26.441218,135.713805
7.738000,45.000000,0.000000,x_only_a_port,E2-E3,100.000000,528.878852,-177.700854,182.299146,77.777778,-27.946540,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E2-E3,100.000000,270.074213,30.734892,30.734892,59.722222,-29.168896,98.152766,81.163712,179.027055
7.738000,45.000000,90.000000,x_only_a_port,E2-E3,98.630137,363.129869,150.465190,510.465190,63.380282,-44.901729,70.143392,55.118116,175.092270
7.738000,45.000000,135.000000,x_only_a_port,E2-E3,100.000000,480.088082,165.489265,525.489265,65.277778,-32.668263,46.804561,34.467141,133.820026
7.738000,45.000000,0.000000,x_only_a_port,E3-E4,100.000000,767.771067,-166.324282,-886.324282,68.055556,-27.946540,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E3-E4,100.000000,323.845658,158.139786,158.139786,52.777778,-28.988100,105.714702,89.026459,179.227328
7.738000,45.000000,90.000000,x_only_a_port,E3-E4,98.630137,367.134981,-164.038081,-524.038081,74.647887,-44.152219,63.835004,46.810704,168.999339
7.738000,45.000000,135.000000,x_only_a_port,E3-E4,100.000000,782.275158,-164.476935,-884.476935,80.555556,-33.028296,38.132780,25.714611,162.264218
7.738000,45.000000,0.000000,x_only_a_port,E4-E1,100.000000,731.158810,-38.273652,321.726348,56.944444,-28.884480,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,x_only_a_port,E4-E1,100.000000,289.318187,-163.803250,-163.803250,61.111111,-28.981652,114.087148,105.690638,177.243489
7.738000,45.000000,90.000000,x_only_a_port,E4-E1,100.000000,321.248584,-3.723499,-3.723499,55.555556,-22.016703,76.449274,61.756655,178.019069
7.738000,45.000000,135.000000,x_only_a_port,E4-E1,100.000000,669.786616,-21.844426,338.155574,50.000000,-33.698125,45.252413,33.284810,169.689312
7.738000,60.000000,0.000000,x_only_a_port,E1-E3,100.000000,360.000000,-142.613736,217.386264,80.555556,-23.597545,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,x_only_a_port,E1-E3,98.630137,234.605768,122.081352,122.081352,53.521127,-35.138954,98.008405,90.973368,175.627530
