freq_ghz,phi_deg,linear_pol_deg,strategy,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-58.753272,301.246728,75.000000,-2.893872,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,262.666329,-46.885010,-46.885010,51.388889,-3.191329,72.799869,54.441664,174.345427
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,384.587686,-40.002375,319.997625,68.055556,-3.282293,99.185471,78.072880,179.751558
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,457.406794,-52.414509,-52.414509,66.666667,-2.622859,42.324446,30.828468,144.161358
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,359.818478,-132.168207,-132.168207,69.444444,-2.480109,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,452.752558,-139.879464,-139.879464,65.277778,-2.496293,47.763573,33.247037,140.404497
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,259.179631,-137.557132,-137.557132,56.944444,-2.978902,92.702878,68.711875,179.319141
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,255.448758,-130.063536,-130.063536,50.000000,-2.824772,69.432845,51.486218,177.846712
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,175.691409,34.575797,34.575797,56.944444,-2.279078,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,285.188861,25.765773,25.765773,65.277778,-2.460139,53.024639,34.150853,168.420780
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,361.956966,44.493085,-315.506915,75.000000,-2.059374,84.666289,52.687732,179.449399
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,297.176927,52.822287,52.822287,56.944444,-2.622859,52.703664,34.157104,179.838808
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-92.037637,267.962363,81.944444,-2.813525,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,312.313835,-72.647289,-72.647289,58.333333,-2.855109,48.263564,31.255783,173.489661
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-81.625034,278.374966,75.000000,-2.922281,43.790179,32.049179,110.122519
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,326.383258,-102.277305,-102.277305,61.111111,-2.247834,51.865930,34.685939,175.171889
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,165.862653,-38.688279,-38.688279,55.555556,-2.882267,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,313.488020,-66.668667,-66.668667,62.500000,-2.855109,49.367943,37.437871,139.195246
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,168.878189,-56.413209,-56.413209,65.277778,-2.387857,80.741983,55.506009,178.534412
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E3-E4,100.000000,428.140372,-26.303193,-386.303193,75.000000,-2.769395,42.191434,28.134966,139.938781
7.738000,45.000000,0.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,95.084423,-264.915577,80.555556,-2.962614,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,324.327082,112.303627,112.303627,62.500000,-3.065937,54.824033,36.173792,176.843454
7.738000,45.000000,90.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,360.000000,89.870127,-270.129873,77.777778,-3.338914,40.718310,30.359243,96.579419
7.738000,45.000000,135.000000,calibrated_2x2_vector_correlation,E4-E1,100.000000,314.422651,76.337204,76.337204,62.500000,-3.024260,46.520180,29.765281,167.953803
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,339.307018,-55.951140,-55.951140,75.000000,-2.195455,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,285.613878,-42.767515,-42.767515,55.555556,-3.168265,67.043096,50.454764,177.464100
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,180.882038,-42.357467,-42.357467,50.000000,-3.420044,94.590028,74.202882,179.534992
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E3,100.000000,360.000000,-56.971203,303.028797,72.222222,-2.401333,45.614266,30.182972,139.651531
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,720.000000,-134.877668,585.122332,80.555556,-2.715409,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,503.769165,-140.679108,-140.679108,69.444444,-2.471680,39.688050,23.670765,148.389535
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,383.734686,-134.630172,225.369828,81.944444,-2.287431,74.327628,49.155770,150.525206
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E2-E4,100.000000,380.393465,-129.479843,-129.479843,59.722222,-2.943753,59.523922,41.393445,175.611795
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,28.284944,-331.715056,80.555556,-2.094208,0.000000,0.000000,0.000000
7.738000,60.000000,45.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,390.718426,30.113897,-329.886103,90.277778,-2.475779,46.971401,28.170563,178.938897
7.738000,60.000000,90.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,360.000000,50.404933,-309.595067,81.944444,-2.520225,70.117936,49.196720,164.739708
7.738000,60.000000,135.000000,calibrated_2x2_vector_correlation,E1-E2,100.000000,287.779611,48.842899,48.842899,70.833333,-2.335405,48.316613,32.588998,158.041595
7.738000,60.000000,0.000000,calibrated_2x2_vector_correlation,E2-E3,100.000000,360.000000,-83.607818,276.392182,90.277778,-2.152069,0.000000,0.000000,0.000000
