freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,x_only_a_port,E1-E3,-155.996997,-155.996997,-1.017627,-2.085703,True
7.738000,45.000000,5.000000,0.000000,x_only_a_port,E1-E3,-136.610353,-136.610353,-0.623844,-2.012086,True
7.738000,45.000000,10.000000,0.000000,x_only_a_port,E1-E3,-119.420327,-119.420327,-0.276103,-1.811751,True
7.738000,45.000000,15.000000,0.000000,x_only_a_port,E1-E3,-104.809811,-104.809811,-0.052167,-1.553119,True
7.738000,45.000000,20.000000,0.000000,x_only_a_port,E1-E3,-92.695243,-92.695243,0.000000,-1.314463,True
7.738000,45.000000,25.000000,0.000000,x_only_a_port,E1-E3,-82.737132,-82.737132,-0.141595,-1.159765,True
7.738000,45.000000,30.000000,0.000000,x_only_a_port,E1-E3,-74.517129,-74.517129,-0.480921,-1.131900,True
7.738000,45.000000,35.000000,0.000000,x_only_a_port,E1-E3,-67.633313,-67.633313,-1.010824,-1.255284,True
7.738000,45.000000,40.000000,0.000000,x_only_a_port,E1-E3,-61.730339,-61.730339,-1.717606,-1.540655,True
7.738000,45.000000,45.000000,0.000000,x_only_a_port,E1-E3,-56.494503,-56.494503,-2.583488,-1.988955,True
7.738000,45.000000,50.000000,0.000000,x_only_a_port,E1-E3,-51.636374,-51.636374,-3.587544,-2.593872,True
7.738000,45.000000,55.000000,0.000000,x_only_a_port,E1-E3,-46.874037,-46.874037,-4.705815,-3.343345,True
7.738000,45.000000,60.000000,0.000000,x_only_a_port,E1-E3,-41.922851,-41.922851,-5.911263,-4.220375,True
7.738000,45.000000,65.000000,0.000000,x_only_a_port,E1-E3,-36.493633,-36.493633,-7.174203,-5.203139,True
7.738000,45.000000,70.000000,0.000000,x_only_a_port,E1-E3,-30.300072,-30.300072,-8.463714,-6.264133,True
7.738000,45.000000,75.000000,0.000000,x_only_a_port,E1-E3,-23.077419,-23.077419,-9.750493,-7.367873,True
7.738000,45.000000,80.000000,0.000000,x_only_a_port,E1-E3,-14.618550,-14.618550,-11.011250,-8.466936,True
7.738000,45.000000,85.000000,0.000000,x_only_a_port,E1-E3,-4.840000,-4.840000,-12.234245,-9.497520,True
7.738000,45.000000,90.000000,0.000000,x_only_a_port,E1-E3,6.107813,6.107813,-13.424825,-10.379162,True
7.738000,45.000000,95.000000,0.000000,x_only_a_port,E1-E3,17.697763,17.697763,-14.609519,-11.027218,True
7.738000,45.000000,100.000000,0.000000,x_only_a_port,E1-E3,28.922378,28.922378,-15.837291,-11.382789,True
7.738000,45.000000,105.000000,0.000000,x_only_a_port,E1-E3,38.296027,38.296027,-17.174901,-11.444997,True
7.738000,45.000000,110.000000,0.000000,x_only_a_port,E1-E3,43.827579,43.827579,-18.681627,-11.276070,True
7.738000,45.000000,115.000000,0.000000,x_only_a_port,E1-E3,42.704604,42.704604,-20.297465,-10.973080,True
7.738000,45.000000,120.000000,0.000000,x_only_a_port,E1-E3,31.739486,31.739486,-21.473689,-10.633260,True
7.738000,45.000000,125.000000,0.000000,x_only_a_port,E1-E3,13.527127,13.527127,-20.985249,-10.336057,True
7.738000,45.000000,130.000000,0.000000,x_only_a_port,E1-E3,-0.787391,-0.787391,-18.751870,-10.142829,True
7.738000,45.000000,135.000000,0.000000,x_only_a_port,E1-E3,-7.274543,-7.274543,-16.082017,-10.105879,True
7.738000,45.000000,140.000000,0.000000,x_only_a_port,E1-E3,-8.701343,-8.701343,-13.703331,-10.280953,True
7.738000,45.000000,145.000000,0.000000,x_only_a_port,E1-E3,-7.467922,-7.467922,-11.793552,-10.741654,True
7.738000,45.000000,150.000000,0.000000,x_only_a_port,E1-E3,-4.722523,-4.722523,-10.383652,-11.598520,True
7.738000,45.000000,155.000000,0.000000,x_only_a_port,E1-E3,-0.754967,-0.754967,-9.488777,-13.033922,True
7.738000,45.000000,160.000000,0.000000,x_only_a_port,E1-E3,5.054813,5.054813,-9.140346,-15.390180,True
7.738000,45.000000,165.000000,0.000000,x_only_a_port,E1-E3,16.043879,16.043879,-9.401119,-19.451644,True
7.738000,45.000000,170.000000,0.000000,x_only_a_port,E1-E3,56.727284,56.727284,-10.391316,-26.727405,True
7.738000,45.000000,175.000000,0.000000,x_only_a_port,E1-E3,143.724282,143.724282,-12.359129,-23.079533,True
7.738000,45.000000,180.000000,0.000000,x_only_a_port,E1-E3,163.796022,163.796022,-15.926026,-16.957939,True
7.738000,45.000000,185.000000,0.000000,x_only_a_port,E1-E3,168.384054,168.384054,-23.551446,-13.555552,True
7.738000,45.000000,190.000000,0.000000,x_only_a_port,E1-E3,9.121659,9.121659,-30.028597,-11.557452,True
7.738000,45.000000,195.000000,0.000000,x_only_a_port,E1-E3,3.971019,3.971019,-18.188194,-10.468091,True
7.738000,45.000000,200.000000,0.000000,x_only_a_port,E1-E3,5.314439,5.314439,-13.830563,-10.070291,True
7.738000,45.000000,205.000000,0.000000,x_only_a_port,E1-E3,7.019876,7.019876,-11.449931,-10.254325,True
7.738000,45.000000,210.000000,0.000000,x_only_a_port,E1-E3,8.782030,8.782030,-10.067143,-10.961368,True
7.738000,45.000000,215.000000,0.000000,x_only_a_port,E1-E3,10.544076,10.544076,-9.314852,-12.163617,True
7.738000,45.000000,220.000000,0.000000,x_only_a_port,E1-E3,12.137088,12.137088,-9.012940,-13.859719,True
7.738000,45.000000,225.000000,0.000000,x_only_a_port,E1-E3,13.026859,13.026859,-9.060944,-16.076706,True
7.738000,45.000000,230.000000,0.000000,x_only_a_port,E1-E3,11.773854,11.773854,-9.397448,-18.858797,True
7.738000,45.000000,235.000000,0.000000,x_only_a_port,E1-E3,4.738600,4.738600,-9.977436,-22.120261,True
7.738000,45.000000,240.000000,0.000000,x_only_a_port,E1-E3,-14.039321,-14.039321,-10.752213,-24.800063,True
7.738000,45.000000,245.000000,0.000000,x_only_a_port,E1-E3,-36.537964,-36.537964,-11.643430,-24.458601,True
7.738000,45.000000,250.000000,0.000000,x_only_a_port,E1-E3,-43.082689,-43.082689,-12.507447,-22.075489,True
7.738000,45.000000,255.000000,0.000000,x_only_a_port,E1-E3,-35.767666,-35.767666,-13.110833,-19.677120,True
7.738000,45.000000,260.000000,0.000000,x_only_a_port,E1-E3,-21.524760,-21.524760,-13.193302,-17.624331,True
7.738000,45.000000,265.000000,0.000000,x_only_a_port,E1-E3,-5.311799,-5.311799,-12.651222,-15.837225,True
7.738000,45.000000,270.000000,0.000000,x_only_a_port,E1-E3,9.730930,9.730930,-11.626099,-14.218097,True
7.738000,45.000000,275.000000,0.000000,x_only_a_port,E1-E3,22.393155,22.393155,-10.355349,-12.702707,True
7.738000,45.000000,280.000000,0.000000,x_only_a_port,E1-E3,32.697546,32.697546,-9.018948,-11.256085,True
7.738000,45.000000,285.000000,0.000000,x_only_a_port,E1-E3,41.099256,41.099256,-7.715248,-9.863958,True
7.738000,45.000000,290.000000,0.000000,x_only_a_port,E1-E3,48.103662,48.103662,-6.492147,-8.526067,True
7.738000,45.000000,295.000000,0.000000,x_only_a_port,E1-E3,54.163752,54.163752,-5.374628,-7.251416,True
7.738000,45.000000,300.000000,0.000000,x_only_a_port,E1-E3,59.675881,59.675881,-4.379049,-6.054859,True
7.738000,45.000000,305.000000,0.000000,x_only_a_port,E1-E3,64.997684,64.997684,-3.518721,-4.954668,True
7.738000,45.000000,310.000000,0.000000,x_only_a_port,E1-E3,70.467568,70.467568,-2.805109,-3.970799,True
7.738000,45.000000,315.000000,0.000000,x_only_a_port,E1-E3,76.422910,76.422910,-2.247056,-3.123615,True
7.738000,45.000000,320.000000,0.000000,x_only_a_port,E1-E3,83.217396,83.217396,-1.848963,-2.432629,True
7.738000,45.000000,325.000000,0.000000,x_only_a_port,E1-E3,91.236018,91.236018,-1.608016,-1.914729,True
7.738000,45.000000,330.000000,0.000000,x_only_a_port,E1-E3,100.900900,100.900900,-1.509918,-1.581246,True
7.738000,45.000000,335.000000,0.000000,x_only_a_port,E1-E3,112.650773,112.650773,-1.522790,-1.433326,True
7.738000,45.000000,340.000000,0.000000,x_only_a_port,E1-E3,126.863059,126.863059,-1.590962,-1.455379,True
7.738000,45.000000,345.000000,0.000000,x_only_a_port,E1-E3,143.687508,143.687508,-1.635676,-1.607667,True
7.738000,45.000000,350.000000,0.000000,x_only_a_port,E1-E3,162.819137,162.819137,-1.574509,-1.822019,True
7.738000,45.000000,355.000000,0.000000,x_only_a_port,E1-E3,-176.634161,183.365839,-1.361189,-2.009170,True
7.738000,45.000000,360.000000,0.000000,x_only_a_port,E1-E3,-155.996997,204.003003,-1.017627,-2.085703,True
7.738000,45.000000,0.000000,45.000000,x_only_a_port,E1-E3,-1.600738,-1.600738,-5.640745,-6.297012,True
7.738000,45.000000,5.000000,45.000000,x_only_a_port,E1-E3,4.826617,4.826617,-4.947132,-5.571274,True
7.738000,45.000000,10.000000,45.000000,x_only_a_port,E1-E3,6.178896,6.178896,-4.586633,-5.159165,True
