freq_ghz,phi_deg,theta_deg,linear_pol_deg,strategy,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-66.696063,-66.696063,-1.345498,-2.683235,True
7.738000,45.000000,5.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-47.472120,-47.472120,-1.284354,-2.677052,True
7.738000,45.000000,10.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-29.125865,-29.125865,-1.235664,-2.670148,True
7.738000,45.000000,15.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-12.239280,-12.239280,-1.216881,-2.673865,True
7.738000,45.000000,20.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,2.850778,2.850778,-1.234893,-2.690420,True
7.738000,45.000000,25.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,16.046042,16.046042,-1.287073,-2.716643,True
7.738000,45.000000,30.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,27.445263,27.445263,-1.365209,-2.748116,True
7.738000,45.000000,35.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,37.272221,37.272221,-1.459161,-2.781078,True
7.738000,45.000000,40.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,45.806483,45.806483,-1.559089,-2.812504,True
7.738000,45.000000,45.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,53.336885,53.336885,-1.656356,-2.839493,True
7.738000,45.000000,50.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,60.135088,60.135088,-1.743660,-2.858638,True
7.738000,45.000000,55.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,66.437751,66.437751,-1.814933,-2.865460,True
7.738000,45.000000,60.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,72.428808,72.428808,-1.865287,-2.853721,True
7.738000,45.000000,65.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,78.221031,78.221031,-1.891117,-2.814503,True
7.738000,45.000000,70.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,83.843614,83.843614,-1.890294,-2.735185,True
7.738000,45.000000,75.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,89.245346,89.245346,-1.862354,-2.598925,True
7.738000,45.000000,80.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,94.317062,94.317062,-1.808669,-2.385965,True
7.738000,45.000000,85.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,98.925003,98.925003,-1.732655,-2.078894,True
7.738000,45.000000,90.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,102.938084,102.938084,-1.640135,-1.673789,True
7.738000,45.000000,95.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,106.234389,106.234389,-1.539912,-1.195580,True
7.738000,45.000000,100.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,108.682078,108.682078,-1.444574,-0.707659,True
7.738000,45.000000,105.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,110.101187,110.101187,-1.371614,-0.300021,True
7.738000,45.000000,110.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,110.236522,110.236522,-1.344967,-0.052668,True
7.738000,45.000000,115.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,108.851224,108.851224,-1.396254,0.000000,True
7.738000,45.000000,120.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,106.176389,106.176389,-1.559827,-0.127644,True
7.738000,45.000000,125.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,103.579145,103.579145,-1.841094,-0.398329,True
7.738000,45.000000,130.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,102.957226,102.957226,-2.139901,-0.778391,True
7.738000,45.000000,135.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,104.720981,104.720981,-2.246052,-1.248643,True
7.738000,45.000000,140.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,107.650291,107.650291,-2.073564,-1.800366,True
7.738000,45.000000,145.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,110.415200,110.415200,-1.755739,-2.417924,True
7.738000,45.000000,150.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,112.233336,112.233336,-1.433910,-3.039648,True
7.738000,45.000000,155.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,112.631940,112.631940,-1.164805,-3.485692,True
7.738000,45.000000,160.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,110.878538,110.878538,-0.958466,-3.416209,True
7.738000,45.000000,165.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,104.112120,104.112120,-0.813758,-2.587297,True
7.738000,45.000000,170.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,66.887457,66.887457,-0.733773,-1.336989,True
7.738000,45.000000,175.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-29.895080,-29.895080,-0.736249,-0.373960,True
7.738000,45.000000,180.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-46.352812,-46.352812,-0.866961,-0.049422,True
7.738000,45.000000,185.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-51.637604,-51.637604,-1.143615,-0.219053,True
7.738000,45.000000,190.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,-54.549305,-54.549305,-1.166021,-0.609325,True
7.738000,45.000000,195.000000,0.000000,calibrated_2x2_vector_correlation,E1-E3,124.803599,124.803599,-0.795843,-1.033364,True
