coverage_sample_count,coverage_gain_total_min_dbi,coverage_gain_total_min_source,coverage_gain_total_min_freq_ghz,coverage_gain_total_min_theta_deg,coverage_gain_total_min_phi_deg,coverage_realized_gain_total_min_dbi,coverage_realized_gain_total_min_source,coverage_realized_gain_total_min_freq_ghz,coverage_realized_gain_total_min_theta_deg,coverage_realized_gain_total_min_phi_deg,candidate_index,candidate,case,active_pol
570,-20.303571,P1A,8.233000,90.000000,40.000000,-20.455473,P1A,8.233000,90.000000,40.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A
570,-18.952771,P2B,7.985500,90.000000,45.000000,-19.086573,P2B,7.985500,90.000000,45.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B
570,-23.011940,P4A,7.985500,85.000000,35.000000,-23.462692,P2A,7.985500,85.000000,35.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A
570,-23.010209,P2B,8.233000,80.000000,50.000000,-23.510082,P4B,8.233000,85.000000,50.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.679146,P3A,8.233000,90.000000,70.000000,-20.822645,P1A,8.233000,90.000000,70.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A
570,-22.110338,P1B,7.985500,85.000000,50.000000,-22.121629,P1B,7.985500,85.000000,50.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.354691,P2A,8.233000,85.000000,40.000000,-20.400343,P2A,8.233000,85.000000,40.000000,4,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.850818,P1B,8.233000,90.000000,50.000000,-19.907571,P1B,8.233000,90.000000,50.000000,4,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.515344,P2A,8.233000,90.000000,40.000000,-19.519067,P2A,8.233000,90.000000,40.000000,15,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p55_gap0p80,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.223577,P2B,8.233000,90.000000,35.000000,-20.306343,P1B,8.233000,85.000000,35.000000,15,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p55_gap0p80,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.712486,P1A,8.233000,80.000000,45.000000,-20.748779,P2A,8.233000,85.000000,50.000000,16,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p75_gap1p20,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.755971,P1B,8.233000,85.000000,50.000000,-19.776719,P1B,8.233000,85.000000,50.000000,16,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p75_gap1p20,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.402730,P1A,8.233000,90.000000,45.000000,-20.441243,P1A,8.233000,90.000000,45.000000,17,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p95_gap1p60,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.967899,P2B,8.233000,85.000000,50.000000,-19.988301,P2B,8.233000,85.000000,50.000000,17,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p95_gap1p60,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.357905,P1A,8.233000,90.000000,45.000000,-19.530167,P1A,8.233000,90.000000,50.000000,18,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.694307,P2B,8.233000,90.000000,90.000000,-19.702234,P2B,8.233000,90.000000,90.000000,18,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45,B_ON_absorptive_50ohm_c0p08pf,B
