fov_sample_count,fov_gain_total_min_dbi,fov_gain_total_min_theta_deg,fov_gain_total_min_phi_deg,fov_realized_gain_total_min_dbi,fov_realized_gain_total_min_theta_deg,fov_realized_gain_total_min_phi_deg,fov_gain_total_max_dbi,fov_gain_total_max_theta_deg,fov_gain_total_max_phi_deg,fov_realized_gain_total_max_dbi,fov_realized_gain_total_max_theta_deg,fov_realized_gain_total_max_phi_deg,candidate_index,candidate,case,active_pol,source,freq_ghz
190,-19.557525,90.000000,50.000000,-19.744994,90.000000,50.000000,-8.215910,45.000000,75.000000,-8.403379,45.000000,75.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P1A,7.738000
190,-19.653380,90.000000,50.000000,-19.839146,90.000000,50.000000,-9.648305,45.000000,70.000000,-9.834071,45.000000,70.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P1A,7.985500
190,-20.303571,90.000000,40.000000,-20.455473,90.000000,40.000000,-10.920279,45.000000,75.000000,-11.072180,45.000000,75.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P1A,8.233000
190,-18.870362,90.000000,50.000000,-18.988841,90.000000,50.000000,-9.803430,45.000000,85.000000,-9.921909,45.000000,85.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P2A,7.738000
190,-23.234113,90.000000,45.000000,-23.357322,90.000000,45.000000,-9.626049,45.000000,5.000000,-9.749258,45.000000,5.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P2A,7.985500
190,-20.430065,90.000000,45.000000,-20.525179,90.000000,45.000000,-10.596718,45.000000,0.000000,-10.691832,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P2A,8.233000
190,-20.167060,85.000000,65.000000,-20.184003,85.000000,65.000000,-9.195459,45.000000,0.000000,-9.212401,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P3A,7.738000
190,-24.493094,85.000000,65.000000,-24.568656,85.000000,65.000000,-14.565564,45.000000,0.000000,-14.641126,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P3A,7.985500
190,-25.335198,90.000000,70.000000,-25.540485,90.000000,70.000000,-15.801347,45.000000,0.000000,-16.006635,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P3A,8.233000
190,-28.778427,85.000000,25.000000,-28.783797,85.000000,25.000000,-7.885098,45.000000,90.000000,-7.890468,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P4A,7.738000
190,-27.182132,85.000000,50.000000,-27.252247,85.000000,50.000000,-11.151104,45.000000,90.000000,-11.221219,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P4A,7.985500
190,-24.994037,90.000000,15.000000,-25.168859,90.000000,15.000000,-13.445264,45.000000,90.000000,-13.620087,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,A_ON_absorptive_50ohm_c0p08pf,A,P4A,8.233000
190,-19.930628,90.000000,50.000000,-20.094549,90.000000,50.000000,-9.399615,45.000000,0.000000,-9.563536,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P1B,7.738000
190,-19.538224,90.000000,45.000000,-19.721157,90.000000,45.000000,-9.716224,45.000000,90.000000,-9.899157,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P1B,7.985500
190,-19.641232,80.000000,30.000000,-19.816354,80.000000,30.000000,-10.673439,45.000000,90.000000,-10.848560,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P1B,8.233000
190,-18.460404,90.000000,45.000000,-18.572107,90.000000,45.000000,-9.431829,45.000000,5.000000,-9.543532,45.000000,5.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P2B,7.738000
190,-18.962536,90.000000,65.000000,-19.096337,90.000000,65.000000,-9.311016,45.000000,0.000000,-9.444817,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P2B,7.985500
190,-21.195753,90.000000,65.000000,-21.323923,90.000000,65.000000,-10.492153,45.000000,80.000000,-10.620322,45.000000,80.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P2B,8.233000
190,-22.294843,90.000000,70.000000,-22.322924,90.000000,70.000000,-9.775441,45.000000,90.000000,-9.803522,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P3B,7.738000
190,-30.682231,90.000000,65.000000,-30.690886,90.000000,65.000000,-10.790129,45.000000,0.000000,-10.798784,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P3B,7.985500
190,-33.100134,90.000000,65.000000,-33.191956,90.000000,65.000000,-11.247909,45.000000,0.000000,-11.339731,45.000000,0.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P3B,8.233000
190,-22.592322,90.000000,30.000000,-22.601260,90.000000,30.000000,-10.771829,45.000000,5.000000,-10.780766,45.000000,5.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P4B,7.738000
190,-27.022371,85.000000,30.000000,-27.106095,85.000000,30.000000,-12.710058,45.000000,90.000000,-12.793782,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P4B,7.985500
190,-28.826007,80.000000,35.000000,-29.041379,80.000000,35.000000,-11.967287,45.000000,90.000000,-12.182659,45.000000,90.000000,1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,B_ON_absorptive_50ohm_c0p08pf,B,P4B,8.233000
190,-23.322962,90.000000,50.000000,-23.357147,90.000000,50.000000,-11.056528,45.000000,0.000000,-11.090714,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P1A,7.738000
190,-29.663868,90.000000,50.000000,-29.793282,90.000000,50.000000,-12.850325,45.000000,0.000000,-12.979739,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P1A,7.985500
190,-31.245733,80.000000,55.000000,-31.525754,80.000000,55.000000,-16.277304,45.000000,85.000000,-16.557326,45.000000,85.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P1A,8.233000
190,-21.086623,90.000000,40.000000,-21.131541,90.000000,40.000000,-12.000387,45.000000,5.000000,-12.045305,45.000000,5.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P2A,7.738000
190,-23.636937,85.000000,40.000000,-23.706525,85.000000,40.000000,-12.656239,45.000000,0.000000,-12.725828,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P2A,7.985500
190,-23.797430,85.000000,30.000000,-23.885507,85.000000,30.000000,-14.135765,45.000000,0.000000,-14.223841,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P2A,8.233000
190,-20.911568,90.000000,60.000000,-20.958066,90.000000,60.000000,-13.654195,45.000000,80.000000,-13.700693,45.000000,80.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P3A,7.738000
190,-26.675651,90.000000,60.000000,-26.830265,90.000000,60.000000,-16.822620,45.000000,0.000000,-16.977234,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P3A,7.985500
190,-32.712189,90.000000,60.000000,-33.065732,90.000000,60.000000,-18.946152,90.000000,0.000000,-19.299694,90.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P3A,8.233000
190,-24.909593,90.000000,30.000000,-25.380371,90.000000,30.000000,-12.197758,45.000000,0.000000,-12.668536,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P4A,7.738000
190,-23.088469,90.000000,30.000000,-23.739093,90.000000,30.000000,-12.927280,45.000000,0.000000,-13.577905,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P4A,7.985500
190,-22.628338,90.000000,60.000000,-23.531406,90.000000,60.000000,-12.321016,45.000000,0.000000,-13.224084,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,A_ON_absorptive_50ohm_c0p08pf,A,P4A,8.233000
190,-22.980995,90.000000,40.000000,-23.053800,90.000000,40.000000,-12.007997,45.000000,90.000000,-12.080801,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P1B,7.738000
190,-24.922849,90.000000,35.000000,-24.984250,90.000000,35.000000,-11.483688,45.000000,90.000000,-11.545089,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P1B,7.985500
190,-35.437315,80.000000,50.000000,-35.471783,80.000000,50.000000,-13.425549,45.000000,85.000000,-13.460016,45.000000,85.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P1B,8.233000
190,-19.487356,90.000000,60.000000,-19.535908,90.000000,60.000000,-10.605005,45.000000,0.000000,-10.653557,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P2B,7.738000
190,-20.266943,90.000000,65.000000,-20.306761,90.000000,65.000000,-9.483675,45.000000,0.000000,-9.523492,45.000000,0.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P2B,7.985500
190,-24.514833,90.000000,55.000000,-24.518770,90.000000,55.000000,-12.159021,45.000000,85.000000,-12.162958,45.000000,85.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P2B,8.233000
190,-30.083574,90.000000,70.000000,-30.143986,90.000000,70.000000,-13.609616,45.000000,90.000000,-13.670028,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P3B,7.738000
190,-31.538009,90.000000,70.000000,-31.695836,90.000000,70.000000,-14.501447,45.000000,90.000000,-14.659274,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P3B,7.985500
190,-41.411459,85.000000,65.000000,-41.733385,85.000000,65.000000,-13.718775,45.000000,90.000000,-14.040700,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P3B,8.233000
190,-30.102476,85.000000,30.000000,-30.222211,85.000000,30.000000,-14.793077,45.000000,5.000000,-14.912811,45.000000,5.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P4B,7.738000
190,-40.445056,90.000000,30.000000,-40.745702,90.000000,30.000000,-16.292335,45.000000,90.000000,-16.592981,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P4B,7.985500
190,-40.095563,75.000000,30.000000,-40.618893,75.000000,30.000000,-16.142538,45.000000,90.000000,-16.665868,45.000000,90.000000,2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,B_ON_absorptive_50ohm_c0p08pf,B,P4B,8.233000
190,-21.326581,85.000000,55.000000,-21.401027,85.000000,55.000000,-10.876908,45.000000,0.000000,-10.951354,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P1A,7.738000
190,-21.969678,75.000000,55.000000,-22.013721,75.000000,55.000000,-13.717838,45.000000,0.000000,-13.761881,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P1A,7.985500
190,-23.844851,65.000000,55.000000,-23.885696,65.000000,55.000000,-16.305798,45.000000,90.000000,-16.346644,45.000000,90.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P1A,8.233000
190,-23.564993,75.000000,45.000000,-23.591391,75.000000,45.000000,-11.610955,45.000000,90.000000,-11.637353,45.000000,90.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P2A,7.738000
190,-22.663815,65.000000,55.000000,-22.704627,65.000000,55.000000,-13.371253,45.000000,0.000000,-13.412064,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P2A,7.985500
190,-20.789315,90.000000,65.000000,-20.866338,90.000000,65.000000,-15.568966,45.000000,0.000000,-15.645989,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P2A,8.233000
190,-23.777445,80.000000,35.000000,-23.857491,80.000000,35.000000,-11.848129,45.000000,0.000000,-11.928175,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P3A,7.738000
190,-22.504207,90.000000,60.000000,-22.662918,90.000000,60.000000,-14.182461,45.000000,40.000000,-14.341172,45.000000,40.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P3A,7.985500
190,-21.767482,90.000000,85.000000,-22.041739,90.000000,85.000000,-15.511074,45.000000,55.000000,-15.785331,45.000000,55.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P3A,8.233000
190,-34.546449,85.000000,55.000000,-34.678728,85.000000,55.000000,-14.238984,45.000000,90.000000,-14.371263,45.000000,90.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P4A,7.738000
190,-24.367803,90.000000,45.000000,-24.648980,90.000000,45.000000,-11.666745,45.000000,90.000000,-11.947922,45.000000,90.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P4A,7.985500
190,-28.191974,90.000000,60.000000,-28.698561,90.000000,60.000000,-11.842985,45.000000,20.000000,-12.349571,45.000000,20.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,A_ON_absorptive_50ohm_c0p08pf,A,P4A,8.233000
190,-20.522558,90.000000,90.000000,-20.568059,90.000000,90.000000,-11.160627,45.000000,0.000000,-11.206128,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,B_ON_absorptive_50ohm_c0p08pf,B,P1B,7.738000
190,-22.110338,85.000000,50.000000,-22.121629,85.000000,50.000000,-11.934424,45.000000,85.000000,-11.945715,45.000000,85.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,B_ON_absorptive_50ohm_c0p08pf,B,P1B,7.985500
190,-31.177127,45.000000,55.000000,-31.184462,45.000000,55.000000,-14.209155,45.000000,0.000000,-14.216491,45.000000,0.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,B_ON_absorptive_50ohm_c0p08pf,B,P1B,8.233000
190,-20.542341,90.000000,45.000000,-20.562484,90.000000,45.000000,-12.854537,45.000000,90.000000,-12.874680,45.000000,90.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,B_ON_absorptive_50ohm_c0p08pf,B,P2B,7.738000
190,-24.163597,90.000000,35.000000,-24.186417,90.000000,35.000000,-13.808141,45.000000,5.000000,-13.830960,45.000000,5.000000,3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,B_ON_absorptive_50ohm_c0p08pf,B,P2B,7.985500
