candidate_index,candidate,rationale,elapsed_s,strict_fov_gain_total_min_dbi,strict_fov_gain_total_worst_case,strict_fov_gain_total_worst_source,strict_fov_gain_total_worst_freq_ghz,strict_fov_gain_total_worst_theta_deg,strict_fov_gain_total_worst_phi_deg,strict_fov_realized_gain_total_min_dbi,strict_fov_realized_gain_total_worst_case,strict_fov_realized_gain_total_worst_source,strict_fov_realized_gain_total_worst_freq_ghz,strict_fov_realized_gain_total_worst_theta_deg,strict_fov_realized_gain_total_worst_phi_deg,coverage_fov_gain_total_min_dbi,coverage_fov_gain_total_worst_case,coverage_fov_gain_total_worst_source,coverage_fov_gain_total_worst_freq_ghz,coverage_fov_gain_total_worst_theta_deg,coverage_fov_gain_total_worst_phi_deg,coverage_fov_realized_gain_total_min_dbi,coverage_fov_realized_gain_total_worst_case,coverage_fov_realized_gain_total_worst_source,coverage_fov_realized_gain_total_worst_freq_ghz,coverage_fov_realized_gain_total_worst_theta_deg,coverage_fov_realized_gain_total_worst_phi_deg,strict_gain_target_pass,strict_realized_gain_target_pass,coverage_gain_target_pass,coverage_realized_gain_target_pass,worst_active_s11_db,worst_active_s11_case,all_workstate_s11_pass,projects
1,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06,当前 RF switch / PDOA 工作态基线候选。,451.870721,-33.100134,B_ON_absorptive_50ohm_c0p08pf,P3B,8.233000,90.000000,65.000000,-33.191956,B_ON_absorptive_50ohm_c0p08pf,P3B,8.233000,90.000000,65.000000,-20.303571,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,40.000000,-20.455473,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,40.000000,False,False,False,False,-13.155695,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_01_p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_01_p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_abc_g0p12_l1p8_ph2p10_z0p06_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
2,p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub1p9,Move the feed layer farther from the aperture to check coupling-margin direction.,263.846973,-41.411459,B_ON_absorptive_50ohm_c0p08pf,P3B,8.233000,85.000000,65.000000,-41.733385,B_ON_absorptive_50ohm_c0p08pf,P3B,8.233000,85.000000,65.000000,-23.011940,A_ON_absorptive_50ohm_c0p08pf,P4A,7.985500,85.000000,35.000000,-23.510082,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,85.000000,50.000000,False,False,False,False,-7.264941,A_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_02_p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_02_p9p75_l5p0_w0p58_fw0p74_h0p30_fl11p8_ares1p7x1p3_rbridge_gap1p7_qstub4p4_dstub_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
3,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_i2p8,Move isolation compensation inward on the passed match network.,241.280795,-34.546449,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,85.000000,55.000000,-34.678728,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,85.000000,55.000000,-22.110338,B_ON_absorptive_50ohm_c0p08pf,P1B,7.985500,85.000000,50.000000,-22.121629,B_ON_absorptive_50ohm_c0p08pf,P1B,7.985500,85.000000,50.000000,False,False,False,False,-9.583783,A_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_03_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_03_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso10p5_w0p50_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
4,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6,Move the widened isolation slot outward on the passed match network.,242.755164,-28.845851,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,45.000000,-28.893921,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,45.000000,-20.354691,A_ON_absorptive_50ohm_c0p08pf,P2A,8.233000,85.000000,40.000000,-20.400343,A_ON_absorptive_50ohm_c0p08pf,P2A,8.233000,85.000000,40.000000,False,False,False,False,-9.313472,A_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_04_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_04_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
15,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p55_gap0p80,Enable a compact stacked parasitic patch borrowed from the dual-pol stacked calibration sweep.,257.894839,-29.129186,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,85.000000,35.000000,-29.328571,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,85.000000,35.000000,-20.223577,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,90.000000,35.000000,-20.306343,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,35.000000,False,False,False,False,-11.801141,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_15_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_15_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
16,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p75_gap1p20,Enable the stacked parasitic geometry that previously gave the best dual-pol calibration tradeoff.,222.532082,-33.932561,B_ON_absorptive_50ohm_c0p08pf,P1B,7.738000,55.000000,50.000000,-33.937062,B_ON_absorptive_50ohm_c0p08pf,P1B,7.738000,55.000000,50.000000,-20.712486,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,80.000000,45.000000,-20.748779,A_ON_absorptive_50ohm_c0p08pf,P2A,8.233000,85.000000,50.000000,False,False,False,False,-12.559983,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_16_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_16_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
17,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_stack_p9p95_gap1p60,Use a larger and higher parasitic patch to check whether horizon gain improves through aperture enlargement.,235.105155,-43.585035,B_ON_absorptive_50ohm_c0p08pf,P2B,7.738000,75.000000,30.000000,-43.643060,B_ON_absorptive_50ohm_c0p08pf,P2B,7.738000,75.000000,30.000000,-20.402730,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,45.000000,-20.441243,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,45.000000,False,False,False,False,-12.404115,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_17_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_17_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
18,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45,Add an off-center 45 degree patch slit to disturb the current null near the low-elevation FOV edge.,230.348299,-26.259479,B_ON_absorptive_50ohm_c0p08pf,P4B,7.985500,90.000000,45.000000,-26.370388,B_ON_absorptive_50ohm_c0p08pf,P4B,7.985500,90.000000,45.000000,-19.694307,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,90.000000,90.000000,-19.702234,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,90.000000,90.000000,False,False,False,False,-11.540384,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_18_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_18_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
19,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_weakline2p4_gap0p12,Add a weak floating line above the patch to test whether a parasitic current path fills the horizon null.,222.072910,-28.845851,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,45.000000,-28.893921,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,45.000000,-20.354691,A_ON_absorptive_50ohm_c0p08pf,P2A,8.233000,85.000000,40.000000,-20.400343,A_ON_absorptive_50ohm_c0p08pf,P2A,8.233000,85.000000,40.000000,False,False,False,False,-9.313472,A_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_19_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_19_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
20,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p0_offu0p80_v0p00,Shift the slit toward the u-edge and lengthen it slightly to target the remaining low-elevation null.,241.936915,-30.070788,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,90.000000,45.000000,-30.211461,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,90.000000,45.000000,-20.331869,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,85.000000,55.000000,-20.352307,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,85.000000,55.000000,False,False,False,False,-12.313330,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_20_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_20_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
