freq_ghz,z_theta0_gain_total_min_dbi,z_theta0_gain_total_max_dbi,z_theta0_realized_gain_total_min_dbi,z_theta0_realized_gain_total_max_dbi,upper_hemi_peak_gain_total_dbi,upper_hemi_peak_realized_gain_total_dbi,upper_hemi_min_gain_total_dbi,upper_hemi_min_realized_gain_total_dbi,z_gain_total_meets,z_realized_gain_meets,peak_gain_total_meets,peak_realized_gain_meets,case,active_pol,source,off_resistance_ohm,off_capacitance_pf
7.738000,-6.308964,-6.308964,-6.465568,-6.465568,-6.136741,-6.293345,-26.586018,-26.742623,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P1A,50.000000,0.080000
7.985500,-6.897435,-6.897435,-7.076894,-7.076894,-6.769450,-6.948909,-30.452729,-30.632187,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P1A,50.000000,0.080000
8.233000,-11.921710,-11.921710,-12.105870,-12.105870,-8.520763,-8.704923,-29.040228,-29.224388,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P1A,50.000000,0.080000
7.738000,-7.049015,-7.049015,-7.240762,-7.240762,-6.865107,-7.056854,-26.337566,-26.529312,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P2A,50.000000,0.080000
7.985500,-7.868952,-7.868952,-8.085287,-8.085287,-7.425625,-7.641959,-25.228431,-25.444766,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P2A,50.000000,0.080000
8.233000,-12.971128,-12.971128,-13.186703,-13.186703,-8.069434,-8.285009,-23.383976,-23.599551,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P2A,50.000000,0.080000
7.738000,-7.111103,-7.111103,-7.118968,-7.118968,-6.398469,-6.406334,-26.124757,-26.132621,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P3A,50.000000,0.080000
7.985500,-9.968158,-9.968158,-10.037593,-10.037593,-8.245271,-8.314706,-30.693744,-30.763179,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P3A,50.000000,0.080000
8.233000,-15.275914,-15.275914,-15.470565,-15.470565,-12.758338,-12.952990,-28.128421,-28.323073,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P3A,50.000000,0.080000
7.738000,-6.770564,-6.770564,-6.794662,-6.794662,-6.631638,-6.655737,-32.013913,-32.038012,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P4A,50.000000,0.080000
7.985500,-8.330138,-8.330138,-8.420820,-8.420820,-7.653194,-7.743876,-31.009492,-31.100174,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P4A,50.000000,0.080000
8.233000,-12.883663,-12.883663,-13.109463,-13.109463,-9.428608,-9.654407,-38.390402,-38.616201,False,False,False,False,A_ON_absorptive_50ohm_c0p08pf,A,P4A,50.000000,0.080000
7.738000,-7.087354,-7.087354,-7.251274,-7.251274,-6.914786,-7.078706,-29.835722,-29.999643,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P1B,50.000000,0.080000
7.985500,-8.183292,-8.183292,-8.366224,-8.366224,-7.496824,-7.679756,-29.412155,-29.595087,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P1B,50.000000,0.080000
8.233000,-12.976821,-12.976821,-13.151942,-13.151942,-7.904181,-8.079302,-23.166393,-23.341514,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P1B,50.000000,0.080000
7.738000,-7.936729,-7.936729,-8.048431,-8.048431,-7.621612,-7.733315,-21.589600,-21.701303,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P2B,50.000000,0.080000
7.985500,-8.477096,-8.477096,-8.610897,-8.610897,-7.986602,-8.120403,-25.691552,-25.825353,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P2B,50.000000,0.080000
8.233000,-10.247518,-10.247518,-10.375688,-10.375688,-9.771739,-9.899909,-25.181195,-25.309365,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P2B,50.000000,0.080000
7.738000,-7.161919,-7.161919,-7.190000,-7.190000,-6.837690,-6.865771,-25.216248,-25.244328,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P3B,50.000000,0.080000
7.985500,-8.468816,-8.468816,-8.477471,-8.477471,-8.342895,-8.351549,-31.212072,-31.220727,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P3B,50.000000,0.080000
8.233000,-11.446470,-11.446470,-11.538292,-11.538292,-10.565217,-10.657039,-37.841317,-37.933139,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P3B,50.000000,0.080000
7.738000,-7.150678,-7.150678,-7.159616,-7.159616,-6.622751,-6.631688,-24.822722,-24.831660,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P4B,50.000000,0.080000
7.985500,-9.323391,-9.323391,-9.407116,-9.407116,-8.612562,-8.696287,-27.022371,-27.106095,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P4B,50.000000,0.080000
8.233000,-13.919146,-13.919146,-14.134518,-14.134518,-11.712061,-11.927433,-29.349170,-29.564542,False,False,False,False,B_ON_absorptive_50ohm_c0p08pf,B,P4B,50.000000,0.080000
