source,freq_ghz,plane_theta_deg,xy_plane_gain_total_min_dbi,xy_plane_gain_total_min_phi_deg,xy_plane_realized_gain_total_min_dbi,xy_plane_realized_gain_total_min_phi_deg,xy_plane_gain_total_max_dbi,xy_plane_gain_total_max_phi_deg,xy_plane_realized_gain_total_max_dbi,xy_plane_realized_gain_total_max_phi_deg,xy_plane_phi_sample_count,case,active_pol,off_resistance_ohm,off_capacitance_pf
P1A,7.738000,90.000000,-21.615847,50.000000,-21.743382,50.000000,-16.019118,5.000000,-16.146652,5.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P1A,7.985500,90.000000,-19.464404,45.000000,-19.600930,45.000000,-16.860694,0.000000,-16.997219,0.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P1A,8.233000,90.000000,-19.206601,55.000000,-19.353299,55.000000,-17.145217,0.000000,-17.291915,0.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P2A,7.738000,90.000000,-20.678245,45.000000,-20.854715,45.000000,-16.315527,90.000000,-16.491997,90.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P2A,7.985500,90.000000,-23.078191,50.000000,-23.260788,50.000000,-17.127689,90.000000,-17.310285,90.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P2A,8.233000,90.000000,-24.958020,50.000000,-25.100609,50.000000,-15.782578,0.000000,-15.925167,0.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P3A,7.738000,90.000000,-21.547482,70.000000,-21.571839,70.000000,-13.029993,0.000000,-13.054349,0.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P3A,7.985500,90.000000,-24.517027,65.000000,-24.622166,65.000000,-14.536671,0.000000,-14.641810,0.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P3A,8.233000,90.000000,-25.663561,65.000000,-25.902914,65.000000,-17.158887,0.000000,-17.398240,0.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P4A,7.738000,90.000000,-22.640527,25.000000,-22.656307,25.000000,-15.763370,65.000000,-15.779149,65.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P4A,7.985500,90.000000,-24.596267,10.000000,-24.684081,10.000000,-15.761089,90.000000,-15.848903,90.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P4A,8.233000,90.000000,-26.443285,50.000000,-26.654211,50.000000,-17.248522,90.000000,-17.459447,90.000000,19,A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000
P1B,7.738000,90.000000,-19.930628,50.000000,-20.094549,50.000000,-15.764296,0.000000,-15.928216,0.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P1B,7.985500,90.000000,-19.538224,45.000000,-19.721157,45.000000,-15.652388,90.000000,-15.835321,90.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P1B,8.233000,90.000000,-18.666843,35.000000,-18.841964,35.000000,-17.208722,90.000000,-17.383843,90.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P2B,7.738000,90.000000,-18.460404,45.000000,-18.572107,45.000000,-15.873225,0.000000,-15.984927,0.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P2B,7.985500,90.000000,-18.962536,65.000000,-19.096337,65.000000,-16.681476,0.000000,-16.815277,0.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P2B,8.233000,90.000000,-21.195753,65.000000,-21.323923,65.000000,-17.447183,0.000000,-17.575352,0.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P3B,7.738000,90.000000,-22.294843,70.000000,-22.322924,70.000000,-16.080866,20.000000,-16.108947,20.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P3B,7.985500,90.000000,-30.682231,65.000000,-30.690886,65.000000,-16.964011,15.000000,-16.972666,15.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P3B,8.233000,90.000000,-33.100134,65.000000,-33.191956,65.000000,-15.763041,5.000000,-15.854863,5.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P4B,7.738000,90.000000,-22.592322,30.000000,-22.601260,30.000000,-14.076302,90.000000,-14.085240,90.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P4B,7.985500,90.000000,-26.407579,30.000000,-26.491304,30.000000,-15.559329,90.000000,-15.643053,90.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
P4B,8.233000,90.000000,-25.352569,30.000000,-25.567941,30.000000,-15.448360,90.000000,-15.663732,90.000000,19,B_ON_absorptive_50ohm_c0p08pf,B,50.000000,0.080000
