case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,theta_deg,linear_pol_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,0.000000,0.000000,A_feed_only,E1-E3,172.642596,172.642596,-0.036528,-3.403190,True,2403.301762,1631.079956
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,5.000000,0.000000,A_feed_only,E1-E3,-179.138266,180.861734,-0.102278,-3.428986,True,2385.178109,1626.242981
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,10.000000,0.000000,A_feed_only,E1-E3,-170.969022,189.030978,-0.205101,-3.496910,True,2357.109056,1613.575323
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,15.000000,0.000000,A_feed_only,E1-E3,-162.999435,197.000565,-0.354460,-3.600685,True,2316.923740,1594.411723
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,20.000000,0.000000,A_feed_only,E1-E3,-155.327836,204.672164,-0.564744,-3.741717,True,2261.504954,1568.732454
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,25.000000,0.000000,A_feed_only,E1-E3,-147.990652,212.009348,-0.852602,-3.928930,True,2187.784955,1535.282264
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,30.000000,0.000000,A_feed_only,E1-E3,-140.969347,219.030653,-1.232710,-4.176474,True,2094.108775,1492.144917
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,35.000000,0.000000,A_feed_only,E1-E3,-134.203824,225.796176,-1.714695,-4.499283,True,1981.070736,1437.707604
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,40.000000,0.000000,A_feed_only,E1-E3,-127.601701,232.398299,-2.302726,-4.907473,True,1851.392154,1371.706085
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,45.000000,0.000000,A_feed_only,E1-E3,-121.041089,238.958911,-2.997316,-5.401190,True,1709.105640,1295.911118
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,50.000000,0.000000,A_feed_only,E1-E3,-114.371219,245.628781,-3.797869,-5.967330,True,1558.623703,1214.138547
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,55.000000,0.000000,A_feed_only,E1-E3,-107.416878,252.583122,-4.704633,-6.578953,True,1404.116361,1131.584765
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,60.000000,0.000000,A_feed_only,E1-E3,-99.989719,260.010281,-5.719399,-7.197634,True,1249.294345,1053.787499
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,65.000000,0.000000,A_feed_only,E1-E3,-91.902428,268.097572,-6.844783,-7.778660,True,1097.477408,985.602369
