case,linear_pol_deg,curve_count,valid_percent_avg,raw_rms_bias_vs_pol0_avg_deg,raw_p95_rms_bias_vs_pol0_deg,raw_max_abs_bias_vs_pol0_deg,lut_holdout_global_rms_deg,lut_holdout_p95_abs_deg,lut_holdout_max_abs_deg
A_ON_absorptive_50ohm_c0p08pf,0.000000,72,99.885845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A_ON_absorptive_50ohm_c0p08pf,45.000000,72,99.448250,73.889447,111.043782,179.950300,8.316477,12.200223,103.153490
A_ON_absorptive_50ohm_c0p08pf,90.000000,72,99.638508,82.690351,111.751570,179.941010,8.615894,12.149455,112.727453
A_ON_absorptive_50ohm_c0p08pf,135.000000,72,99.847793,67.274537,99.919656,179.863965,6.795571,9.350456,95.784509
A_ON_reflective_5kohm_c0p08pf,0.000000,72,99.162861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A_ON_reflective_5kohm_c0p08pf,45.000000,72,98.858447,95.042093,132.053369,179.988301,10.202037,16.841963,120.069699
A_ON_reflective_5kohm_c0p08pf,90.000000,72,99.010654,100.501329,131.869165,179.995875,8.874624,10.886278,119.672410
A_ON_reflective_5kohm_c0p08pf,135.000000,72,98.858447,73.895113,109.081740,179.997881,10.196158,16.139299,119.143304
B_ON_absorptive_50ohm_c0p08pf,0.000000,72,99.923896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_ON_absorptive_50ohm_c0p08pf,45.000000,72,99.543379,62.519421,98.807587,179.919771,6.129545,10.261856,68.695799
B_ON_absorptive_50ohm_c0p08pf,90.000000,72,99.676560,84.674540,118.188982,179.992665,7.836579,13.483449,91.558819
B_ON_absorptive_50ohm_c0p08pf,135.000000,72,99.866819,72.655224,113.885352,179.982276,6.104956,8.558697,72.151949
B_ON_reflective_5kohm_c0p08pf,0.000000,72,99.847793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_ON_reflective_5kohm_c0p08pf,45.000000,72,98.820396,57.430420,106.614899,179.663062,7.562962,5.402936,139.219692
B_ON_reflective_5kohm_c0p08pf,90.000000,72,99.429224,96.850616,141.781292,179.990656,6.758305,9.438607,95.597393
B_ON_reflective_5kohm_c0p08pf,135.000000,72,99.714612,51.218771,87.907651,179.221707,5.354236,6.398575,61.158121
